"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"860","KLF15",28999,"ENSG00000163884","Astrocyte",0.41,0.039,3.86434266007797,2.67855821955057,0.688,0.376,0,0
"861","KLF17",128209,"ENSG00000171872","OPC",0.467,0.279,3.90833044687344,2.70904822994692,0.623,0.246,2.12180125597261e-203,1.06686288951559e-198
"862","KLF2",10365,"ENSG00000127528","Endothelial",0.586,0.02,6.66656174274371,4.6209084760116,0.787,0.574,1.37271389175175e-72,6.902142719117e-68
"863","KLF3",51274,"ENSG00000109787","Endothelial",0.514,0.322,3.57466240853967,2.47776716993289,0.648,0.296,1.41836029893644e-16,7.13165741908231e-12
"864","KLF5",688,"ENSG00000102554","SST",0.473,0.075,3.96341253464039,2.74722822378194,0.709,0.418,0,0
"865","KLHL13",90293,"ENSG00000003096","OPC",0.552,0.516,2.68128895817683,1.85852788162679,0.572,0.144,2.58896550490864e-88,1.30175774552311e-83
"866","KLHL32",114792,"ENSG00000186231","Oligodendrocyte",0.919,0.807,2.65636780797535,1.84125385662831,0.81,0.62,0,0
"867","KLHL4",56062,"ENSG00000102271","Oligodendrocyte",0.715,0.536,3.12573595796009,2.16659506643488,0.703,0.406,0,0
"868","KLHL5",51088,"ENSG00000109790","Endothelial",0.743,0.526,2.58985324710974,1.79514947629814,0.705,0.41,1.07388158695834e-10,5.39958400738523e-06
"869","KLK6",5653,"ENSG00000167755","Oligodendrocyte",0.574,0.018,7.67061830462865,5.31686745100486,0.782,0.564,0,0
"870","KLKB1",3818,"ENSG00000164344","Astrocyte",0.498,0.178,3.88712560918529,2.69435015648914,0.686,0.372,7.84896386874102e-284,3.94653752284167e-279
"871","KLRC3",3823,"ENSG00000205810","OPC",0.354,0.01,5.59411658380139,3.87754613778557,0.673,0.346,0,0
"872","KMO",8564,"ENSG00000117009","VIP",0.631,0.264,3.85921334323646,2.67500284804367,0.741,0.482,0,0
"873","KNOP1",400506,"ENSG00000103550","Astrocyte",0.576,0.378,2.63527043731582,1.82663027363844,0.663,0.326,2.86914838445042e-210,1.44263649918551e-205
"874","KRT17",3872,"ENSG00000128422","L6b",0.838,0.277,3.75108246198259,2.60005223257109,0.867,0.734,0,0
"875","L3MBTL4",91133,"ENSG00000154655","VIP",0.962,0.627,2.56162506822607,1.77558319369259,0.877,0.754,0,0
"876","LACC1",144811,"ENSG00000179630","PAX6",0.483,0.098,3.10530775119985,2.15243531251511,0.703,0.406,4.48739657500707e-88,2.25630787187931e-83
"877","LAMA1",284217,"ENSG00000101680","Astrocyte",0.829,0.417,6.44950226433691,NA,NA,NA,0,0
"878","LAMA5",3911,"ENSG00000130702","Endothelial",0.429,0.352,2.85532298773688,NA,NA,NA,6.27913700257046e-09,0.000315721287626246
"879","LAMB2",3913,"ENSG00000172037","VLMC",0.455,0.055,4.430095256092,3.07070803637216,0.708,0.416,3.03827022294512e-05,1
"880","LAMC1",3915,"ENSG00000135862","VLMC",1,0.587,4.82028769590702,3.34116882590574,0.968,0.936,6.19063900196143e-13,3.11271519657622e-08
"881","LAMP2",3920,"ENSG00000005893","Oligodendrocyte",0.91,0.63,3.70266153368088,2.56648940263866,0.862,0.724,0,0
"882","LAMP5",24141,"ENSG00000125869","LAMP5",0.935,0.174,4.88913323028975,3.38888891395728,0.943,0.886,0,0
"883","LAP3",51056,"ENSG00000002549","Endothelial",0.486,0.332,3.18308204667741,2.20634434614543,0.611,0.222,5.010878778422e-09,0.000251951995857836
"884","LAPTM5",7805,"ENSG00000162511","Microglia",0.755,0.032,7.6545763415431,5.30574800952146,0.871,0.742,0,0
"885","LARP6",55323,"ENSG00000166173","Oligodendrocyte",0.521,0.332,3.25290466830017,2.25474169946255,0.641,0.282,1.39897500401535e-275,7.03418621768957e-271
"886","LAT2",7462,"ENSG00000086730","Microglia",0.48,0.206,5.98251500172826,4.14676340610552,0.674,0.348,0,0
"887","LBH",81606,"ENSG00000213626","PVALB",0.518,0.115,3.08625043595154,2.13922578818171,0.717,0.434,0,0
"888","LCN12",286256,"ENSG00000184925","Astrocyte",0.456,0.063,4.4870884120031,3.11021268170315,0.706,0.412,0,0
"889","LCNL1",401562,"ENSG00000214402","Astrocyte",0.494,0.09,4.00316854588424,2.77478499088592,0.715,0.43,0,0
