"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"559","DDX58",23586,"ENSG00000107201","Endothelial",0.357,0.38,2.97080516846847,2.05920522651683,0.526,0.052,1.04345411209063e-08,0.000524659162100289
"560","DDX60",55601,"ENSG00000137628","L5 ET",0.405,0.103,2.07693762181667,1.4396234567611,0.664,0.328,7.96781200312184e-39,4.00629555328969e-34
"561","DDX60L",91351,"ENSG00000181381","Endothelial",0.371,0.211,4.76232881660271,3.30099479212755,0.61,0.22,3.77909950814133e-31,1.90016902368854e-26
"562","DEK",7913,"ENSG00000124795","VLMC",0.364,0.509,2.25447585579234,1.56268358308294,0.478,0.044,NA,NA
"563","DENND2C",163259,"ENSG00000175984","Endothelial",0.471,0.294,4.14919469889162,NA,NA,NA,2.2001411871317e-19,1.10625299030169e-14
"564","DENND4C",55667,"ENSG00000137145","VLMC",1,0.833,3.02300276401443,2.09538584270153,0.879,0.758,2.07567652181407e-05,1
"565","DENND5A",23258,"ENSG00000184014","Oligodendrocyte",0.876,0.836,2.289048315779,1.5866473862477,0.675,0.35,4.04941005091503e-234,2.03608386770059e-229
"566","DERA",51071,"ENSG00000023697","Endothelial",0.371,0.308,3.29230655868845,2.28205300869391,0.551,0.102,0.00069367890165986,1
"567","DERL2",51009,"ENSG00000072849","VLMC",0.364,0.253,2.73073693626586,1.89280260822358,0.561,0.122,NA,NA
"568","DESI1",27351,"ENSG00000100418","VLMC",0.273,0.398,2.37734676272003,1.6478512057927,0.44,0.12,NA,NA
"569","DFNB31",25861,"ENSG00000095397","Oligodendrocyte",0.66,0.236,3.75760345012091,2.60457223711363,0.751,0.502,0,0
"570","DGKD",8527,"ENSG00000077044, ENSG00000280873","LAMP5",0.889,0.452,2.60160260346689,1.80329350953049,0.838,0.676,0,0
"571","DGKH",160851,"ENSG00000102780","L5 ET",0.981,0.674,2.05401746845104,1.42373641707771,0.872,0.744,7.9826276013555e-55,4.01374498423756e-50
"572","DHCR24",1718,"ENSG00000116133","Oligodendrocyte",0.456,0.481,2.14258703329536,1.48512816123298,0.532,0.0640000000000001,2.91125418738324e-113,1.46380771795817e-108
"573","DHRS7",51635,"ENSG00000100612","Pericyte",0.25,0.455,2.34562273829208,1.62586178770446,0.443,0.114,5.12323998219708e-07,0.0257601629544851
"574","DHRS9",10170,"ENSG00000073737","Microglia",0.381,0.032,8.09314979353066,5.60974396123508,0.68,0.36,0,0
"575","DHTKD1",55526,"ENSG00000181192","Microglia",0.585,0.61,2.07317583203515,1.43701598278018,0.492,0.016,0.0020046446582157,1
"576","DHX15",1665,"ENSG00000109606","VLMC",0.636,0.643,2.170185101839,1.5042576846329,0.589,0.178,NA,NA
"577","DHX40",79665,"ENSG00000108406","VLMC",0.273,0.503,2.83697215821842,1.96643925279616,0.42,0.16,0.0142494910425359,1
"578","DIAPH2",1730,"ENSG00000147202","Microglia",0.981,0.946,3.19002009392076,2.21115343403075,0.837,0.674,1.4294513489366e-257,7.18742432758813e-253
"579","DIO2",1734,"ENSG00000211448","Astrocyte",0.436,0.019,5.94035943888465,4.11754339657555,0.711,0.422,0,0
"580","DIP2A",23181,"ENSG00000160305","Microglia",0.739,0.835,2.05540431047366,1.42469770271558,0.567,0.134,1.31988085468309e-62,6.63649292543203e-58
"581","DIP2B",57609,"ENSG00000066084","Oligodendrocyte",0.981,0.937,2.6988168236254,1.87067727214369,0.849,0.698,0,0
"582","DIRAS2",54769,"ENSG00000165023","L5/6 NP",0.996,0.604,2.29568106284919,1.59124485617878,0.897,0.794,0,0
