"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"706","IGFBP7",3490,"ENSG00000163453","Non-neuronal",0.368,0.222,4.84264749658577,3.3566674587041,0.595,0.19,0,0
"707","IGH",3492,NA,"Non-neuronal",0.485,0.509,1.6841727354024,1.16737958312011,0.512,0.024,1.77937527735596e-96,8.9468768320735e-92
"708","IGK",50802,NA,"Non-neuronal",0.796,0.915,1.5624663835705,1.08301916849159,0.443,0.114,6.37990690285822e-134,3.20788098982614e-129
"709","IGSF10",285313,"ENSG00000152580","Non-neuronal",0.321,0.38,3.05433158005166,2.11710132320801,0.482,0.036,4.47783537626138e-95,2.25150040553798e-90
"710","IGSF3",3321,"ENSG00000143061","GABAergic",0.373,0.275,1.50500313206611,1.04318867772552,0.562,0.124,8.62219718689396e-212,4.33532696754215e-207
"711","IKBKB",3551,"ENSG00000104365","Non-neuronal",0.382,0.533,1.53454321746796,1.0636643046353,0.438,0.124,3.43636924307227e-120,1.72784081910917e-115
"712","IKZF2",22807,"ENSG00000030419","Non-neuronal",0.451,0.388,2.37363600113769,1.64527910186417,0.559,0.118,6.8176423859717e-147,3.42797876809043e-142
"713","IL17RB",55540,"ENSG00000056736","Non-neuronal",0.272,0.177,3.12330964322749,2.16491327321882,0.559,0.118,5.30229229000404e-242,2.66604558633693e-237
"714","IL1RL2",8808,"ENSG00000115598","Glutamatergic",0.282,0.052,2.50646003106154,1.73734570371649,0.619,0.238,0,0
"715","IL6R",3570,"ENSG00000160712","Non-neuronal",0.384,0.376,2.7495743692949,1.90585972181665,0.518,0.036,5.77987556681856e-82,2.90617923375204e-77
"716","IL6ST",3572,"ENSG00000134352","Non-neuronal",0.54,0.601,1.97478516522639,1.36881676948828,0.517,0.034,1.99169927493795e-138,1.00144631243155e-133
"717","INF2",64423,"ENSG00000203485","Non-neuronal",0.305,0.378,1.99965339894275,1.38605411557428,0.49,0.02,6.05920035827157e-293,3.04662653214253e-288
"718","INPP1",3628,"ENSG00000151689","Non-neuronal",0.388,0.548,1.52005851900752,1.05362427673619,0.461,0.078,3.49596717135271e-255,1.75780725342786e-250
"719","INPP4B",8821,"ENSG00000109452","GABAergic",0.933,0.864,1.55084282325262,1.07496233042918,0.66,0.32,0,0
"720","INPP5D",3635,"ENSG00000168918, ENSG00000281614","Non-neuronal",0.444,0.348,5.05984993581509,3.50722071706665,0.573,0.146,0,0
"721","INPP5J",27124,"ENSG00000185133","GABAergic",0.362,0.222,1.59732151824784,1.10717890682122,0.582,0.164,0,0
"722","IPCEF1",26034,"ENSG00000074706","Non-neuronal",0.778,0.81,1.67949070332548,1.16413424578669,0.423,0.154,6.81617072146126e-102,3.42723880045793e-97
"723","IPO13",9670,"ENSG00000117408","Non-neuronal",0.292,0.358,2.12370415955871,1.47203955054155,0.491,0.018,7.48083873275412e-243,3.7614405232161e-238
"724","IQCJ.SCHIP1",NA,NA,"Glutamatergic",0.389,0.071,2.22744519153059,1.54394735436124,0.661,0.322,0,0
"725","IQCK",124152,"ENSG00000174628","Non-neuronal",0.743,0.727,2.12767727736844,1.47479350594939,0.592,0.184,5.93651526740303e-221,2.98493924160292e-216
"726","IQGAP1",8826,"ENSG00000140575","Non-neuronal",0.604,0.702,1.71814265361656,1.19092573615411,0.479,0.042,2.51868748107134e-70,1.26642125235748e-65
"727","IQGAP2",10788,"ENSG00000145703","GABAergic",0.57,0.503,2.96805836269984,2.05730128584277,0.567,0.134,0,0
"728","IRAK2",3656,"ENSG00000134070","Non-neuronal",0.464,0.478,1.97536006591811,1.36921526028185,0.509,0.018,3.55870156995245e-45,1.78935073638779e-40
"729","IRF2",3660,"ENSG00000168310","Non-neuronal",0.572,0.563,1.7970249481221,1.24560277618671,0.518,0.036,3.29088594240887e-22,1.6546903607026e-17
"730","ITGA11",22801,"ENSG00000137809","Glutamatergic",0.293,0.101,3.37235800616679,2.33754044381327,0.605,0.21,0,0
"731","ITGA2",3673,"ENSG00000164171","Non-neuronal",0.332,0.14,5.07726131842051,3.51928936782925,0.61,0.22,0,0
"732","ITGA6",3655,"ENSG00000091409","Non-neuronal",0.279,0.206,2.8290717364042,1.9609630976904,0.546,0.0920000000000001,9.20775440887732e-129,4.62975099432761e-124
"733","ITGA7",3679,"ENSG00000135424","Non-neuronal",0.276,0.301,2.29167366184303,1.58846713746998,0.506,0.012,4.84911410871392e-218,2.43818306500245e-213
"734","ITGAL",3683,"ENSG00000005844","Non-neuronal",0.458,0.454,2.42453354427677,1.68055859038845,0.527,0.054,2.43958080016413e-126,1.22664562213053e-121
"735","ITGAM",3684,"ENSG00000169896","Non-neuronal",0.379,0.326,4.84949161740335,3.36141144175222,0.552,0.104,0,0
"736","ITGAV",3685,"ENSG00000138448","Non-neuronal",0.498,0.52,1.86232945993022,1.29086841442436,0.535,0.0700000000000001,1.46047571050242e-137,7.34341791997724e-133
"737","ITGAX",3687,"ENSG00000140678","Non-neuronal",0.265,0.123,5.64598034836815,3.91349535996824,0.581,0.162,0,0
"738","ITGB5",3693,"ENSG00000082781","Non-neuronal",0.361,0.212,3.45421854761314,2.39428184731591,0.593,0.186,0,0
"739","ITGB8",3696,"ENSG00000105855","Non-neuronal",0.472,0.39,1.72333258286311,1.19452312097866,0.57,0.14,2.82737225068806e-104,1.42163104136846e-99
"740","ITIH5",80760,"ENSG00000123243","Non-neuronal",0.525,0.466,3.76256372670049,2.60801043883957,0.562,0.124,9.89478357448746e-213,4.97519612908804e-208
"741","ITPKA",3706,"ENSG00000137825","Glutamatergic",0.5,0.051,3.30910360348544,2.29369583293669,0.733,0.466,0,0
"742","ITPKB",3707,"ENSG00000143772","Non-neuronal",0.488,0.176,4.57282550781383,3.16964110793375,0.683,0.366,0,0
"743","ITPR2",3709,"ENSG00000123104","Non-neuronal",0.767,0.713,2.93915905584693,2.03726981277753,0.661,0.322,0,0
"744","JADE3",9767,"ENSG00000102221","Non-neuronal",0.436,0.427,1.86799571110049,1.29479596044737,0.523,0.046,1.01865900563309e-38,5.12191934622374e-34
"745","JUP",3728,"ENSG00000173801","Non-neuronal",0.25,0.207,2.77150881990602,1.92106352441488,0.532,0.0640000000000001,4.43528878127981e-204,2.2301075521153e-199
"746","KAL1",3730,"ENSG00000011201","GABAergic",0.433,0.365,1.52203321371202,1.05499303080308,0.552,0.104,4.92410293766478e-229,2.47588819808723e-224
"747","KAL1",3730,"ENSG00000011201","Non-neuronal",0.449,0.374,2.04388816488721,1.41671531887141,0.559,0.118,5.23378157616289e-98,2.63159771431046e-93
"748","KALRN",8997,"ENSG00000160145","Glutamatergic",1,0.897,1.9042476380159,1.31992388137867,0.944,0.888,0,0
"749","KANK1",23189,"ENSG00000107104","Non-neuronal",0.863,0.61,4.62719957641932,3.20733034028322,0.807,0.614,0,0
"750","KANK2",25959,"ENSG00000197256","Non-neuronal",0.326,0.307,2.38856134709022,1.65562456333005,0.523,0.046,7.11873454125608e-91,3.57937091468897e-86
"751","KAT2B",8850,"ENSG00000114166","Non-neuronal",0.75,0.545,3.43694614206655,2.38230952810982,0.724,0.448,0,0
"752","KAZN",23254,"ENSG00000189337","GABAergic",1,0.986,1.6058730966981,1.11310640931335,0.859,0.718,0,0
"753","KCNA1",3736,"ENSG00000111262","Glutamatergic",0.466,0.098,2.04957843036623,1.42065951034484,0.686,0.372,0,0
"754","KCNA3",3738,"ENSG00000177272","GABAergic",0.604,0.292,2.33649730075161,1.6195365164019,0.691,0.382,0,0
"755","KCNAB1",7881,"ENSG00000169282","GABAergic",0.946,0.789,2.36136321136998,1.63677225223908,0.813,0.626,0,0
"756","KCNAB3",9196,"ENSG00000170049","GABAergic",0.484,0.16,2.49172529139968,1.7271323604636,0.676,0.352,0,0
"757","KCNC2",3747,"ENSG00000166006","GABAergic",0.982,0.832,2.09819432965243,1.45435748386545,0.866,0.732,0,0
"758","KCNG3",170850,"ENSG00000171126","Glutamatergic",0.368,0.212,2.00301942743114,1.38838726873069,0.594,0.188,0,0
"759","KCNH1",3756,"ENSG00000143473","Glutamatergic",0.986,0.934,1.55807490031885,1.07997522425723,0.782,0.564,0,0
"760","KCNH3",23416,"ENSG00000135519","Glutamatergic",0.813,0.246,1.90415007179747,1.31985625362943,0.803,0.606,0,0
"761","KCNH8",131096,"ENSG00000183960","Non-neuronal",0.704,0.499,3.85821208826299,2.67430883098179,0.712,0.424,0,0
"762","KCNIP1",30820,"ENSG00000182132","GABAergic",0.797,0.394,2.60856116857745,1.80811681931761,0.798,0.596,0,0
"763","KCNIP3",30818,"ENSG00000115041","Glutamatergic",0.763,0.267,1.88677181495613,1.30781056389681,0.798,0.596,0,0
"764","KCNIP4",80333,"ENSG00000185774, ENSG00000281758","Glutamatergic",0.996,0.894,2.479534253225,1.71868217672473,0.917,0.834,0,0
"765","KCNIP4.IT1",NA,NA,"Glutamatergic",0.854,0.204,2.46144684249413,1.70614493897298,0.852,0.704,0,0
"766","KCNJ10",3766,"ENSG00000177807","Non-neuronal",0.441,0.03,6.60888895130484,4.58093274323073,0.711,0.422,0,0
"767","KCNJ16",3773,"ENSG00000153822","Non-neuronal",0.96,0.9,2.64117980171586,1.83072633291123,0.749,0.498,0,0
"768","KCNK1",3775,"ENSG00000135750","Glutamatergic",0.896,0.396,1.59500265126002,1.10557159070652,0.808,0.616,0,0
"769","KCNK13",56659,"ENSG00000152315","Non-neuronal",0.356,0.329,2.57925087197504,1.78780046986628,0.524,0.048,3.17627284378304e-33,1.59706174858255e-28
"770","KCNK3",3777,"ENSG00000171303","GABAergic",0.334,0.144,2.19528943971354,1.52165868565046,0.604,0.208,0,0
"771","KCNK4",50801,"ENSG00000182450","Glutamatergic",0.35,0.176,1.56603335062184,1.08549160164637,0.602,0.204,0,0
