X1,gene,entrez_id,ensembl_id,class,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,avg_expr,top_log2FC,bretigea_ranking,dan_ranking,bretigea_ranking_best
1678,LINC00963,100506190,ENSG00000204054,Non-neuronal,0.254,0.305,1.52110825191406,1.0543518961407,0.48,0.04,1.06207853087052e-50,5.34023706107004e-46,0.5057160766309966,0.008994810321282798,1977.5,1640.5,1834.5
2170,LOC105374569,105374569,NA,Non-neuronal,0.209,0.292,1.8903333121125,1.31027920560932,0.463,0.074,1.56713913368041e-73,7.87973227805845e-69,0.5040915459718479,-0.28036762399454773,2004,1676.5,1834.5
806,DGKG,1608,ENSG00000058866,Non-neuronal,0.603,0.658,1.29278903347949,0.896093073615126,0.501,0.002,4.05626772514036e-26,2.03953197487782e-21,2.3467717041313607,-0.15887735638463618,1499.5,2036,1836
654,COL18A1,80781,ENSG00000182871,Non-neuronal,0.184,0.257,1.6782044960337,1.16324271482878,0.471,0.0580000000000001,1.66746264457625e-103,8.38416892319382e-99,0.6968052271892027,-0.5003750812481436,2088,1990,1837.5
4094,WBP2NL,164684,ENSG00000183066,Non-neuronal,0.41,0.533,1.47247954929947,1.02064504802911,0.452,0.096,1.50431029274284e-85,7.56382258294027e-81,1.2760162521129743,-0.17273379032984038,1612,1850,1837.5
4167,ZNF107,51427,ENSG00000196247,Non-neuronal,0.272,0.323,1.50515658864614,1.04329504572129,0.478,0.044,4.8336301194435e-19,2.43039756035739e-14,0.6589033906942556,-0.13390560500923593,1945,1790,1839
4210,ZNF701,55762,ENSG00000167562,Non-neuronal,0.12,0.155,1.53093685983157,1.06116456800754,0.483,0.034,1.02098841215783e-11,5.13363183517079e-7,0.27649925211512977,-0.2681186620445777,2396.5,1901,1840
809,DHODH,1723,ENSG00000102967,Non-neuronal,0.162,0.223,1.41749389334983,0.982531895636372,0.474,0.052,1.08757835717153e-60,5.46845273769418e-56,0.5419244745398368,-0.1939092732286143,2179,1926.5,1841
3944,TNR,7143,ENSG00000116147,Non-neuronal,1,1,1.20923018117425,0.838174490728914,0.384,0.232,2.41263966848636e-16,1.21309935171163e-11,5.25189100332557,-0.05904048117140537,1318,2029,1842
4136,ZBTB5,9925,ENSG00000168795,Non-neuronal,0.163,0.219,1.42341028178306,0.986632823597963,0.475,0.05,6.30123227584048e-40,3.16832260061535e-35,0.5300143209602554,-0.20379612795935753,2190,1926.5,1843
2713,NDUFS7,374291,ENSG00000115286,Non-neuronal,0.354,0.527,1.47640627374586,1.02336684600796,0.444,0.112,1.6078503539478e-230,8.08443236468492e-226,1.3820394636943685,-0.23348507597388518,1630.5,1910.5,1844
2796,NRBP2,340371,ENSG00000185189,Non-neuronal,0.5,0.721,1.42701014692992,0.989128059974905,0.475,0.05,0,0,2.4749077431319315,-0.28790228372934656,1473,2021.5,1845
