"","gene","entrez_id","cluster","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"616","LOC105371576",105371576,"VLMC_CYP1B1",0.455,0.134,2.68526234784392,0.000716420201310474,1,0.668,0.336
"617","LOC105371624",105371624,"OPC_MYT1",0.934,0.35,3.47072799921783,0,0,0.938,0.876
"618","LOC105371671",105371671,"Pyramidal",0.49,0.14,3.18029103184512,0,0,0.696,0.392
"619","LOC105371672",105371672,"Pyramidal",0.405,0.007,3.62865866072289,0,0,0.7,0.4
"620","LOC105371765",105371765,"VLMC_CYP1B1",0.364,0.12,3.1424426293355,0.0282058530515579,1,0.62,0.24
"621","LOC105371832",105371832,"Pyramidal",0.896,0.302,4.63266129186508,0,0,0.916,0.832
"622","LOC105372526",105372526,"VLMC_CYP1B1",0.364,0.066,3.56009880430872,2.12281906882625e-05,1,0.656,0.312
"623","LOC105372633",105372633,"Astro_FGFR3",0.4,0.085,2.53045377257591,1.04866143023815e-198,5.27277453738044e-194,0.666,0.332
"624","LOC105372776",105372776,"Micro_C1QC",0.531,0.316,4.047181634496,1.77173588976934e-212,8.90846522734923e-208,0.653,0.306
"625","LOC105372984",105372984,"Micro_C1QC",0.455,0.03,5.17511823398287,0,0,0.718,0.436
"626","LOC105373171",105373171,"VLMC_CYP1B1",0.455,0.118,2.64776740795793,0.00547690585591482,1,0.675,0.35
"627","LOC105373220",105373220,"VLMC_CYP1B1",0.364,0.224,3.73221457908198,3.0148213636313e-08,0.00151588232984745,0.594,0.188
"628","LOC105373335",105373335,"Oligo",0.354,0.141,3.63560001668115,1.76486649588305e-291,8.87392522794955e-287,0.624,0.248
"629","LOC105373437",105373437,"Endo_CLDN5",0.886,0.035,2.80622599789945,1.3495086928152e-84,6.7854646583441e-80,0.934,0.868
"630","LOC105373611",105373611,"VLMC_CYP1B1",0.455,0.292,2.59498305351914,1.30435351658767e-05,0.655841991675448,0.613,0.226
"631","LOC105373720",105373720,"Pyramidal",0.445,0.036,3.34516420300164,0,0,0.712,0.424
"632","LOC105373893",105373893,"Pyramidal",0.821,0.292,4.18281267210845,0,0,0.867,0.734
"633","LOC105373895",105373895,"Pyramidal",0.673,0.157,3.37672573720349,0,0,0.802,0.604
"634","LOC105373896",105373896,"Pyramidal",0.716,0.066,4.04958603006817,0,0,0.846,0.692
"635","LOC105374211",105374211,"Oligo",0.404,0.108,4.273542761283,0,0,0.666,0.332
"636","LOC105374213",105374213,"Oligo",0.435,0.134,3.2237490119614,1.01579674327235e-274,5.10752760484772e-270,0.667,0.334
"637","LOC105374214",105374214,"Oligo",0.801,0.631,3.15636583519647,0,0,0.711,0.422
"638","LOC105374235",105374235,"Pyramidal",0.356,0.072,3.83198339022276,0,0,0.652,0.304
"639","LOC105374438",105374438,"Endo_CLDN5",0.357,0.056,4.55062220845282,1.00592589193255e-47,5.05789597722608e-43,0.659,0.318
"640","LOC105374466",105374466,"VLMC_CYP1B1",0.364,0.037,2.90646433752937,4.52239579780134e-05,1,0.668,0.336
"641","LOC105374524",105374524,"Pyramidal",0.407,0.237,2.81895051378216,9.55120094321161e-253,4.80243934625623e-248,0.606,0.212
"642","LOC105374763",105374763,"VLMC_CYP1B1",0.455,0.302,3.1552774725284,NA,NA,0.596,0.192
"643","LOC105374875",105374875,"OPC_MYT1",0.464,0.092,3.07820426550442,3.23976564330427e-206,1.62898656310982e-201,0.698,0.396
