"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"931","GGT8P",645367,NA,"L5 ET",0.569,0.036,2.34166599123097,1.62311917963486,0.769,0.538,3.72501320736022e-35,1.87297389079279e-30
"932","GGTA1P",2681,NA,"Microglia",0.571,0.223,5.34973714169431,3.70815521650223,0.719,0.438,5.7822858960579e-311,2.90739117139687e-306
"933","GHR",2690,"ENSG00000112964","L5/6 NP",0.946,0.547,2.28423340804955,NA,NA,NA,3.29644732394461e-65,1.65748667895259e-60
"934","GIMAP7",168537,"ENSG00000179144","Endothelial",0.514,0.013,5.63955571666094,3.90904214461425,0.752,0.504,1.41193805321028e-48,7.09936572534663e-44
"935","GIMAP8",155038,"ENSG00000171115","Endothelial",0.414,0.034,4.64262390502509,3.21802167016834,0.694,0.388,1.54754126375563e-28,7.78119222828968e-24
"936","GJA1",2697,"ENSG00000152661","Astrocyte",0.767,0.073,7.72656050521353,5.35564362961458,0.872,0.744,0,0
"937","GJB1",2705,"ENSG00000169562","Oligodendrocyte",0.366,0.07,6.04087956760497,4.18721864038757,0.659,0.318,0,0
"938","GJB6",10804,"ENSG00000121742","Astrocyte",0.436,0.027,6.57453666810461,4.55712155498469,0.71,0.42,0,0
"939","GJC1",10052,"ENSG00000182963","Pericyte",0.781,0.328,6.65191501429814,4.61075613748512,0.816,0.632,1.11821987097582e-60,5.62252133325352e-56
"940","GK",2710,"ENSG00000198814","VLMC",0.545,0.512,2.94884725315133,2.04398515942379,0.542,0.0840000000000001,NA,NA
"941","GLDN",342035,"ENSG00000186417","Oligodendrocyte",0.873,0.229,4.28427444415297,2.96963275170966,0.897,0.794,0,0
"942","GLI3",2737,"ENSG00000106571","Astrocyte",0.946,0.327,6.53401040680217,4.52903089122427,0.955,0.91,0,0
"943","GLIPR1",11010,"ENSG00000139278","Microglia",0.447,0.37,2.89588284047033,2.00727302610393,0.588,0.176,5.33382725450226e-82,2.68190168183628e-77
"944","GLIS3",169792,"ENSG00000107249","Astrocyte",0.981,0.434,4.41398390349208,3.05954049774251,0.954,0.908,0,0
"945","GLP2R",9340,"ENSG00000065325","L2/3 IT",0.437,0.154,3.3799189835574,2.34278131397385,0.662,0.324,1.6413465926976e-197,8.25285480274281e-193
"946","GLRA2",2742,"ENSG00000101958","VIP",0.84,0.535,2.06446982099743,1.43098143577547,0.764,0.528,5.29931374653007e-148,2.66454794489279e-143
"947","GLRA3",8001,"ENSG00000145451","L2/3 IT",0.965,0.356,2.98771427267447,2.07092572442302,0.916,0.832,0,0
"948","GLT8D2",83468,"ENSG00000120820","LAMP5",0.478,0.322,2.31226204061015,1.60273791416471,0.605,0.21,1.31092329161381e-33,6.59145340256342e-29
"949","GLTP",51228,"ENSG00000139433","Oligodendrocyte",0.628,0.284,3.57958153832323,2.48117685087318,0.72,0.44,0,0
"950","GLUD1",2746,"ENSG00000148672","Astrocyte",0.949,0.509,3.5599032439499,2.46753689661008,0.903,0.806,0,0
"951","GLUL",2752,"ENSG00000135821","Astrocyte",0.952,0.345,3.26766641106731,2.26497375984174,0.914,0.828,0,0
"952","GLYATL1P2",100129933,NA,"PAX6",0.394,0.072,2.67947917072875,1.85727343255973,0.667,0.334,1.78012088168729e-14,8.95062580521187e-10
"953","GNA11",2767,"ENSG00000088256","VLMC",0.364,0.31,2.80258168973148,1.9426015965263,0.55,0.1,NA,NA
"954","GNA14",9630,"ENSG00000156049","Astrocyte",0.714,0.281,4.56525797334085,3.16439569275002,0.787,0.574,0,0
