"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"119","ERICH1.AS1",NA,NA,"Neuronal",0.851,0.255,3.91130806883391,0.893,0.786,0,0
"120","ERICH3",127254,"ENSG00000178965","Neuronal",0.717,0.045,2.77526183919438,0.843,0.686,0,0
"121","EYA2",2139,"ENSG00000064655","Non-neuronal",0.615,0.465,3.56249660062258,0.658,0.316,0,0
"122","FA2H",79152,"ENSG00000103089","Non-neuronal",0.552,0.156,5.09287007313671,0.734,0.468,0,0
"123","FAM107B",83641,"ENSG00000065809","Non-neuronal",0.698,0.44,3.56524573359727,0.722,0.444,0,0
"124","FAM153B",202134,"ENSG00000182230","Neuronal",0.807,0.066,2.80517131042347,0.887,0.774,0,0
"125","FAM153C",653316,NA,"Neuronal",0.862,0.103,2.93010853520611,0.913,0.826,0,0
"126","FAXDC2",10826,"ENSG00000170271","Non-neuronal",0.538,0.296,2.93723918205849,0.667,0.334,0,0
"127","FBLN1",2192,"ENSG00000077942","Non-neuronal",0.353,0.231,2.62219114114344,0.582,0.164,7.86505045502622e-127,3.95462601929174e-122
"128","FGF13",2258,"ENSG00000129682","Neuronal",0.819,0.492,2.51070234166487,0.773,0.546,0,0
"129","FGFR2",2263,"ENSG00000066468","Non-neuronal",0.689,0.309,3.18113343182895,0.762,0.524,0,0
"130","FIRRE",286467,NA,"Non-neuronal",0.365,0.225,3.2618799750884,0.594,0.188,2.03524447912315e-185,1.02334127654791e-180
"131","FLT1",2321,"ENSG00000102755","Non-neuronal",0.529,0.426,2.63067136660872,0.583,0.166,5.77084044752406e-39,2.90163628541957e-34
"132","FOLH1",2346,"ENSG00000086205","Non-neuronal",0.391,0.068,4.84394267709571,0.672,0.344,0,0
"133","FOXO1",2308,"ENSG00000150907","Non-neuronal",0.571,0.278,2.89661015983456,0.695,0.39,0,0
"134","FRAS1",80144,"ENSG00000138759","Neuronal",0.862,0.537,2.87552345258884,0.825,0.65,0,0
"135","FRMD4B",23150,"ENSG00000114541","Non-neuronal",0.831,0.594,3.32833620359934,0.776,0.552,0,0
"136","FRMPD4",9758,"ENSG00000169933","Neuronal",0.996,0.562,3.71173133980304,0.985,0.97,0,0
"137","GABBR2",9568,"ENSG00000136928","Neuronal",0.995,0.539,2.94935661225259,0.974,0.948,0,0
"138","GABRA1",2554,"ENSG00000022355","Neuronal",0.943,0.102,2.81808779093595,0.948,0.896,0,0
"139","GABRA4",2557,"ENSG00000109158","Neuronal",0.888,0.064,3.31110807850554,0.93,0.86,0,0
"140","GABRA5",2558,"ENSG00000186297","Neuronal",0.686,0.067,2.86762421875473,0.825,0.65,0,0
"141","GABRB2",2561,"ENSG00000145864","Neuronal",0.985,0.243,3.43246680560873,0.975,0.95,0,0
"142","GABRG2",2566,"ENSG00000113327","Neuronal",0.961,0.105,2.83681130032578,0.963,0.926,0,0
"143","GABRG3",2567,"ENSG00000182256","Neuronal",0.972,0.415,3.90917692678875,0.965,0.93,0,0
"144","GAD2",2572,"ENSG00000136750","Neuronal",0.438,0.174,3.44959780020189,0.656,0.312,0,0
"145","GALNT14",79623,"ENSG00000158089","Neuronal",0.606,0.258,2.86529986817219,0.728,0.456,0,0
"146","GALNTL6",442117,"ENSG00000174473","Neuronal",0.948,0.665,3.41677435781946,0.886,0.772,0,0
"147","GATM",2628,"ENSG00000171766","Non-neuronal",0.53,0.299,2.52442059277619,0.654,0.308,1.02421567827928e-249,5.14985885195602e-245
"148","GDA",9615,"ENSG00000119125","Neuronal",0.825,0.448,2.51394892874227,0.826,0.652,0,0
"149","GLDN",342035,"ENSG00000186417","Non-neuronal",0.467,0.25,3.04342030179336,0.645,0.29,5.82996724137833e-310,2.93136582863744e-305
"150","GLI3",2737,"ENSG00000106571","Non-neuronal",0.528,0.285,3.88702131694585,0.664,0.328,0,0
"151","GLRA3",8001,"ENSG00000145451","Neuronal",0.595,0.217,3.03782939797612,0.734,0.468,0,0
"152","GLUL",2752,"ENSG00000135821","Non-neuronal",0.623,0.229,3.30425689519255,0.744,0.488,0,0
"153","GPR22",2845,"ENSG00000172209, ENSG00000283812","Neuronal",0.726,0.054,2.55504978538283,0.841,0.682,0,0
"154","GPRC5B",51704,"ENSG00000167191","Non-neuronal",0.653,0.171,3.6627202666387,0.781,0.562,0,0
"155","GRAMD3",65983,"ENSG00000155324","Non-neuronal",0.498,0.189,3.1177893412173,0.685,0.37,0,0
"156","GRIA1",2890,"ENSG00000155511","Neuronal",0.993,0.382,2.81843962848932,0.966,0.932,0,0
"157","GRIN2A",2903,"ENSG00000183454","Neuronal",0.956,0.536,2.55524131252313,0.918,0.836,0,0
"158","GRIN2B",2904,"ENSG00000273079","Neuronal",0.998,0.371,2.80125467523274,0.974,0.948,0,0
"159","GRIN3A",116443,"ENSG00000198785","Neuronal",0.612,0.225,3.424725635649,0.743,0.486,0,0
"160","GRIP1",23426,"ENSG00000155974","Neuronal",0.969,0.592,2.96671744322562,0.911,0.822,0,0
"161","GRIP2",80852,"ENSG00000144596","Neuronal",0.407,0.105,2.94253739383089,0.665,0.33,0,0
"162","GRM1",2911,"ENSG00000152822","Neuronal",0.776,0.336,2.8994599657183,0.812,0.624,0,0
"163","GSN",2934,"ENSG00000148180","Non-neuronal",0.755,0.347,3.33129764702805,0.789,0.578,0,0
"164","GULP1",51454,"ENSG00000144366","Neuronal",0.538,0.179,2.60701288653988,0.709,0.418,0,0
