"","Gene","Entrez gene ID","Ensembl gene ID","Cell group","Prevalence in cell group ('pct.1')","Prevalence in all other cells ('pct.2')","Average log2 fold change","AUC from ROC test","Power from ROC test","Mast test p","Mast test FDR (q)","Used in MGP"
"542","OLR1",4973,"ENSG00000173391","Microglia",0.665,0.062,7.68511267693612,0.82,0.64,0,0,TRUE
"543","SAMSN1",64092,"ENSG00000155307","Microglia",0.595,0.086,7.68328680592836,0.777,0.554,0,0,TRUE
"544","CYBB",1536,"ENSG00000165168","Microglia",0.581,0.038,7.67012728210301,0.78,0.56,0,0,TRUE
"545","CD86",942,"ENSG00000114013","Microglia",0.636,0.132,7.6625611953787,0.789,0.578,0,0,TRUE
"546","C1QB",713,"ENSG00000173369","Microglia",0.485,0.014,7.62893303195662,0.739,0.478,0,0,TRUE
"547","HLA.DMB",NA,NA,"Microglia",0.367,0.008,7.60291380946356,0.68,0.36,6.20293991850142e-292,3.1189002204217e-287,FALSE
"548","FGD2",221472,"ENSG00000146192","Microglia",0.707,0.051,7.5799186005052,0.844,0.688,0,0,TRUE
"549","RHBDF2",79651,"ENSG00000129667","Microglia",0.673,0.126,7.47773266503373,0.812,0.624,0,0,TRUE
"550","LOC105372984",105372984,NA,"Microglia",0.455,0.03,7.46900211935204,0.718,0.436,0,0,FALSE
"551","FAM177B",400823,"ENSG00000197520","Microglia",0.617,0.058,7.4242135178133,0.796,0.592,0,0,TRUE
"552","HPGDS",27306,"ENSG00000163106","Microglia",0.508,0.165,7.42025995000471,0.707,0.414,0,0,TRUE
"553","IRF8",3394,"ENSG00000140968","Microglia",0.499,0.019,7.41675966376328,0.744,0.488,0,0,TRUE
"554","STAB1",23166,"ENSG00000010327","Microglia",0.415,0.022,7.41175521306061,0.7,0.4,0,0,TRUE
"555","PTPRC",5788,"ENSG00000262418, ENSG00000081237","Microglia",0.789,0.121,7.40878282313672,0.876,0.752,0,0,TRUE
"556","SELPLG",6404,"ENSG00000110876","Microglia",0.468,0.027,7.40078156730493,0.726,0.452,0,0,TRUE
"557","BLNK",29760,"ENSG00000095585","Microglia",0.928,0.178,7.36427505538064,0.951,0.902,0,0,TRUE
"558","TMEM156",80008,"ENSG00000121895","Microglia",0.653,0.198,7.35453743894947,0.781,0.562,0,0,TRUE
"559","LAPTM5",7805,"ENSG00000162511","Microglia",0.755,0.032,7.35447442773574,0.87,0.74,0,0,TRUE
"560","TYROBP",7305,"ENSG00000011600","Microglia",0.497,0.036,7.32978003966562,0.739,0.478,0,0,TRUE
"561","LOC105377918",105377918,NA,"Microglia",0.525,0.037,7.31708627775334,0.752,0.504,0,0,FALSE
"562","RGS10",6001,"ENSG00000148908","Microglia",0.617,0.14,7.28687238961415,0.778,0.556,0,0,TRUE
"563","GPR34",2857,"ENSG00000171659","Microglia",0.488,0.034,7.27629803587234,0.733,0.466,0,0,TRUE
"564","LOC105377684",105377684,NA,"Microglia",0.788,0.165,7.26589612296882,0.867,0.734,0,0,FALSE
"565","HLA.DRB1",NA,NA,"Microglia",0.631,0.062,7.22583485691426,0.802,0.604,0,0,FALSE
"566","C1QA",712,"ENSG00000173372","Microglia",0.367,0.007,7.20707087707716,0.681,0.362,3.11136279571871e-313,1.56442432731532e-308,TRUE
"567","ALOX5AP",241,"ENSG00000132965","Microglia",0.369,0.115,7.19016607442247,0.645,0.29,0,0,TRUE
"568","CLEC7A",64581,"ENSG00000172243","Microglia",0.388,0.012,7.15289178324701,0.69,0.38,1.63514643256554e-295,8.22167977758278e-291,TRUE
"569","INPP5D",3635,"ENSG00000281614, ENSG00000168918","Microglia",0.937,0.319,7.1453425920105,0.949,0.898,0,0,TRUE
"570","HCK",3055,"ENSG00000101336","Microglia",0.631,0.226,7.13524482047303,0.765,0.53,0,0,TRUE
"571","TAL1",6886,"ENSG00000162367","Microglia",0.499,0.011,7.12037310538009,0.746,0.492,0,0,TRUE
"572","LST1",7940,"ENSG00000235915, ENSG00000230791, ENSG00000206433, ENSG00000231048, ENSG00000234514, ENSG00000223465, ENSG00000226182, ENSG00000204482","Microglia",0.432,0.008,7.05041486252148,0.713,0.426,0,0,TRUE
"573","LILRB4",11006,"ENSG00000278555, ENSG00000278279, ENSG00000276042, ENSG00000275730, ENSG00000186818","Microglia",0.471,0.076,7.04699563927293,0.713,0.426,0,0,TRUE
"574","NCKAP1L",3071,"ENSG00000123338","Microglia",0.457,0.077,7.01144886573651,0.706,0.412,0,0,TRUE
"575","P2RY13",53829,"ENSG00000181631","Microglia",0.612,0.088,6.98669504861691,0.784,0.568,0,0,TRUE
"576","LILRB1",10859,"ENSG00000276452, ENSG00000277807, ENSG00000274669, ENSG00000277134, ENSG00000104972","Microglia",0.42,0.02,6.97608081285281,0.704,0.408,1.69666829488601e-315,8.53101785351632e-311,TRUE
"577","BIN2",51411,"ENSG00000110934","Microglia",0.592,0.192,6.96268818687856,0.747,0.494,0,0,TRUE
"578","ITGAM",3684,"ENSG00000169896","Microglia",0.683,0.304,6.96077999114237,0.773,0.546,0,0,TRUE
"579","TBXAS1",6916,"ENSG00000059377","Microglia",0.931,0.297,6.9434008219168,0.947,0.894,0,0,TRUE
"580","TFEC",22797,"ENSG00000105967","Microglia",0.521,0.283,6.92787882137046,0.676,0.352,0,0,TRUE
"581","SUSD3",203328,"ENSG00000157303","Microglia",0.483,0.08,6.87333417208885,0.718,0.436,0,0,TRUE
"582","IL18",3606,"ENSG00000150782","Microglia",0.552,0.08,6.86737276923785,0.754,0.508,0,0,TRUE
"583","SLC2A5",6518,"ENSG00000142583","Microglia",0.795,0.493,6.81627807061166,0.797,0.594,0,0,TRUE
"584","LINC01141",339505,NA,"Microglia",0.756,0.14,6.81229515520263,0.85,0.7,0,0,FALSE
"585","HLA.DPA1",NA,NA,"Microglia",0.463,0.033,6.80638709748977,0.721,0.442,3.70855748399834e-307,1.86469978852921e-302,FALSE
"586","DOCK2",1794,"ENSG00000134516","Microglia",0.808,0.383,6.77066897967425,0.846,0.692,0,0,TRUE
"587","ADAP2",55803,"ENSG00000184060","Microglia",0.617,0.208,6.74811939398685,0.759,0.518,0,0,TRUE
"588","WDFY4",57705,"ENSG00000128815","Microglia",0.523,0.102,6.70946944452159,0.73,0.46,0,0,TRUE
"589","LOC285626",285626,"ENSG00000249738","Microglia",0.392,0.108,6.70894278513242,0.657,0.314,1.42107065832184e-253,7.14528537710805e-249,TRUE
"590","RUNX1",861,"ENSG00000159216","Microglia",0.821,0.247,6.69450018767732,0.874,0.748,0,0,TRUE
"591","HCLS1",3059,"ENSG00000180353","Microglia",0.44,0.061,6.68792458504575,0.7,0.4,1.80277584545865e-290,9.06453722855063e-286,TRUE
"592","LPAR5",57121,"ENSG00000184574","Microglia",0.616,0.236,6.66960583807029,0.747,0.494,0,0,TRUE
"593","ITGB2",3689,"ENSG00000160255","Microglia",0.392,0.099,6.64319421452838,0.663,0.326,0,0,TRUE
"594","MSR1",4481,"ENSG00000038945","Microglia",0.395,0.125,6.61670210787677,0.655,0.31,1.21452690625241e-282,6.10676273732775e-278,TRUE
"595","HLA.DMA",NA,NA,"Microglia",0.395,0.039,6.59319976571341,0.684,0.368,1.77707128197222e-246,8.93529211288454e-242,FALSE
"596","CYTH4",27128,"ENSG00000100055","Microglia",0.403,0.056,6.58461641928749,0.683,0.366,2.61135942085605e-298,1.31301763040063e-293,TRUE
"597","BNC2",54796,"ENSG00000173068","Microglia",0.825,0.492,6.57820800396392,0.83,0.66,0,0,TRUE
"598","ALOX5",240,"ENSG00000275565, ENSG00000012779","Microglia",0.623,0.184,6.52188576736842,0.767,0.534,0,0,TRUE
"599","LOC105369213",105369213,NA,"Microglia",0.404,0.103,6.49409017938571,0.667,0.334,3.51325563978527e-286,1.76650006824043e-281,FALSE
"600","CSF2RA",1438,"ENSG00000198223","Microglia",0.521,0.005,6.36220685851886,0.759,0.518,0,0,TRUE
"601","MRC1",4360,"ENSG00000260314","Microglia",0.599,0.219,6.24712491772725,0.74,0.48,0,0,TRUE
"602","HAVCR2",84868,"ENSG00000135077","Microglia",0.575,0.15,6.19993691033558,0.748,0.496,0,0,TRUE
"603","NRROS",375387,"ENSG00000174004","Microglia",0.415,0.152,6.16802624207433,0.654,0.308,2.45058818456375e-246,1.2321802450805e-241,TRUE
"604","LOC105370359",105370359,NA,"Microglia",0.685,0.368,6.15092942942881,0.745,0.49,0,0,FALSE
"605","TRIM38",10475,"ENSG00000112343","Microglia",0.392,0.108,6.13218740915262,0.658,0.316,9.11765421001368e-254,4.58444771333698e-249,TRUE
"606","SH3TC1",54436,"ENSG00000125089","Microglia",0.581,0.064,6.12731296735116,0.774,0.548,0,0,TRUE
"607","ARHGDIB",397,"ENSG00000111348","Microglia",0.353,0.03,6.12091679584479,0.665,0.33,2.90137747903943e-219,1.45884161023582e-214,TRUE
"608","PIK3AP1",118788,"ENSG00000155629","Microglia",0.552,0.279,6.1184884106194,0.691,0.382,0,0,TRUE
"609","LTC4S",4056,"ENSG00000283887, ENSG00000213316","Microglia",0.477,0.034,6.10890129370295,0.729,0.458,0,0,TRUE
"610","CD4",920,"ENSG00000010610","Microglia",0.531,0.179,6.10062295563258,0.715,0.43,0,0,TRUE
"611","HLA.DRB5",NA,NA,"Microglia",0.531,0.08,6.0711549175822,0.744,0.488,0,0,FALSE
"612","SPTLC3",55304,"ENSG00000172296","Microglia",0.411,0.119,6.02727569924844,0.665,0.33,1.43542188863064e-250,7.21744479822371e-246,TRUE
"613","CMTM7",112616,"ENSG00000153551","Microglia",0.385,0.145,6.00499967769668,0.642,0.284,8.11972778392348e-292,4.08268032703457e-287,TRUE
"614","IL13RA1",3597,"ENSG00000131724","Microglia",0.528,0.149,5.9969504941156,0.722,0.444,0,0,TRUE
"615","CARD11",84433,"ENSG00000198286","Microglia",0.66,0.434,5.96866478963353,0.715,0.43,0,0,TRUE
"616","C1QC",714,"ENSG00000159189","Microglia",0.557,0.006,5.95598671636288,0.777,0.554,0,0,TRUE
"617","ARHGAP25",9938,"ENSG00000163219","Microglia",0.547,0.173,5.87729475352455,0.723,0.446,1.31186024975004e-299,6.59616452176816e-295,TRUE
"618","LOC101930023",101930023,NA,"Microglia",0.473,0.197,5.86680271510121,0.674,0.348,2.64149656654704e-307,1.32817088862552e-302,FALSE
"619","LAT2",7462,"ENSG00000086730","Microglia",0.48,0.195,5.86109088870826,0.678,0.356,0,0,TRUE
"620","FCGR1B",2210,NA,"Microglia",0.361,0.01,5.84125763578132,0.677,0.354,1.79575888771676e-252,9.02925526332862e-248,TRUE
"621","LOC105372776",105372776,NA,"Microglia",0.531,0.316,5.83538018549908,0.653,0.306,2.57207825210945e-213,1.29326666594315e-208,FALSE
"622","ATP8B4",79895,"ENSG00000104043","Microglia",0.924,0.461,5.77791344919358,0.919,0.838,0,0,TRUE
"623","AOAH",313,"ENSG00000136250","Microglia",0.931,0.414,5.69511680245452,0.932,0.864,0,0,TRUE
"624","RNASEH2B.AS1",NA,NA,"Microglia",0.389,0.075,5.69431387315363,0.667,0.334,9.13685095107814e-191,4.5941000267116e-186,FALSE
"625","LOC105376219",105376219,NA,"Microglia",0.425,0.288,5.68658363607131,0.606,0.212,1.56886068043384e-247,7.88838838728937e-243,FALSE
"626","RBM47",54502,"ENSG00000163694","Microglia",0.919,0.768,5.68136939539768,0.81,0.62,0,0,TRUE
"627","PLCB2",5330,"ENSG00000137841","Microglia",0.475,0.097,5.64339756261537,0.705,0.41,9.93166834690655e-244,4.99374216150808e-239,TRUE
"628","ST6GAL1",6480,"ENSG00000073849","Microglia",0.983,0.65,5.60134120600404,0.97,0.94,0,0,TRUE
"629","RASGEF1C",255426,"ENSG00000146090","Microglia",0.949,0.519,5.53604987769772,0.926,0.852,0,0,TRUE
"630","GAB3",139716,"ENSG00000160219","Microglia",0.461,0.142,5.5122832376296,0.684,0.368,5.88102092509252e-264,2.95703613134577e-259,TRUE
"631","IGSF10",285313,"ENSG00000152580","Microglia",0.548,0.326,5.47005011491358,0.67,0.34,7.00326301983018e-297,3.52131067900081e-292,TRUE
"632","FCGBP",8857,"ENSG00000281123, ENSG00000275395","Microglia",0.38,0.197,5.45368833221934,0.615,0.23,1.79262158168272e-196,9.01348057485888e-192,TRUE
"633","TMIGD3",57413,"ENSG00000121933","Microglia",0.488,0.114,5.43135964530605,0.709,0.418,1.69772836122627e-297,8.53634797308183e-293,TRUE
"634","ZFPM2.AS1",NA,NA,"Microglia",0.497,0.301,5.42873982592079,0.643,0.286,1.96466564140896e-228,9.87853531156837e-224,FALSE
"635","DLEU7",220107,"ENSG00000186047","Microglia",0.892,0.393,5.402523901606,0.896,0.792,0,0,TRUE
"636","GGTA1P",2681,"ENSG00000204136","Microglia",0.571,0.223,5.34983232634435,0.719,0.438,5.34333570095851e-311,2.68668262379895e-306,FALSE
"637","C12orf75",387882,"ENSG00000235162","Microglia",0.428,0.129,5.33109220445393,0.67,0.34,1.68412234727359e-207,8.46793557432632e-203,TRUE
"638","FAM105A",54491,"ENSG00000145569","Microglia",0.537,0.154,5.31200446898062,0.721,0.442,3.19635051870834e-245,1.60715700431174e-240,TRUE
"639","IPCEF1",26034,"ENSG00000074706","Microglia",0.947,0.798,5.28987880709725,0.866,0.732,0,0,TRUE
"640","VAV1",7409,"ENSG00000141968","Microglia",0.671,0.493,5.27502917737828,0.689,0.378,0,0,TRUE
"641","RNASET2",8635,"ENSG00000026297","Microglia",0.871,0.341,5.24245473699227,0.891,0.782,0,0,TRUE
"642","LPCAT2",54947,"ENSG00000087253","Microglia",0.773,0.203,5.21348026381281,0.846,0.692,0,0,TRUE
"643","MYO1F",4542,"ENSG00000142347","Microglia",0.783,0.481,5.20434496554878,0.784,0.568,0,0,TRUE
"644","C10orf11",83938,"ENSG00000148655","Microglia",0.999,0.736,5.20215116042351,0.991,0.982,0,0,TRUE
"645","ABCC4",10257,"ENSG00000125257","Microglia",0.9,0.613,5.17208292083141,0.868,0.736,0,0,TRUE
"646","CTSS",1520,"ENSG00000163131","Microglia",0.457,0.242,5.15218398755344,0.642,0.284,4.06685262270537e-192,2.04485416722249e-187,TRUE
"647","SRGAP2B",647135,"ENSG00000196369","Microglia",1,0.731,5.13498338824929,0.98,0.96,0,0,TRUE
"648","RIN3",79890,"ENSG00000100599","Microglia",0.755,0.366,5.10170255743357,0.788,0.576,0,0,TRUE
"649","LYN",4067,"ENSG00000254087","Microglia",0.819,0.395,5.03801927681776,0.84,0.68,0,0,TRUE
"650","CASS4",57091,"ENSG00000087589","Microglia",0.364,0.203,5.022583145382,0.605,0.21,5.2878229271027e-172,2.65877024597651e-167,TRUE
"651","IFI16",3428,"ENSG00000163565","Microglia",0.673,0.151,4.98308131111164,0.797,0.594,0,0,TRUE
"652","NFATC2",4773,"ENSG00000101096","Microglia",0.591,0.252,4.97027523285509,0.723,0.446,1.06867057888341e-309,5.37338253768369e-305,TRUE
"653","ARHGAP15",55843,"ENSG00000075884","Microglia",0.867,0.39,4.96201986494445,0.876,0.752,0,0,TRUE
"654","SRGAP2",23380,"ENSG00000266028","Microglia",1,0.77,4.942886634257,0.987,0.974,0,0,TRUE
"655","ADCY7",113,"ENSG00000121281","Microglia",0.509,0.219,4.92433096608073,0.682,0.364,5.1688300824626e-201,2.59893945376302e-196,TRUE
"656","LOC105369827",105369827,NA,"Microglia",0.444,0.237,4.91098303259441,0.639,0.278,1.42213999756545e-195,7.15066212175886e-191,FALSE
"657","S100Z",170591,"ENSG00000171643","Microglia",0.499,0.294,4.90097222428798,0.648,0.296,4.98847754749312e-203,2.50825639565501e-198,FALSE
"658","CYFIP1",23191,"ENSG00000280618, ENSG00000288461, ENSG00000273749","Microglia",0.997,0.947,4.87273181666352,0.926,0.852,0,0,TRUE
"659","GAL3ST4",79690,"ENSG00000197093","Microglia",0.457,0.11,4.85087871425148,0.691,0.382,2.10982527725944e-209,1.06084124765882e-204,TRUE
"660","LHFPL2",10184,"ENSG00000145685","Microglia",0.803,0.379,4.83332796367861,0.831,0.662,0,0,TRUE
"661","ARRDC5",645432,"ENSG00000205784","Microglia",0.373,0.275,4.82063599261642,0.58,0.16,3.21636632552348e-217,1.61722115213646e-212,FALSE
"662","SOCS6",9306,"ENSG00000170677","Microglia",0.723,0.294,4.80970403743092,0.789,0.578,4.64959596359399e-314,2.33786334645469e-309,TRUE
"663","HLA.DRB6",NA,NA,"Microglia",0.52,0.029,4.80722860772003,0.752,0.504,0,0,FALSE
"664","FCGR2A",2212,"ENSG00000143226","Microglia",0.748,0.727,4.78057807258777,0.626,0.252,2.34055335817541e-253,1.17685363402418e-248,TRUE
"665","KCNK13",56659,"ENSG00000152315","Microglia",0.529,0.339,4.77736996839957,0.648,0.296,2.44523345508295e-183,1.22948783355026e-178,TRUE
"666","KCNQ1",3784,"ENSG00000282076, ENSG00000053918","Microglia",0.592,0.303,4.73291727487723,0.703,0.406,1.45327495596801e-230,7.30721180610277e-226,TRUE
"667","CTSC",1075,"ENSG00000109861","Microglia",0.392,0.108,4.72362772131255,0.656,0.312,3.2021080254918e-149,1.61005193629753e-144,TRUE
"668","LINC01091",285419,"ENSG00000249464","Microglia",0.663,0.504,4.71902387309856,0.653,0.306,4.77149075580508e-128,2.39915326692635e-123,FALSE
"669","LOC105378119",105378119,NA,"Microglia",0.424,0.095,4.71414314978711,0.676,0.352,1.72045244509846e-170,8.65060693919957e-166,FALSE
"670","SFMBT2",57713,"ENSG00000198879","Microglia",0.992,0.679,4.63254496948707,0.965,0.93,0,0,TRUE
"671","CIITA",4261,"ENSG00000179583","Microglia",0.485,0.214,4.57847821587264,0.666,0.332,4.51500230282763e-172,2.27018830788476e-167,TRUE
"672","ARHGAP27",201176,"ENSG00000276907, ENSG00000276836, ENSG00000159314","Microglia",0.425,0.24,4.57501554181859,0.62,0.24,2.94394128880583e-132,1.48024311942446e-127,TRUE
"673","NCMAP",400746,"ENSG00000184454","Microglia",0.356,0.275,4.55411297913161,0.561,0.122,3.03711657519942e-92,1.52709258517602e-87,FALSE
"674","LRRK1",79705,"ENSG00000154237","Microglia",0.74,0.371,4.55166273190876,0.784,0.568,6.09099627003236e-285,3.06261383453497e-280,TRUE
"675","FMNL3",91010,"ENSG00000161791","Microglia",0.78,0.403,4.53293887815096,0.799,0.598,0,0,TRUE
"676","B4GALT1",2683,"ENSG00000086062","Microglia",0.401,0.162,4.52924922978422,0.638,0.276,3.62170452079069e-138,1.82102925009877e-133,TRUE
"677","KIAA0226L",80183,"ENSG00000102445","Microglia",0.601,0.235,4.46665892590769,0.725,0.45,1.4785566893425e-198,7.43433088968305e-194,TRUE
"678","TGFBR1",7046,"ENSG00000106799","Microglia",0.508,0.161,4.43528232843176,0.698,0.396,1.88702867158343e-173,9.48816886358865e-169,TRUE
"679","ZFP36L2",678,"ENSG00000152518","Microglia",0.655,0.102,4.43336659930858,0.793,0.586,1.11408508278394e-300,5.60173120474591e-296,TRUE
"680","FGD3",89846,"ENSG00000127084","Microglia",0.431,0.283,4.39776712188942,0.608,0.216,4.37762802643345e-169,2.201115147971e-164,TRUE
"681","MIR31HG",554202,"ENSG00000171889","Microglia",0.507,0.256,4.38398590376051,0.665,0.33,6.6963835804249e-157,3.36700862807345e-152,TRUE
"682","SLC7A7",9056,"ENSG00000155465","Microglia",0.4,0.288,4.36160261594694,0.586,0.172,1.78017671569777e-117,8.95090654419994e-113,TRUE
"683","SRGAP2C",653464,"ENSG00000171943","Microglia",0.993,0.629,4.35125288643969,0.939,0.878,0,0,TRUE
"684","ITGAL",3683,"ENSG00000005844","Microglia",0.504,0.433,4.34140869650264,0.578,0.156,9.6790970404376e-116,4.86674678290243e-111,TRUE
"685","MAML3",55534,"ENSG00000196782","Microglia",0.932,0.618,4.30266126328297,0.881,0.762,0,0,TRUE
"686","BHLHE41",79365,"ENSG00000123095","Microglia",0.751,0.201,4.27969564716834,0.824,0.648,0,0,TRUE
"687","KCTD12",115207,"ENSG00000178695","Microglia",0.353,0.118,4.27688245041719,0.63,0.26,7.46829069569862e-107,3.75513124470422e-102,TRUE
"688","ZNF710",374655,"ENSG00000140548","Microglia",0.9,0.509,4.27392835431176,0.865,0.73,0,0,TRUE
"689","SYNDIG1",79953,"ENSG00000101463","Microglia",0.955,0.662,4.25959601651565,0.919,0.838,0,0,TRUE
"690","TRIM22",10346,"ENSG00000132274","Microglia",0.385,0.13,4.24776910928975,0.642,0.284,3.81493636959687e-116,1.918188155997e-111,TRUE
"691","RREB1",6239,"ENSG00000124782","Microglia",0.621,0.323,4.24730395507269,0.713,0.426,6.57628894282627e-232,3.30662384334248e-227,TRUE
"692","PLXDC2",84898,"ENSG00000120594","Microglia",1,0.857,4.24316404916831,0.991,0.982,0,0,TRUE
"693","BROX",148362,"ENSG00000162819","Microglia",0.675,0.381,4.22350887380217,0.738,0.476,1.71159607261571e-255,8.60607621271904e-251,TRUE
"694","WNT2B",7482,"ENSG00000134245","Microglia",0.365,0.176,4.20815607003966,0.613,0.226,2.33385968610831e-100,1.17348798877212e-95,TRUE
"695","ARHGAP22",58504,"ENSG00000128805","Microglia",0.941,0.527,4.20659396748057,0.912,0.824,0,0,TRUE
"696","RPS6KA1",6195,"ENSG00000281877, ENSG00000117676","Microglia",0.467,0.243,4.18436856319327,0.647,0.294,3.90601037005056e-170,1.96398107416512e-165,TRUE
"697","RNF135",84282,"ENSG00000181481","Microglia",0.5,0.202,4.16747357818324,0.68,0.36,6.35995130172784e-186,3.19784711402177e-181,TRUE
"698","MIS18BP1",55320,"ENSG00000129534","Microglia",0.613,0.303,4.16549300118349,0.715,0.43,1.5635484680337e-177,7.86167805212026e-173,TRUE
"699","IFNGR1",3459,"ENSG00000027697","Microglia",0.824,0.41,4.16295203207219,0.836,0.672,0,0,TRUE
"700","TGFB1",7040,"ENSG00000105329","Microglia",0.507,0.239,4.16175081229279,0.671,0.342,1.61703042124353e-199,8.13059066105461e-195,TRUE
"701","MKNK1",8569,"ENSG00000079277","Microglia",0.813,0.51,4.15865091094514,0.807,0.614,3.60948458854738e-315,1.81488494596751e-310,TRUE
"702","FCGRT",2217,"ENSG00000104870","Microglia",0.505,0.195,4.15170457919737,0.688,0.376,1.14081818501802e-208,5.73614791608913e-204,TRUE
"703","PTAFR",5724,"ENSG00000169403","Microglia",0.573,0.343,4.1445790139117,0.677,0.354,8.03365397662793e-206,4.03940155598829e-201,TRUE
"704","PILRA",29992,"ENSG00000085514","Microglia",0.541,0.351,4.13432865793301,0.65,0.3,9.87367925617318e-163,4.96458466679644e-158,TRUE
"705","DPYS",1807,"ENSG00000147647","Microglia",0.359,0.252,4.13287210159002,0.571,0.142,4.12202091400894e-59,2.07259333577283e-54,TRUE
"706","PRKCD",5580,"ENSG00000163932","Microglia",0.415,0.174,4.11660498655522,0.64,0.28,6.14047508437566e-117,3.08749227717493e-112,TRUE
"707","LINC01094",100505702,NA,"Microglia",0.413,0.148,4.10935196390372,0.653,0.306,1.72300971759962e-163,8.66346516106267e-159,FALSE
"708","MIR646HG",284757,"ENSG00000228340","Microglia",0.4,0.227,4.10105284568514,0.611,0.222,8.14540695798383e-90,4.09559207254385e-85,TRUE
"709","SH2B3",10019,"ENSG00000111252","Microglia",0.58,0.338,4.09056998523107,0.681,0.362,7.02500954683957e-180,3.5322450502464e-175,TRUE
"710","USP53",54532,"ENSG00000145390","Microglia",0.873,0.589,4.06104695233875,0.838,0.676,0,0,TRUE
"711","LOC105376908",105376908,NA,"Microglia",0.485,0.317,4.04804988109711,0.624,0.248,4.89485709837795e-175,2.46118309763542e-170,FALSE
"712","CAPZB",832,"ENSG00000077549","Microglia",0.941,0.797,4.04635437848396,0.857,0.714,0,0,TRUE
"713","RUNX2",860,"ENSG00000124813","Microglia",0.688,0.375,4.03398647080243,0.74,0.48,3.73460512167607e-225,1.87779680122995e-220,TRUE
"714","SPNS3",201305,"ENSG00000182557","Microglia",0.411,0.348,4.02643910444582,0.563,0.126,4.96935231548617e-119,2.4986400377496e-114,FALSE
"715","IL17RA",23765,"ENSG00000177663","Microglia",0.411,0.13,3.91249029519903,0.656,0.312,1.12046753095041e-139,5.63382279237175e-135,TRUE
"716","SERPINB9",5272,"ENSG00000170542","Microglia",0.427,0.234,3.90789761229857,0.619,0.238,2.67631506038399e-90,1.34567797551167e-85,TRUE
"717","ZFHX3",463,"ENSG00000140836","Microglia",0.919,0.582,3.90212190138879,0.868,0.736,0,0,TRUE
"718","ZFP36L1",677,"ENSG00000185650","Microglia",0.665,0.175,3.88660739641403,0.776,0.552,1.19059834463987e-248,5.98644753668375e-244,TRUE
"719","LRMP",4033,"ENSG00000118308","Microglia",0.537,0.256,3.87590289685855,0.678,0.356,1.44016708600797e-122,7.24130412515669e-118,TRUE
"720","NAIP",4671,"ENSG00000276068, ENSG00000278613, ENSG00000249437","Microglia",0.456,0.359,3.84402533387044,0.593,0.186,2.08245301181885e-142,1.04707819887264e-137,TRUE
"721","ARRB2",409,"ENSG00000141480","Microglia",0.524,0.327,3.80297002749531,0.657,0.314,5.28964401040446e-202,2.65968590487147e-197,TRUE
"722","OR3A1",4994,"ENSG00000180090","Microglia",0.527,0.47,3.79317322906662,0.566,0.132,1.51717849712752e-48,7.62852520140688e-44,FALSE
"723","CARD8",22900,"ENSG00000105483","Microglia",0.475,0.257,3.78068342472428,0.644,0.288,3.13091939014451e-129,1.57425757855856e-124,TRUE
"724","GCNT2",2651,"ENSG00000285222, ENSG00000111846","Microglia",0.569,0.349,3.7677824296955,0.662,0.324,1.00955577973545e-146,5.07614741608782e-142,TRUE
"725","ITPR2",3709,"ENSG00000123104","Microglia",1,0.658,3.76544296870966,0.966,0.932,0,0,TRUE
"726","RAB39A",54734,"ENSG00000179331","Microglia",0.511,0.392,3.74028156665667,0.594,0.188,6.45042925749366e-69,3.24334033496039e-64,TRUE
"727","LOC401478",401478,NA,"Microglia",0.715,0.405,3.72386725749612,0.749,0.498,1.88753285936359e-252,9.49070397016605e-248,FALSE
"728","SORL1",6653,"ENSG00000137642","Microglia",0.98,0.763,3.72120828014386,0.929,0.858,0,0,TRUE
"729","SP110",3431,"ENSG00000135899","Microglia",0.456,0.13,3.71671606227504,0.679,0.358,6.4157708627272e-141,3.22591374748786e-136,TRUE
"730","MB21D1",115004,"ENSG00000164430","Microglia",0.352,0.274,3.70329686081807,0.561,0.122,6.21744339724063e-84,3.12619271456656e-79,FALSE
"731","CECR1",51816,"ENSG00000093072","Microglia",0.412,0.312,3.69809313974517,0.583,0.166,2.57865689202711e-107,1.29657447188015e-102,TRUE
"732","HVCN1",84329,"ENSG00000122986","Microglia",0.369,0.31,3.68488870528118,0.556,0.112,2.18611648646212e-81,1.09920123055802e-76,TRUE
"733","FAM149A",25854,"ENSG00000109794","Microglia",0.413,0.258,3.68321955617128,0.61,0.22,9.06201783970222e-96,4.55647318998067e-91,TRUE
"734","ADAMTSL2",9719,"ENSG00000197859","Microglia",0.453,0.251,3.66759820255098,0.636,0.272,2.03469321843929e-139,1.02306409716346e-134,TRUE
"735","CPVL",54504,"ENSG00000106066","Microglia",0.376,0.271,3.65617575473071,0.577,0.154,4.39178096448021e-70,2.2082313867503e-65,TRUE
"736","AKAP13",11214,"ENSG00000170776","Microglia",0.952,0.756,3.65405852195983,0.849,0.698,1.52784876834903e-307,7.68217639213576e-303,TRUE
"737","KBTBD12",166348,"ENSG00000187715","Microglia",0.692,0.411,3.65271568548476,0.734,0.468,1.40877292018558e-182,7.08345111998513e-178,TRUE
"738","COTL1",23406,"ENSG00000103187","Microglia",0.463,0.226,3.64148052514778,0.645,0.29,7.64624717832683e-110,3.84460954373451e-105,TRUE
"739","ARID3A",1820,"ENSG00000116017","Microglia",0.511,0.404,3.63549745706269,0.6,0.2,2.08089356841045e-110,1.04629409513246e-105,TRUE
