"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"111","EBF1",1879,"ENSG00000164330","Non-neuronal",0.446,0.371,3.01307810376013,0.578,0.156,5.42506190637462e-143,2.72777537714422e-138
"112","EFHD1",80303,"ENSG00000115468","Non-neuronal",0.536,0.391,3.28782783611597,0.641,0.282,0,0
"113","EIF4E1B",253314,"ENSG00000175766","Neuronal",0.391,0.056,2.75105576712721,0.675,0.35,0,0
"114","ELAVL2",1993,"ENSG00000107105","Neuronal",0.81,0.124,3.21801136010451,0.88,0.76,0,0
"115","ELF1",1997,"ENSG00000120690","Non-neuronal",0.537,0.47,2.56280746384402,0.605,0.21,0,0
"116","ENOSF1",55556,"ENSG00000132199","Non-neuronal",0.494,0.259,2.75951617400549,0.657,0.314,0,0
"117","ENPP2",5168,"ENSG00000136960","Non-neuronal",0.584,0.345,4.34459440990969,0.694,0.388,0,0
"118","EPB41L4B",54566,"ENSG00000095203","Neuronal",0.894,0.292,2.52146826975705,0.899,0.798,0,0
"119","EPHA5",2044,"ENSG00000145242","Neuronal",0.993,0.899,2.59259460079565,0.893,0.786,0,0
"120","EPHA7",2045,"ENSG00000135333","Neuronal",0.785,0.126,3.20755194921599,0.866,0.732,0,0
"121","EPHB6",2051,"ENSG00000106123, ENSG00000275482","Neuronal",0.818,0.045,2.72370648053377,0.892,0.784,0,0
"122","ERBB3",2065,"ENSG00000065361","Non-neuronal",0.441,0.19,4.06565902847135,0.659,0.318,0,0
"123","ERICH1.AS1",NA,NA,"Neuronal",0.933,0.255,4.17660424497505,0.944,0.888,0,0
"124","EYA2",2139,"ENSG00000064655","Non-neuronal",0.615,0.601,3.49241867391898,0.62,0.24,0,0
"125","FA2H",79152,"ENSG00000103089","Non-neuronal",0.552,0.223,4.92151217534355,0.718,0.436,0,0
"126","FAM107B",83641,"ENSG00000065809","Non-neuronal",0.698,0.571,3.82539296680104,0.698,0.396,0,0
"127","FAM153B",202134,"ENSG00000182230","Neuronal",0.893,0.066,3.19798426065433,0.933,0.866,0,0
"128","FAM153C",653316,NA,"Neuronal",0.92,0.103,3.1834936684915,0.945,0.89,0,0
"129","FAXDC2",10826,"ENSG00000170271","Non-neuronal",0.538,0.389,2.75897326543314,0.639,0.278,0,0
"130","FBLN1",2192,"ENSG00000077942","Non-neuronal",0.353,0.336,2.63562791739711,0.543,0.0860000000000001,0,0
"131","FGF13",2258,"ENSG00000129682","Neuronal",0.893,0.492,2.50064752484708,0.806,0.612,0,0
"132","FGFR2",2263,"ENSG00000066468","Non-neuronal",0.689,0.436,3.02280913775822,0.733,0.466,0,0
"133","FIRRE",286467,NA,"Non-neuronal",0.365,0.341,3.06490885712333,0.553,0.106,0,0
"134","FOLH1",2346,"ENSG00000086205","Non-neuronal",0.391,0.138,4.63323675651892,0.648,0.296,0,0
"135","FOXO1",2308,"ENSG00000150907","Non-neuronal",0.571,0.364,2.78729468576436,0.675,0.35,0,0
"136","FRAS1",80144,"ENSG00000138759","Neuronal",0.934,0.537,3.00894399628622,0.865,0.73,0,0
"137","FRMD4B",23150,"ENSG00000114541","Non-neuronal",0.831,0.732,3.22530785799778,0.754,0.508,0,0
"138","FRMPD4",9758,"ENSG00000169933","Neuronal",0.999,0.562,3.7915744484457,0.991,0.982,0,0
"139","FSTL4",23105,"ENSG00000053108","Neuronal",0.905,0.375,3.26732233241046,0.889,0.778,0,0
"140","GABBR2",9568,"ENSG00000136928","Neuronal",0.999,0.539,3.22975616139044,0.983,0.966,0,0
"141","GABRA1",2554,"ENSG00000022355","Neuronal",0.961,0.102,2.68878838371661,0.956,0.912,0,0
"142","GABRA4",2557,"ENSG00000109158","Neuronal",0.919,0.064,3.31365280996359,0.946,0.892,0,0
"143","GABRA5",2558,"ENSG00000186297","Neuronal",0.663,0.067,2.58271421827181,0.811,0.622,0,0
"144","GABRB2",2561,"ENSG00000145864","Neuronal",0.994,0.243,3.48287931234626,0.982,0.964,0,0
"145","GABRB3",2562,"ENSG00000166206","Neuronal",0.995,0.384,2.54980136124532,0.962,0.924,0,0
"146","GABRG2",2566,"ENSG00000113327","Neuronal",0.968,0.105,2.81403970050936,0.966,0.932,0,0
"147","GABRG3",2567,"ENSG00000182256","Neuronal",0.988,0.415,4.10221304209167,0.979,0.958,0,0
"148","GAD2",2572,"ENSG00000136750","Neuronal",0.417,0.174,3.11677464489651,0.632,0.264,0,0
"149","GALNT14",79623,"ENSG00000158089","Neuronal",0.68,0.258,3.08703427377132,0.768,0.536,0,0
"150","GALNTL6",442117,"ENSG00000174473","Neuronal",0.967,0.665,3.22570255416611,0.883,0.766,0,0
"151","GATM",2628,"ENSG00000171766","Non-neuronal",0.53,0.331,2.68010501281024,0.649,0.298,0,0
"152","GLDN",342035,"ENSG00000186417","Non-neuronal",0.467,0.367,2.69948502920959,0.604,0.208,0,0
"153","GLI3",2737,"ENSG00000106571","Non-neuronal",0.528,0.397,3.62546888112597,0.632,0.264,0,0
"154","GLRA3",8001,"ENSG00000145451","Neuronal",0.655,0.217,2.84175461381649,0.758,0.516,0,0
"155","GLUL",2752,"ENSG00000135821","Non-neuronal",0.623,0.179,3.76569475303486,0.763,0.526,0,0
"156","GPRC5B",51704,"ENSG00000167191","Non-neuronal",0.653,0.207,3.66991003708346,0.774,0.548,0,0
"157","GRAMD3",65983,"ENSG00000155324","Non-neuronal",0.498,0.222,3.28310302487596,0.678,0.356,0,0
"158","GRIA1",2890,"ENSG00000155511","Neuronal",0.994,0.382,2.62277669378628,0.959,0.918,0,0
"159","GRIN1",2902,"ENSG00000176884","Neuronal",0.916,0.118,2.54660818210911,0.936,0.872,0,0
"160","GRIN2A",2903,"ENSG00000183454","Neuronal",0.989,0.536,2.74630540244025,0.955,0.91,0,0
"161","GRIN2B",2904,"ENSG00000273079","Neuronal",0.998,0.371,2.79239584654999,0.972,0.944,0,0
"162","GRIN3A",116443,"ENSG00000198785","Neuronal",0.53,0.225,3.1242069398692,0.679,0.358,0,0
"163","GRIP1",23426,"ENSG00000155974","Neuronal",0.982,0.592,2.794768062244,0.904,0.808,0,0
"164","GRIP2",80852,"ENSG00000144596","Neuronal",0.379,0.105,2.77567267792257,0.645,0.29,0,0
"165","GRM1",2911,"ENSG00000152822","Neuronal",0.888,0.336,2.99176967621686,0.881,0.762,0,0
"166","GSN",2934,"ENSG00000148180","Non-neuronal",0.755,0.437,3.25850184229761,0.772,0.544,0,0
"167","HAPLN2",60484,"ENSG00000132702","Non-neuronal",0.352,0.199,3.3431446314802,0.601,0.202,0,0
"168","HCN1",348980,"ENSG00000164588","Neuronal",0.997,0.53,4.15618362011513,0.988,0.976,0,0
"169","HEPACAM",220296,"ENSG00000165478","Non-neuronal",0.417,0.058,3.60624640031007,0.688,0.376,0,0
"170","HEPH",9843,"ENSG00000089472","Non-neuronal",0.413,0.517,3.14991190139792,0.51,0.02,0,0
"171","HHATL",57467,"ENSG00000010282","Non-neuronal",0.412,0.263,2.54974422630088,0.609,0.218,0,0
"172","HIF3A",64344,"ENSG00000124440","Non-neuronal",0.454,0.356,3.29318721748009,0.608,0.216,0,0
"173","HIP1",3092,"ENSG00000127946","Non-neuronal",0.945,0.946,2.63919363174232,0.744,0.488,0,0
"174","HS3ST2",9956,"ENSG00000122254","Neuronal",0.58,0.164,2.89841069207606,0.735,0.47,0,0
"175","HTR1E",3354,"ENSG00000168830","Neuronal",0.817,0.089,4.75000010267934,0.896,0.792,0,0
"176","HTR1F",3355,"ENSG00000179097","Neuronal",0.831,0.321,2.87441135279632,0.84,0.68,0,0
"177","HTRA1",5654,"ENSG00000166033","Non-neuronal",0.656,0.221,2.69678478673815,0.76,0.52,0,0
"178","IGFBP7",3490,"ENSG00000163453","Non-neuronal",0.368,0.282,3.41481488242598,0.577,0.154,0,0
"179","IL1RAPL2",26280,"ENSG00000189108","Neuronal",0.969,0.764,3.9089614160425,0.767,0.534,0,0
"180","INPP5D",3635,"ENSG00000168918, ENSG00000281614","Non-neuronal",0.444,0.412,3.61469286080462,0.558,0.116,2.1195216697941e-314,1.06571669078917e-309
"181","IQCJ.SCHIP1",NA,NA,"Neuronal",0.405,0.015,2.92212049634419,0.697,0.394,0,0
"182","IQSEC3",440073,"ENSG00000120645, ENSG00000262607","Neuronal",0.78,0.053,2.61477196187892,0.875,0.75,0,0
"183","ITGAM",3684,"ENSG00000169896","Non-neuronal",0.379,0.427,3.28107073394719,0.521,0.042,0,0
"184","ITIH5",80760,"ENSG00000123243","Non-neuronal",0.525,0.559,2.61273521731514,0.544,0.0880000000000001,2.91766329132689e-185,1.46703027951207e-180
"185","ITPKB",3707,"ENSG00000143772","Non-neuronal",0.488,0.195,3.2885502603775,0.68,0.36,0,0
"186","JPH1",56704,"ENSG00000104369","Neuronal",0.761,0.148,2.63545389290894,0.843,0.686,0,0
"187","KANK1",23189,"ENSG00000107104","Non-neuronal",0.863,0.683,3.44301377215581,0.812,0.624,0,0
"188","KCNB2",9312,"ENSG00000182674","Neuronal",0.957,0.341,3.74927832552656,0.948,0.896,0,0
"189","KCNC2",3747,"ENSG00000166006","Neuronal",0.975,0.245,4.08787243825509,0.972,0.944,0,0
"190","KCNH1",3756,"ENSG00000143473","Neuronal",0.996,0.885,2.61475805196526,0.921,0.842,0,0
"191","KCNH7",90134,"ENSG00000184611","Neuronal",0.918,0.269,4.22599805253633,0.926,0.852,0,0
"192","KCNH8",131096,"ENSG00000183960","Non-neuronal",0.704,0.602,3.89176786584125,0.708,0.416,0,0
"193","KCNJ10",3766,"ENSG00000177807","Non-neuronal",0.441,0.039,4.54550277629556,0.708,0.416,0,0
"194","KCNJ3",3760,"ENSG00000162989","Neuronal",0.983,0.224,3.08099338700334,0.97,0.94,0,0
"195","KCNQ5",56479,"ENSG00000185760","Neuronal",0.99,0.489,4.7884281083157,0.975,0.95,0,0
"196","KCNT1",57582,"ENSG00000107147","Neuronal",0.841,0.052,2.94206453902008,0.91,0.82,0,0
"197","KHDRBS2",202559,"ENSG00000112232","Neuronal",0.995,0.571,2.96602256079056,0.963,0.926,0,0
"198","KIAA1549L",25758,"ENSG00000110427","Neuronal",0.995,0.492,2.57484103998348,0.961,0.922,0,0
"199","KIAA1755",85449,"ENSG00000149633","Non-neuronal",0.497,0.1,4.57090592341641,0.721,0.442,0,0
"200","KYNU",8942,"ENSG00000115919","Non-neuronal",0.296,0.38,2.94113797722837,0.485,0.03,3.47727304357547e-240,1.74840765904018e-235
"201","LAMA1",284217,"ENSG00000101680","Non-neuronal",0.531,0.502,3.17660266767965,0.588,0.176,0,0
"202","LDB2",9079,"ENSG00000169744","Neuronal",0.94,0.398,2.81425375041718,0.912,0.824,0,0
"203","LDB3",11155,"ENSG00000122367","Non-neuronal",0.464,0.331,3.13701356122063,0.616,0.232,0,0
"204","LHFPL3",375612,"ENSG00000187416","Non-neuronal",0.663,0.807,2.63611846061583,0.496,0.00800000000000001,2.1244466295935e-231,1.06819300982591e-226
"205","LINC00470",56651,NA,"Neuronal",0.407,0.11,2.72498890782897,0.658,0.316,0,0
"206","LINC00599",157627,NA,"Neuronal",0.991,0.08,2.96299256828944,0.976,0.952,0,0
"207","LINC00609",101101773,NA,"Non-neuronal",0.496,0.265,3.71989276998878,0.663,0.326,0,0
"208","LINC00639",283547,NA,"Non-neuronal",0.437,0.271,4.4248227334381,0.632,0.264,0,0
"209","LINC00710",254312,NA,"Neuronal",0.584,0.037,2.70916577965409,0.778,0.556,0,0
"210","LINC01170",103724389,NA,"Non-neuronal",0.584,0.56,3.45250366441137,0.617,0.234,0,0
"211","LINC01202",104326188,NA,"Neuronal",0.585,0.165,3.36130052209813,0.738,0.476,0,0
"212","LINC01250",101927554,NA,"Neuronal",0.895,0.217,4.09647196065896,0.919,0.838,0,0
"213","LINC01378",103689918,NA,"Neuronal",0.73,0.268,4.20645620907619,0.777,0.554,0,0
"214","LINC01411",101928176,NA,"Non-neuronal",0.43,0.384,2.95558881634918,0.576,0.152,0,0
"215","LINC01470",101927134,NA,"Non-neuronal",0.701,0.809,2.72117852939022,0.553,0.106,0,0
"216","LINCR.0002",NA,NA,"Neuronal",0.665,0.147,3.83317481008097,0.792,0.584,0,0
"217","LINCR.0003",NA,NA,"Neuronal",0.435,0.088,2.61789368407398,0.685,0.37,0,0
"218","LINGO2",158038,"ENSG00000174482","Neuronal",0.993,0.658,5.01078540948038,0.962,0.924,0,0
"219","LITAF",9516,"ENSG00000189067","Non-neuronal",0.497,0.482,3.04987166212272,0.576,0.152,0,0
"220","LOC100132813",100132813,NA,"Neuronal",0.464,0.012,2.72093553224202,0.727,0.454,0,0
"221","LOC100132891",100132891,NA,"Neuronal",0.621,0.182,3.08275967379955,0.746,0.492,0,0
"222","LOC100420794",100420794,NA,"Neuronal",0.576,0.007,2.78200783396249,0.786,0.572,0,0
"223","LOC100506393",100506393,NA,"Neuronal",0.676,0.126,3.28185054842504,0.804,0.608,0,0
"224","LOC100507336",100507336,NA,"Non-neuronal",0.39,0.242,4.39040517936956,0.61,0.22,0,0
"225","LOC100507387",100507387,NA,"Neuronal",0.726,0.02,3.14028977547619,0.857,0.714,0,0
"226","LOC101926964",101926964,NA,"Non-neuronal",0.436,0.372,2.85817816417865,0.58,0.16,0,0
"227","LOC101927406",101927406,NA,"Neuronal",0.4,0.089,2.76763456197427,0.664,0.328,0,0
"228","LOC101927437",101927437,NA,"Non-neuronal",0.37,0.219,3.94807922299199,0.607,0.214,0,0
"229","LOC101927459",101927459,NA,"Non-neuronal",0.448,0.228,5.08298907702339,0.652,0.304,0,0
"230","LOC101927745",101927745,NA,"Neuronal",0.377,0.104,2.89199917551305,0.647,0.294,0,0
"231","LOC101927880",101927880,NA,"Neuronal",0.576,0.095,2.85332765224021,0.759,0.518,0,0
"232","LOC101927885",101927885,NA,"Neuronal",0.8,0.039,2.66740028529838,0.884,0.768,0,0
"233","LOC101927967",101927967,NA,"Non-neuronal",0.631,0.628,4.34719627751617,0.616,0.232,0,0
"234","LOC101928322",101928322,NA,"Neuronal",0.398,0.065,2.55915341891683,0.674,0.348,0,0
