"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"695","LOC105373538",105373538,NA,"L5/6 NP",0.781,0.152,2.76927624315292,0.852,0.704,1.29225413904441e-199,6.49758303652919e-195
"696","LOC105373642",105373642,NA,"VIP",0.781,0.251,2.84175933509351,0.839,0.678,0,0
"697","LOC105373643",105373643,NA,"VIP",0.518,0.046,2.78206679056491,0.742,0.484,0,0
"698","LOC105373769",105373769,NA,"IT",0.406,0.131,2.57137237278727,0.653,0.306,0,0
"699","LOC105373899",105373899,NA,"IT",0.378,0.102,2.69259155998884,0.65,0.3,0,0
"700","LOC105374007",105374007,NA,"L5/6 NP",0.371,0.109,2.5572493408777,0.645,0.29,1.24974347068408e-115,6.28383514494665e-111
"701","LOC105374211",105374211,NA,"Oligodendrocyte",0.404,0.14,4.34894535503272,0.656,0.312,0,0
"702","LOC105374213",105374213,NA,"Oligodendrocyte",0.435,0.165,3.50868075736243,0.66,0.32,0,0
"703","LOC105374438",105374438,NA,"Endothelial",0.357,0.07,4.62915898172463,0.654,0.308,6.13857954654397e-65,3.08653918179777e-60
"704","LOC105374446",105374446,NA,"L5/6 IT Car3",0.623,0.067,2.81407939120327,0.79,0.58,9.73171951132413e-159,4.89320588748889e-154
"705","LOC105374460",105374460,NA,"Oligodendrocyte",0.384,0.085,2.78665216115965,0.66,0.32,0,0
"706","LOC105374461",105374461,NA,"Oligodendrocyte",0.393,0.19,2.83160796725769,0.63,0.26,0,0
"707","LOC105374524",105374524,NA,"IT",0.59,0.284,3.47753072107832,0.702,0.404,0,0
"708","LOC105374731",105374731,NA,"L5/6 NP",0.484,0.221,2.56073058782098,0.661,0.322,1.03111266381453e-185,5.18453758492582e-181
"709","LOC105374763",105374763,NA,"VLMC",0.455,0.435,3.34050522609771,0.551,0.102,0.02907070575742,1
"710","LOC105374875",105374875,NA,"OPC",0.464,0.132,2.91048698327086,0.685,0.37,5.05163011088159e-204,2.54001013605237e-199
