"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM213B",0.819178735274388,-0.30757064906959,0.38253102553353,-0.804041054292551,0.421373265421285,0.990512677498131
"MMEL1",0.14436245251652,1.05227091054132,3.02813142757807,0.347498427894504,0.728216899369674,0.990512677498131
"TTC34",0.031436603936413,1.1318750541274,3.02797443826499,0.373806013625385,0.708548645098209,0.990512677498131
"PRDM16",0.0848612914944007,0.554147939905154,1.80649762642525,0.306752653199838,0.759031649074326,0.990512677498131
"ARHGEF16",0.00387913408071758,0.943220607302438,3.02876966251748,0.311420382664042,0.755481060640259,0.990512677498131
"MEGF6",0.129107921739819,0.372490021975278,1.39312788823915,0.267376760683536,0.789179090583417,0.990512677498131
"TPRG1L",1.63644140436739,0.128960058138005,0.331335141531257,0.389213343148631,0.69711833374015,0.990512677498131
"WRAP73",0.310743792041708,-0.0443976729603332,0.557012332467463,-0.0797068042706696,0.936470447649403,0.992747511807316
"TP73",0.0147106970260994,0.709170386766479,3.0286671730984,0.23415263092147,0.81486648784012,0.990512677498131
"CCDC27",0.163151877355168,1.12752059816828,3.02798819468112,0.372366246390542,0.70962018138509,0.990512677498131
"SMIM1",0.0427921091411266,0.932125611201536,3.0268842691739,0.307948876901043,0.758121233377288,0.990512677498131
"LRRC47",1.61088602438895,-0.0785721615746541,0.306944585162785,-0.255981585513177,0.79796505633745,0.990512677498131
"CEP104",2.60413768942571,0.26573817700107,0.232768403095836,1.14164196457394,0.253602873242606,0.990512677498131
"DFFB",0.652450712127309,0.336959905566533,0.44620492860037,0.755168497630651,0.450147887871419,0.990512677498131
"C1orf174",0.547515735124876,-0.0907117931720086,0.567271713438765,-0.159908895548695,0.87295284106203,0.990512677498131
"AJAP1",3.26323162641338,-0.119230295022085,0.237159540721089,-0.50274298330804,0.615144985099134,0.990512677498131
"NPHP4",1.20226499356009,-0.143495087947369,0.309771796880247,-0.463228380997002,0.643200675115282,0.990512677498131
"KCNAB2",4.25560011082962,-0.317474279108028,0.176767392792345,-1.79600023563721,0.0724944795545608,0.990512677498131
"CHD5",11.9992419912798,0.126793316722118,0.184960379252531,0.685516093957637,0.493018308420818,0.990512677498131
