"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ADRB1",0.770702314717299,-0.0714589639821449,0.125,0.167,1
"SPATA4",0.770826501791725,-0.0377403279828471,0.083,0.125,1
"EDARADD",0.770838448233859,-0.22314355131421,0.333,0.458,1
"CSRP1",0.77087797426289,-0.336472236621213,0.333,0.583,1
"MCM3",0.770931161171122,-0.216223108469636,0.208,0.375,1
"TMEM74B",0.770968810434312,-0.265703165733006,0.458,0.542,1
"PNRC1",0.77103095711172,-0.324239668185579,0.667,0.792,1
"NABP1",0.771173155651987,-0.256719846847814,0.333,0.5,1
"ERMN",0.771273512826357,-0.18805223150294,0.125,0.208,1
"FRRS1L",0.771284707585347,-0.440045441704943,0.958,0.958,1
"GID4",0.77134740904212,-0.287682072451781,0.542,0.583,1
"BTNL9",0.771356080785222,-0.0363676441708749,0.125,0.083,1
"RBM15",0.771394673503982,-0.22825865198098,0.375,0.542,1
"MYCBP2",0.771503280656495,-0.436261707229584,1,1,1
"TIAM2",0.771536828246586,-0.421920228834609,0.917,0.958,1
"MADD",0.771559345969966,-0.356674943938732,0.75,0.958,1
"WDR19",0.771620751316643,-0.335117222863753,0.833,0.917,1
"PEX5L",0.771636262925648,-0.465423967986711,0.875,1,1
"ARHGEF10",0.771651284483778,-0.255346691808844,0.5,0.625,1
"PLAA",0.771657045685229,-0.316337328212157,0.625,0.792,1
"PDGFD",0.77185713491503,-0.175890666463664,0.083,0.25,1
"CCDC71",0.771928631086606,-0.133531392624522,0.125,0.25,1
"ATP6V1C1",0.772030331870826,-0.4514272436728,0.833,0.917,1
"CLPB",0.772161507578829,-0.169076330043934,0.333,0.542,1
"GPSM2",0.772259148111071,-0.325422400434628,0.5,0.625,1
"SRF",0.772366894142756,-0.332133835022615,0.25,0.542,1
"CPS1",0.77238347266022,-0.280301965154158,0.292,0.625,1
"CEACAM8",0.772406126904192,-0.315852949418477,0.292,0.542,1
"DHDH",0.772417352654591,-0.23638877806423,0.208,0.375,1
"NWD2",0.772439701204542,-0.293761118528163,0.292,0.375,1
"HIST1H2BB",0.772498168669576,-0.143100843640673,0.083,0.25,1
"AARS",0.772502326117346,-0.383291250613842,0.75,0.833,1
"GORAB",0.772585921315309,-0.187211542088146,0.375,0.458,1
"MANEAL",0.772640402320316,-0.382992252256106,0.458,0.583,1
"C9orf153",0.77269604939352,-0.111225635110224,0.208,0.417,1
"ANKS6",0.772696801588439,-0.287682072451781,0.708,0.958,1
"CDK5R2",0.772854117777447,-0.308547210915743,0.75,0.875,1
"TMEM254",0.772875569337408,-0.36909746393729,0.583,0.583,1
"RPS27A",0.772913445738649,-0.616774201775371,0.75,0.917,1
