"","gene","entrez_id","ensembl_gene_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"537","TRPM6",140803,"ENSG00000119121","Non-neuronal",0.394,0.382,2.17093424224683,0.539,0.0780000000000001,3.82946347449656e-181,1.92549252961162e-176
"538","TSC22D4",81628,"ENSG00000166925","Non-neuronal",0.539,0.163,3.45161902152008,0.722,0.444,0,0
"539","TSPAN15",23555,"ENSG00000099282","Non-neuronal",0.365,0.221,3.33721835920763,0.599,0.198,0,0
"540","TTC6",319089,"ENSG00000139865","Glutamatergic",0.695,0.43,2.40653979689811,0.688,0.376,0,0
"541","TTYH2",94015,"ENSG00000141540","Non-neuronal",0.573,0.172,4.43716436630226,0.743,0.486,0,0
"542","UBASH3B",84959,"ENSG00000154127","GABAergic",0.911,0.642,2.11241454127146,0.839,0.678,0,0
"543","UGT8",7368,"ENSG00000174607","Non-neuronal",0.522,0.104,5.37377515791094,0.733,0.466,0,0
"544","USP54",159195,"ENSG00000166348","Non-neuronal",0.675,0.615,2.26638949877522,0.63,0.26,0,0
"545","VAV1",7409,"ENSG00000141968","Non-neuronal",0.55,0.561,2.17520570924061,0.557,0.114,9.16208282848313e-204,4.6067868669896e-199
"546","VIPR1",7433,"ENSG00000114812","Glutamatergic",0.751,0.103,2.19652885452308,0.849,0.698,0,0
"547","VRK2",7444,"ENSG00000028116","Non-neuronal",0.427,0.312,2.8241621890528,0.6,0.2,0,0
"548","VSTM2A",222008,"ENSG00000170419","GABAergic",0.806,0.33,2.11701578342216,0.808,0.616,0,0
"549","WASF2",10163,"ENSG00000158195","Non-neuronal",0.682,0.671,2.04932653962725,0.582,0.164,4.08166098636273e-280,2.05229996055305e-275
"550","WIPF1",7456,"ENSG00000115935","Non-neuronal",0.512,0.246,3.58582402969824,0.679,0.358,0,0
"551","YAP1",10413,"ENSG00000137693","Non-neuronal",0.396,0.28,3.21491985686679,0.595,0.19,0,0
"552","ZBBX",79740,"ENSG00000169064","Glutamatergic",0.839,0.315,2.05820149008746,0.837,0.674,0,0
"553","ZBTB20",26137,"ENSG00000181722","Non-neuronal",0.982,0.776,2.77779317908257,0.944,0.888,0,0
"554","ZCCHC24",219654,"ENSG00000165424","Non-neuronal",0.498,0.049,4.5491359942837,0.735,0.47,0,0
"555","ZDHHC23",254887,"ENSG00000184307","Glutamatergic",0.733,0.069,2.46823575168101,0.844,0.688,0,0
"556","ZDHHC9",51114,"ENSG00000188706","Non-neuronal",0.41,0.388,2.0512215104191,0.542,0.0840000000000001,5.17449833669409e-196,2.60178950867316e-191
"557","ZFHX3",463,"ENSG00000140836","Non-neuronal",0.698,0.583,2.28293669662072,0.65,0.3,0,0
"558","ZFHX4",79776,"ENSG00000091656","Non-neuronal",0.606,0.2,3.00024340960424,0.743,0.486,0,0
"559","ZHX2",22882,"ENSG00000178764","Non-neuronal",0.755,0.509,2.84187594747795,0.754,0.508,0,0
"560","ZNF385D",79750,"ENSG00000151789","GABAergic",0.981,0.827,2.1520320979439,0.897,0.794,0,0
"561","ZNF423",23090,"ENSG00000102935","Non-neuronal",0.51,0.467,2.14256637080187,0.579,0.158,0,0
"562","ZNF710",374655,"ENSG00000140548","Non-neuronal",0.576,0.579,2.23253964819106,0.56,0.12,3.36581122947203e-289,1.69236354429083e-284
"563","ZNF831",128611,"ENSG00000124203","Glutamatergic",0.536,0.196,2.21993021011941,0.703,0.406,0,0
