"","gene","entrez_id","ensembl_gene_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"357","NCKAP5",344148,"ENSG00000176771","Non-neuronal",0.958,0.798,3.50286385748427,0.915,0.83,0,0
"358","NDE1",54820,"ENSG00000275911, ENSG00000072864","Non-neuronal",0.481,0.399,2.78389954009115,0.593,0.186,0,0
"359","NDRG1",10397,"ENSG00000104419","Non-neuronal",0.495,0.354,2.38978971475278,0.625,0.25,0,0
"360","NDRG2",57447,"ENSG00000165795","Non-neuronal",0.591,0.135,4.07093516773891,0.759,0.518,0,0
"361","NDST4",64579,"ENSG00000138653","GABAergic",0.499,0.333,2.74619604203653,0.624,0.248,0,0
"362","NEAT1",283131,"ENSG00000245532","Non-neuronal",0.664,0.235,2.9249116487415,0.763,0.526,0,0
"363","NELL2",4753,"ENSG00000184613","Glutamatergic",0.999,0.652,2.11075376370592,0.959,0.918,0,0
"364","NEUROD6",63974,"ENSG00000164600","Glutamatergic",0.635,0.031,3.18938024464591,0.808,0.616,0,0
"365","NHS",4810,"ENSG00000188158","GABAergic",0.934,0.52,2.1188741143369,0.875,0.75,0,0
"366","NHSL1",57224,"ENSG00000135540","Non-neuronal",0.659,0.516,4.04520754535003,0.685,0.37,0,0
"367","NINJ2",4815,"ENSG00000171840","Non-neuronal",0.39,0.251,3.35174540074983,0.601,0.202,0,0
"368","NMU",10874,"ENSG00000109255","GABAergic",0.401,0.263,2.97366317787381,0.589,0.178,0,0
"369","NOTCH2",4853,"ENSG00000134250","Non-neuronal",0.396,0.242,2.14086281562894,0.6,0.2,1.7367207209775e-306,8.73240545714695e-302
"370","NPL",80896,"ENSG00000135838","Non-neuronal",0.402,0.276,2.57128417574746,0.593,0.186,0,0
"371","NPSR1.AS1",NA,"NA","Glutamatergic",0.635,0.433,2.4363064787211,0.624,0.248,0,0
"372","NPTX1",4884,"ENSG00000171246","Glutamatergic",0.952,0.129,2.79760957314266,0.949,0.898,0,0
"373","NR2F2",7026,"ENSG00000185551","GABAergic",0.381,0.052,2.91336652879003,0.671,0.342,0,0
"374","NR2F2.AS1",NA,"NA","GABAergic",0.541,0.254,2.4758800900243,0.685,0.37,0,0
"375","NRIP3",56675,"ENSG00000175352","GABAergic",0.742,0.253,2.44937682823985,0.798,0.596,0,0
"376","NRN1",51299,"ENSG00000124785","Glutamatergic",0.532,0.02,2.02150439452732,0.757,0.514,0,0
"377","NTN1",9423,"ENSG00000065320","Non-neuronal",0.531,0.515,2.05617100710102,0.561,0.122,9.82165593799657e-221,4.93842682218406e-216
"378","NWD1",284434,"ENSG00000188039","Non-neuronal",0.534,0.546,2.3710818155814,0.558,0.116,0,0
"379","NWD2",57495,"ENSG00000174145","Glutamatergic",0.895,0.335,2.52461563088549,0.887,0.774,0,0
"380","NXPH1",30010,"ENSG00000122584","GABAergic",0.803,0.431,2.70563597122691,0.813,0.626,0,0
"381","NXPH2",11249,"ENSG00000144227","GABAergic",0.509,0.175,2.35200764686682,0.693,0.386,0,0
"382","OLIG1",116448,"ENSG00000184221","Non-neuronal",0.434,0.021,4.63915638865252,0.71,0.42,0,0
"383","OLMALINC",90271,"ENSG00000235823","Non-neuronal",0.354,0.2,2.8206934249926,0.599,0.198,0,0
"384","OPALIN",93377,"ENSG00000197430","Non-neuronal",0.358,0.036,5.18613082803686,0.666,0.332,0,0
"385","OR14I1",401994,"ENSG00000189181","Glutamatergic",0.589,0.114,3.02637101174281,0.764,0.528,0,0
"386","OTOGL",283310,"ENSG00000165899","Glutamatergic",0.795,0.409,2.38323789306861,0.792,0.584,0,0
"387","PADI2",11240,"ENSG00000117115","Non-neuronal",0.546,0.157,3.91175532890637,0.727,0.454,0,0
"388","PALD1",27143,"ENSG00000107719","Non-neuronal",0.395,0.345,3.13937509935417,0.556,0.112,0,0
"389","PAQR8",85315,"ENSG00000170915","Non-neuronal",0.583,0.444,2.21319359783673,0.638,0.276,0,0
"390","PARD3B",117583,"ENSG00000116117","Non-neuronal",0.86,0.775,2.71261497655633,0.74,0.48,0,0
"391","PART1",25859,"ENSG00000152931","Glutamatergic",0.771,0.065,3.27242416806642,0.873,0.746,0,0
"392","PAWR",5074,"ENSG00000177425","GABAergic",0.548,0.335,2.22860445812973,0.652,0.304,0,0
"393","PCP4L1",654790,"ENSG00000248485","GABAergic",0.593,0.298,2.53608641835717,0.699,0.398,0,0
"394","PCSK1",5122,"ENSG00000175426","Glutamatergic",0.416,0.046,2.1127626302821,0.688,0.376,0,0
"395","PCSK6",5046,"ENSG00000140479","Non-neuronal",0.556,0.406,2.77987496382292,0.638,0.276,0,0
"396","PDE1A",5136,"ENSG00000115252","Glutamatergic",0.985,0.593,2.04248565224782,0.916,0.832,0,0
"397","PDE8A",5151,"ENSG00000073417","Non-neuronal",0.823,0.84,2.16438512490474,0.669,0.338,0,0
"398","PDLIM5",10611,"ENSG00000163110","Non-neuronal",0.572,0.449,2.35875124355557,0.64,0.28,0,0
"399","PECAM1",5175,"ENSG00000261371","Non-neuronal",0.43,0.454,2.23883766732244,0.526,0.052,8.29269929230916e-160,4.16965213116597e-155
"400","PGM5",5239,"ENSG00000154330","Non-neuronal",0.251,0.357,2.71143766813556,0.463,0.074,0,0
"401","PHF21B",112885,"ENSG00000056487","Non-neuronal",0.428,0.343,2.3960499365673,0.583,0.166,0,0
"402","PHLDB1",23187,"ENSG00000019144","Non-neuronal",0.696,0.384,3.26124416641945,0.752,0.504,0,0
"403","PHLPP1",23239,"ENSG00000081913","Non-neuronal",0.911,0.868,2.47232132325942,0.784,0.568,0,0
"404","PIEZO2",63895,"ENSG00000154864","Non-neuronal",0.693,0.661,2.34377444343253,0.623,0.246,0,0
"405","PIP4K2A",5305,"ENSG00000150867","Non-neuronal",0.844,0.741,2.99389636047894,0.747,0.494,0,0
"406","PKD2L1",9033,"ENSG00000107593","Glutamatergic",0.366,0.216,2.00321463780517,0.585,0.17,1.18575755001899e-322,5.96210753725049e-318
"407","PKP2",5318,"ENSG00000057294","GABAergic",0.642,0.425,3.47034595042452,0.682,0.364,0,0
"408","PLA2G16",11145,"ENSG00000176485","Non-neuronal",0.42,0.229,3.24409302352439,0.627,0.254,0,0
"409","PLCG2",5336,"ENSG00000197943","Non-neuronal",0.388,0.363,3.5827845389882,0.551,0.102,0,0
"410","PLD1",5337,"ENSG00000075651","Non-neuronal",0.628,0.457,3.39470019995546,0.677,0.354,0,0
"411","PLEKHB1",58473,"ENSG00000021300","Non-neuronal",0.49,0.088,3.74939340425037,0.715,0.43,0,0
"412","PLEKHH1",57475,"ENSG00000054690","Non-neuronal",0.594,0.49,2.99263872553028,0.642,0.284,0,0
"413","PLEKHH2",130271,"ENSG00000152527","Non-neuronal",0.506,0.407,2.33715436139989,0.601,0.202,0,0
"414","PLIN3",10226,"ENSG00000105355","Non-neuronal",0.47,0.463,2.2202340539852,0.558,0.116,0,0
"415","PLLP",51090,"ENSG00000102934","Non-neuronal",0.504,0.146,4.98889225169893,0.711,0.422,0,0
"416","PLP1",5354,"ENSG00000123560","Non-neuronal",0.616,0.199,6.02251873984074,0.748,0.496,0,0
"417","PLXDC2",84898,"ENSG00000120594","Non-neuronal",0.894,0.896,2.02781485049611,0.642,0.284,8.57984494952794e-221,4.31403183907214e-216
"418","PLXNB1",5364,"ENSG00000164050","Non-neuronal",0.452,0.097,3.26477014084779,0.69,0.38,0,0
"419","PLXNB3",5365,"ENSG00000198753","Non-neuronal",0.411,0.027,3.96623550882049,0.696,0.392,0,0
"420","PMP22",5376,"ENSG00000109099","Non-neuronal",0.496,0.116,4.26078071177697,0.713,0.426,0,0
"421","PNOC",5368,"ENSG00000168081","GABAergic",0.466,0.088,3.89296878100327,0.706,0.412,0,0
"422","PON2",5445,"ENSG00000105854","Non-neuronal",0.608,0.063,4.7572946749506,0.788,0.576,0,0
"423","PPAP2B",8613,"ENSG00000162407","Non-neuronal",0.526,0.162,3.72241714863197,0.715,0.43,0,0
"424","PPARA",5465,"ENSG00000186951","Non-neuronal",0.469,0.389,2.20948948373029,0.589,0.178,0,0
"425","PPP1R14A",94274,"ENSG00000167641","Non-neuronal",0.357,0.032,4.16313060655418,0.667,0.334,0,0
"426","PREX1",57580,"ENSG00000124126","Non-neuronal",0.762,0.407,2.90013514274156,0.777,0.554,0,0
"427","PREX2",80243,"ENSG00000046889","Non-neuronal",0.663,0.323,2.49060153811993,0.736,0.472,0,0
"428","PRKCH",5583,"ENSG00000027075","Non-neuronal",0.363,0.377,3.08551434829086,0.524,0.048,3.4739302201508e-255,1.74672685399402e-250
"429","PRKCQ",5588,"ENSG00000065675","Non-neuronal",0.651,0.545,2.52686644979931,0.647,0.294,0,0
"430","PRR5L",79899,"ENSG00000135362","Non-neuronal",0.458,0.214,4.15815661836592,0.659,0.318,0,0
"431","PSAT1",29968,"ENSG00000135069","Non-neuronal",0.416,0.237,2.54949364528565,0.616,0.232,0,0
"432","PTAFR",5724,"ENSG00000169403","Non-neuronal",0.418,0.382,3.22479301390298,0.564,0.128,0,0
"433","PTGDS",5730,"ENSG00000107317","Non-neuronal",0.803,0.248,4.4053244711739,0.864,0.728,0,0
"434","PTN",5764,"ENSG00000105894","Non-neuronal",0.643,0.227,3.08867074585237,0.759,0.518,0,0
"435","PTPRQ",374462,"ENSG00000139304","Glutamatergic",0.545,0.342,2.21936868464378,0.629,0.258,0,0
"436","PTPRZ1",5803,"ENSG00000106278","Non-neuronal",0.603,0.543,2.74381678811687,0.61,0.22,0,0
"437","PXK",54899,"ENSG00000168297","Non-neuronal",0.749,0.875,2.0293812950793,0.576,0.152,0,0
"438","QDPR",5860,"ENSG00000151552","Non-neuronal",0.49,0.552,2.44703708908732,0.543,0.0860000000000001,0,0
"439","QKI",9444,"ENSG00000112531","Non-neuronal",0.987,0.805,2.62021772514123,0.943,0.886,0,0
"440","RAB31",11031,"ENSG00000168461","Non-neuronal",0.555,0.465,2.24821250477828,0.61,0.22,0,0
"441","RAD51B",5890,"ENSG00000182185","Non-neuronal",0.846,0.813,2.5842458688284,0.703,0.406,0,0
"442","RALYL",138046,"ENSG00000184672","Glutamatergic",1,0.784,2.22138891433398,0.964,0.928,0,0
"443","RAPGEF3",10411,"ENSG00000079337","Non-neuronal",0.435,0.126,3.29801881506935,0.673,0.346,0,0
"444","RASGEF1C",255426,"ENSG00000146090","Non-neuronal",0.47,0.621,2.08569264855192,0.442,0.116,3.71207686617759e-128,1.86646936908275e-123
"445","RASGRP3",25780,"ENSG00000152689","Non-neuronal",0.48,0.512,2.21971481527447,0.528,0.056,4.50157730677039e-243,2.26343808561722e-238
"446","RASSF2",9770,"ENSG00000101265","Non-neuronal",0.521,0.33,3.41230122869149,0.65,0.3,0,0
"447","RBM47",54502,"ENSG00000163694","Non-neuronal",0.833,0.818,2.70586464491136,0.631,0.262,0,0
"448","RCSD1",92241,"ENSG00000198771","Non-neuronal",0.312,0.356,2.1217691018705,0.491,0.018,9.95491703769625e-85,5.00543183572405e-80
"449","RELL1",768211,"ENSG00000181826","Non-neuronal",0.401,0.298,2.29767777372001,0.581,0.162,3.41536605560046e-274,1.71728020641647e-269
"450","RELN",5649,"ENSG00000189056","GABAergic",0.828,0.71,5.0281848868072,0.692,0.384,0,0
"451","RFTN2",130132,"ENSG00000162944","Non-neuronal",0.804,0.59,4.13256043944155,0.793,0.586,0,0
"452","RGCC",28984,"ENSG00000102760","Non-neuronal",0.368,0.078,3.5463829219863,0.655,0.31,0,0
"453","RGS20",8601,"ENSG00000147509","Non-neuronal",0.436,0.431,2.31301485726262,0.542,0.0840000000000001,7.83340065114055e-254,3.93871218139998e-249
"454","RHOU",58480,"ENSG00000284984, ENSG00000116574","Non-neuronal",0.602,0.539,2.32455709302625,0.601,0.202,0,0
"455","RIN2",54453,"ENSG00000132669","Non-neuronal",0.87,0.637,2.56287077606478,0.803,0.606,0,0
"456","RNASE1",6035,"ENSG00000129538","Non-neuronal",0.401,0.067,4.35070148518475,0.676,0.352,0,0
"457","RND3",390,"ENSG00000115963","GABAergic",0.422,0.04,2.79890571302669,0.695,0.39,0,0
"458","RNF125",54941,"ENSG00000101695","Non-neuronal",0.571,0.49,2.81392087183894,0.61,0.22,0,0
"459","RNF219.AS1",NA,"NA","Non-neuronal",0.512,0.454,4.65073005105583,0.6,0.2,0,0
"460","RNF220",55182,"ENSG00000187147","Non-neuronal",0.805,0.726,4.08944162906994,0.716,0.432,0,0
"461","RREB1",6239,"ENSG00000124782","Non-neuronal",0.431,0.342,3.25077420474779,0.59,0.18,0,0
"462","RXFP1",59350,"ENSG00000171509","Glutamatergic",0.794,0.318,2.97439400420004,0.827,0.654,0,0
"463","S100B",6285,"ENSG00000160307","Non-neuronal",0.577,0.057,4.63230633560663,0.772,0.544,0,0
"464","SATB2",23314,"ENSG00000119042","Glutamatergic",0.992,0.288,3.34393090135521,0.98,0.96,0,0
"465","SCD",6319,"ENSG00000099194","Non-neuronal",0.533,0.212,3.95883196975898,0.701,0.402,0,0
"466","SCG2",7857,"ENSG00000171951","GABAergic",0.805,0.46,2.33286394080275,0.782,0.564,0,0
"467","SEMA6A",57556,"ENSG00000092421","Non-neuronal",0.624,0.432,2.0013104001598,0.669,0.338,0,0
