"","gene","X","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","hMC_overlap","used"
"95","ATP8B4",95,79895,"ENSG00000104043","Microglia",0.924,0.544,3.93609336646715,0.913,0.826,0,0,TRUE,TRUE
"96","B4GALT1",96,2683,"ENSG00000086062","Microglia",0.401,0.197,3.26151605062514,0.627,0.254,4.10797252438307e-176,2.06552966498505e-171,TRUE,TRUE
"97","BCAN",97,63827,"ENSG00000132692","OPC",0.921,0.367,3.169518152713,0.916,0.832,0,0,TRUE,TRUE
"98","BCAS1",98,8537,"ENSG00000064787","Oligodendrocyte",0.939,0.249,3.53194955131854,0.945,0.89,0,0,TRUE,TRUE
"99","BCHE",99,590,"ENSG00000114200","OPC",0.602,0.128,3.31476713579759,0.765,0.53,0,0,TRUE,TRUE
"100","BDH2",100,56898,"ENSG00000164039","Astrocyte",0.437,0.113,2.57047320919217,0.677,0.354,1.12673546390386e-270,5.66533858605498e-266,FALSE,TRUE
"101","BEND7",101,222389,"ENSG00000165626","Endothelial",0.471,0.303,2.54386615608731,0.619,0.238,3.859418962254e-11,1.94055444841093e-06,FALSE,TRUE
"102","BEST1",102,7439,"ENSG00000167995","Oligodendrocyte",0.612,0.405,2.81344657303045,0.683,0.366,0,0,FALSE,TRUE
"103","BEST3",103,144453,"ENSG00000127325","OPC",0.387,0.085,3.4146547022551,0.663,0.326,1.16048449337232e-239,5.83503208112536e-235,FALSE,TRUE
"104","BHLHE41",104,79365,"ENSG00000123095","Microglia",0.751,0.197,3.4516882702597,0.831,0.662,0,0,TRUE,TRUE
"105","BHMT2",105,23743,"ENSG00000132840","VLMC",0.636,0.151,3.7605682167538,0.783,0.566,2.07199318039654e-09,0.000104181889103519,TRUE,TRUE
"106","BIN2",106,51411,"ENSG00000110934","Microglia",0.592,0.229,4.93707914633619,0.74,0.48,0,0,TRUE,TRUE
"107","BLM",107,641,"ENSG00000197299","OPC",0.62,0.436,2.74392401922619,0.671,0.342,2.05622079293214e-274,1.03388837689421e-269,TRUE,TRUE
"108","BLNK",108,29760,"ENSG00000095585","Microglia",0.928,0.208,5.20982574717372,0.95,0.9,0,0,TRUE,TRUE
"109","BMP2K",109,55589,"ENSG00000138756","Microglia",0.721,0.509,2.67734635523783,0.736,0.472,1.06396168497372e-264,5.34970574821638e-260,FALSE,TRUE
"110","BMP7",110,655,"ENSG00000101144","Astrocyte",0.745,0.21,2.78394472184712,0.824,0.648,0,0,FALSE,TRUE
"111","BMPR1B",111,658,"ENSG00000138696","Astrocyte",0.986,0.651,3.8390469141638,0.968,0.936,0,0,TRUE,TRUE
