"","gene","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1567","SDHC",6391,"ENSG00000143252","VLMC",0.727,0.623,2.12684239850672,0.539,0.0780000000000001,NA,NA
"1568","SDK2",54549,"ENSG00000069188","PAX6",0.89,0.666,2.2101746448086,0.829,0.658,9.73535599454363e-117,4.89503434761648e-112
"1569","SEC14L1",6397,"ENSG00000129657","Endothelial",0.7,0.658,2.21820398421453,0.634,0.268,3.95675214340342e-13,1.98949454522467e-08
"1570","SELM",140606,"ENSG00000198832","Pericyte",0.469,0.347,2.2538509988107,0.637,0.274,1.25711856850951e-13,6.32091787432266e-09
"1571","SELPLG",6404,"ENSG00000110876","Microglia",0.468,0.032,5.27954064261702,0.725,0.45,0,0
"1572","SEMA3B",7869,"ENSG00000012171","Oligodendrocyte",0.576,0.052,3.38234329122704,0.77,0.54,0,0
"1573","SEMA3C",10512,"ENSG00000075223","Oligodendrocyte",0.638,0.427,2.23398401044299,0.689,0.378,0,0
"1574","SEMA3D",223117,"ENSG00000153993","L6b",0.844,0.221,2.85174060923788,NA,NA,0,0
"1575","SEMA3G",56920,"ENSG00000010319","Endothelial",0.486,0.003,5.38449238321,0.742,0.484,1.81256155270016e-89,9.11374074313166e-85
"1576","SEMA4D",10507,"ENSG00000187764","Oligodendrocyte",0.863,0.699,2.04169067571546,0.779,0.558,0,0
"1577","SEMA6A",57556,"ENSG00000092421","Oligodendrocyte",0.832,0.438,2.20299484341194,0.813,0.626,0,0
"1578","SENP1",29843,"ENSG00000079387","VLMC",0.455,0.41,2.15900307427351,0.56,0.12,NA,NA
"1579","SEPN1",57190,"ENSG00000162430","Pericyte",0.281,0.355,2.17186984164576,0.49,0.02,5.69129734809084e-05,1
"1580","SEPP1",6414,"ENSG00000250722","Oligodendrocyte",0.492,0.068,3.76077497768455,0.725,0.45,0,0
"1581","SEPT4",5414,"ENSG00000108387","Oligodendrocyte",0.818,0.452,2.55068476043393,0.811,0.622,0,0
"1582","SEPT8",23176,"ENSG00000164402","Oligodendrocyte",0.633,0.653,2.05938430956479,0.641,0.282,0,0
"1583","SERPINB6",5269,"ENSG00000124570","Endothelial",0.729,0.393,2.6021816707813,0.768,0.536,1.38177087895122e-29,6.94768215645463e-25
"1584","SERPINB9",5272,"ENSG00000170542","Microglia",0.427,0.304,2.65204824416542,0.593,0.186,4.06025713065481e-107,2.04153788786455e-102
"1585","SERPINB9P1",221756,"NA","VLMC",0.364,0.135,2.21525002474347,0.612,0.224,NA,NA
"1586","SERPINE1",5054,"ENSG00000106366","VLMC",0.455,0.116,3.91736573783148,0.689,0.378,2.50570508501202e-11,1.25989357379489e-06
"1587","SERPING1",710,"ENSG00000149131","Pericyte",0.531,0.295,3.61620827419537,0.675,0.35,7.04472524758451e-17,3.54215830173797e-12
"1588","SERPINH1",871,"ENSG00000149257","VLMC",0.636,0.021,4.32289244762732,0.813,0.626,1.28720508044023e-13,6.47219586496152e-09
"1589","SERTM1",400120,"ENSG00000180440","LAMP5",0.505,0.115,2.23343525270504,0.706,0.412,6.61717471376209e-291,3.32718161782672e-286
"1590","SFMBT2",57713,"ENSG00000198879","Microglia",0.992,0.719,3.4750036702007,0.969,0.938,0,0
"1591","SFRP1",6422,"ENSG00000104332","LAMP5",0.568,0.142,2.69224366823344,0.741,0.482,0,0
"1592","SFXN5",94097,"ENSG00000144040","Astrocyte",0.992,0.734,2.7208780116175,0.963,0.926,0,0
"1593","SGPP2",130367,"ENSG00000163082","Endothelial",0.614,0.486,2.58539132951076,0.641,0.282,2.74064075724854e-14,1.37802157915214e-09
"1594","SH2D1B",117157,"ENSG00000198574","L6 CT",0.503,0.119,2.13972565551839,0.708,0.416,8.6248106563494e-179,4.33664104611904e-174
"1595","SH2D3C",10044,"ENSG00000095370","Endothelial",0.443,0.518,2.08486357984299,0.517,0.034,2.82512857890602e-10,1.42050290075973e-05
"1596","SH3BP2",6452,"ENSG00000087266","Astrocyte",0.575,0.111,2.60687144969599,0.753,0.506,0,0
"1597","SH3D19",152503,"ENSG00000109686","Oligodendrocyte",0.847,0.683,2.20675534273779,0.769,0.538,0,0
"1598","SH3PXD2B",285590,"ENSG00000174705","Astrocyte",0.829,0.423,2.38885395332088,0.819,0.638,0,0
"1599","SH3RF2",153769,"ENSG00000156463","L4 IT",0.864,0.341,2.10538821820497,0.843,0.686,9.8689871585247e-23,4.9622254331778e-18
"1600","SH3TC1",54436,"ENSG00000125089","Microglia",0.581,0.069,4.59645549701646,0.774,0.548,0,0
"1601","SH3TC2",79628,"ENSG00000169247","Oligodendrocyte",0.737,0.039,5.27931957469947,0.862,0.724,0,0
"1602","SHANK3",85358,"ENSG00000251322","Endothelial",0.814,0.678,2.34948623349473,0.748,0.496,5.51463901649712e-29,2.77281564388492e-24
"1603","SHC4",399694,"ENSG00000185634","Oligodendrocyte",0.491,0.33,2.53409551535066,0.626,0.252,2.80333710413147e-311,1.40954592932834e-306
"1604","SHE",126669,"ENSG00000169291","Endothelial",0.357,0.159,4.05036946320024,0.624,0.248,4.88638954822094e-103,2.45692552874097e-98
"1605","SHISA6",388336,"ENSG00000188803","VLMC",0.909,0.764,2.09490548299999,0.738,0.476,0.00725194320727428,1
"1606","SHISA8",440829,"ENSG00000234965","VIP",0.483,0.021,3.20010468790485,0.734,0.468,0,0
"1607","SHROOM1",134549,"ENSG00000164403","Endothelial",0.457,0.126,2.42623994571337,0.68,0.36,7.57934210290026e-17,3.81096900275928e-12
"1608","SHROOM2",357,"ENSG00000146950","Endothelial",0.714,0.693,2.34614390810538,0.603,0.206,1.07337900635526e-11,5.39705698185487e-07
"1609","SHROOM3",57619,"ENSG00000138771","Astrocyte",0.934,0.619,2.51382410785498,0.871,0.742,0,0
"1610","SHROOM4",57477,"ENSG00000158352","Oligodendrocyte",0.885,0.277,3.96560429141689,0.914,0.828,0,0
"1611","SIPA1",6494,"ENSG00000213445","VLMC",0.455,0.08,2.02916407390993,0.699,0.398,0.00108376920312457,1
"1612","SKAP1",8631,"ENSG00000141293","Endothelial",0.514,0.588,2.41826630823149,0.503,0.00600000000000001,5.34494064612855e-05,1
"1613","SKAP2",8935,"ENSG00000005020","Microglia",0.656,0.616,2.17785825056816,0.642,0.284,1.29963918208408e-129,6.53471577143696e-125
"1614","SKI",6497,"ENSG00000157933","Microglia",0.413,0.506,2.04626370172155,0.505,0.01,1.31166692958673e-101,6.59519248865504e-97
"1615","SLAIN1",122060,"ENSG00000139737","Oligodendrocyte",0.915,0.742,2.23178100445872,0.838,0.676,0,0
"1616","SLC10A4",201780,"ENSG00000145248","VIP",0.503,0.055,2.73798092047259,0.73,0.46,0,0
"1617","SLC12A4",6560,"ENSG00000124067","VLMC",0.545,0.088,3.83816118430029,0.738,0.476,6.4350020752757e-05,1
"1618","SLC12A7",10723,"ENSG00000276482, ENSG00000113504","Pericyte",0.719,0.131,4.65382365915289,0.837,0.674,5.09935314881457e-45,2.56400575675545e-40
"1619","SLC13A5",284111,"ENSG00000141485","Astrocyte",0.465,0.105,3.42826459761647,0.697,0.394,0,0
"1620","SLC14A1",6563,"ENSG00000141469","Astrocyte",0.646,0.027,4.98483166204225,0.817,0.634,0,0
"1621","SLC15A5",729025,"ENSG00000188991","L6b",0.373,0.048,2.57360950922454,0.668,0.336,2.5499810618872e-213,1.2821559777275e-208
"1622","SLC16A1",6566,"ENSG00000281917, ENSG00000155380","Endothelial",0.629,0.49,3.09957196332284,0.658,0.316,5.12110366433303e-23,2.57494213346329e-18
"1623","SLC16A12",387700,"ENSG00000152779","VLMC",0.818,0.192,4.33003907766664,0.889,0.778,1.52311034860062e-54,7.6583511437988e-50
"1624","SLC16A14",151473,"ENSG00000163053","Endothelial",0.657,0.518,2.9453066833635,0.693,0.386,7.28459300391394e-30,3.66276620829797e-25
"1625","SLC16A2",6567,"ENSG00000147100","VLMC",0.727,0.48,2.54776172636735,0.676,0.352,0.0247823122190833,1
"1626","SLC16A4",9122,"ENSG00000168679","VLMC",0.364,0.207,2.52099774241096,0.601,0.202,0.0100909183931525,1
"1627","SLC16A9",220963,"ENSG00000165449","Astrocyte",0.609,0.227,3.22795393603773,0.742,0.484,0,0
"1628","SLC17A6",57084,"ENSG00000091664","IT",0.358,0.052,2.38897429467387,0.658,0.316,0,0
"1629","SLC19A1",6573,"ENSG00000173638","Pericyte",0.875,0.188,5.2568931038517,0.921,0.842,2.07595196393555e-68,1.04380940698644e-63
"1630","SLC19A3",80704,"ENSG00000135917","Endothelial",0.529,0.175,4.46308313610797,0.718,0.436,9.29723716947611e-134,4.67474382118428e-129
"1631","SLC1A2",6506,"ENSG00000110436","Astrocyte",0.997,0.706,4.32131753456063,0.993,0.986,0,0
"1632","SLC22A24",283238,"ENSG00000197658","IT",0.812,0.392,2.00414069143023,0.797,0.594,0,0
"1633","SLC22A25",387601,"ENSG00000196600","IT",0.863,0.472,2.10699916777678,0.815,0.63,0,0
"1634","SLC22A3",6581,"ENSG00000146477","VIP",0.388,0.092,3.13773152995497,0.661,0.322,0,0
"1635","SLC24A3",57419,"ENSG00000185052","VIP",0.93,0.498,2.00979374527876,0.87,0.74,0,0
"1636","SLC25A13",10165,"ENSG00000004864","Oligodendrocyte",0.86,0.626,2.49819511993849,0.816,0.632,0,0
"1637","SLC25A18",83733,"ENSG00000182902","Astrocyte",0.949,0.142,4.70109363005215,0.965,0.93,0,0
"1638","SLC25A33",84275,"ENSG00000171612","Astrocyte",0.757,0.56,2.13983253658826,0.714,0.428,2.95498371718917e-304,1.48579536283989e-299
"1639","SLC25A48",153328,"ENSG00000145832","Astrocyte",0.508,0.05,3.37904142831025,0.736,0.472,0,0
"1640","SLC2A1",6513,"ENSG00000117394","Endothelial",0.9,0.296,4.82698881234297,0.923,0.846,1.61028035734322e-153,8.09665066475745e-149
"1641","SLC2A5",6518,"ENSG00000142583","Microglia",0.795,0.55,4.94595895396382,0.795,0.59,0,0
"1642","SLC2A9",56606,"ENSG00000109667","Microglia",0.348,0.39,2.00092892294516,0.504,0.00800000000000001,1.21218412567536e-35,6.09498300230829e-31
"1643","SLC30A10",55532,"ENSG00000196660","Pericyte",0.656,0.232,4.32968485747677,0.779,0.558,2.16066902651102e-35,1.08640599322e-30
"1644","SLC30A3",7781,"ENSG00000115194","IT",0.77,0.11,2.66022952495504,0.858,0.716,0,0
"1645","SLC31A2",1318,"ENSG00000136867","Oligodendrocyte",0.641,0.155,3.86011773456106,0.783,0.566,0,0
"1646","SLC35D2",11046,"ENSG00000285269, ENSG00000130958","Oligodendrocyte",0.728,0.45,3.25045187631493,0.762,0.524,0,0
"1647","SLC35F2",54733,"ENSG00000110660","Endothelial",0.371,0.437,2.47153859689263,0.493,0.014,5.0168020564023e-06,0.252249824197964
"1648","SLC35F4",341880,"ENSG00000151812","PAX6",0.99,0.643,2.27956137778668,0.941,0.882,1.12615377237972e-181,5.66241378290249e-177
"1649","SLC38A5",92745,"ENSG00000017483","Endothelial",0.643,0.07,4.68709774675911,0.806,0.612,1.44123785300408e-96,7.2466880486898e-92
"1650","SLC39A10",57181,"ENSG00000196950","Endothelial",0.886,0.868,2.41990593040615,0.83,0.66,1.1925160180182e-32,5.99608979019732e-28
"1651","SLC39A12",221074,"ENSG00000148482","Astrocyte",0.757,0.211,5.0613865026016,0.848,0.696,0,0
"1652","SLC39A8",64116,"ENSG00000138821","Endothelial",0.571,0.185,3.97487440943578,0.739,0.478,6.40186274461594e-51,3.21892060662034e-46
"1653","SLC3A2",6520,"ENSG00000168003","Astrocyte",0.801,0.576,2.17850641589185,0.762,0.524,0,0
"1654","SLC40A1",30061,"ENSG00000138449","VLMC",0.455,0.063,2.99144212820041,0.705,0.41,5.57486885899666e-05,1
"1655","SLC41A1",254428,"ENSG00000133065","VLMC",0.818,0.635,2.55951849729625,0.684,0.368,0.000238392203741426,1
"1656","SLC44A1",23446,"ENSG00000070214","Oligodendrocyte",0.999,0.892,2.94550154589392,0.991,0.982,0,0
"1657","SLC44A3",126969,"ENSG00000143036","Astrocyte",0.363,0.223,2.26009808752241,0.59,0.18,1.1388189161437e-119,5.72609539226213e-115
