"","gene","entrez_id","ensembl_gene_id","nueron_or_not","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"94","CDH18",1016,"ENSG00000145526","Neuronal",0.986,0.75,2.78798419426354,0.926,0.852,0,0
"95","CDH20",28316,"ENSG00000101542","Non-neuronal",0.834,0.593,2.39692226372519,0.8,0.6,0,0
"96","CDH22",64405,"ENSG00000149654","Neuronal",0.596,0.14,2.34017963216734,0.753,0.506,0,0
"97","CDH23",64072,"ENSG00000107736","Non-neuronal",0.389,0.328,2.6280039764771,0.563,0.126,7.33726842029834e-302,3.68925193441021e-297
"98","CDH7",1005,"ENSG00000081138","Neuronal",0.565,0.236,2.54433087806689,0.7,0.4,0,0
"99","CDH9",1007,"ENSG00000113100","Neuronal",0.89,0.321,5.07372869187304,0.903,0.806,0,0
"100","CDK18",5129,"ENSG00000117266","Non-neuronal",0.489,0.318,2.9979194418992,0.636,0.272,0,0
"101","CECR1",51816,"ENSG00000093072","Non-neuronal",0.34,0.37,2.11023744281277,0.512,0.024,1.01036918371449e-203,5.08023729263484e-199
"102","CECR2",27443,"ENSG00000099954","Non-neuronal",0.835,0.754,3.29320429373989,0.741,0.482,0,0
"103","CELF4",56853,"ENSG00000101489","Neuronal",0.994,0.254,2.83404981718027,0.971,0.942,0,0
"104","CELF5",60680,"ENSG00000161082","Neuronal",0.958,0.406,2.37050107511608,0.936,0.872,0,0
"105","CENPW",387103,"ENSG00000203760","Neuronal",0.49,0.108,2.05720441515096,0.706,0.412,0,0
"106","CERCAM",51148,"ENSG00000167123","Non-neuronal",0.576,0.255,4.74664256211681,0.717,0.434,0,0
"107","CHD5",26038,"ENSG00000116254","Neuronal",0.973,0.133,3.48458253041364,0.974,0.948,0,0
"108","CHD7",55636,"ENSG00000171316","Non-neuronal",0.619,0.217,3.19776500575033,0.749,0.498,0,0
"109","CHRM3",1131,"ENSG00000133019","Neuronal",0.988,0.845,3.90599187088157,0.932,0.864,0,0
"110","CHST11",50515,"ENSG00000171310","Non-neuronal",0.683,0.734,2.0060717107366,0.576,0.152,1.96961245977196e-318,9.90340840897941e-314
"111","CKMT1B",1159,"ENSG00000237289","Neuronal",0.844,0.026,3.97822228276738,0.916,0.832,0,0
"112","CLDN10",9071,"ENSG00000134873","Non-neuronal",0.397,0.366,2.65709412874816,0.554,0.108,0,0
"113","CLDN11",5010,"ENSG00000013297","Non-neuronal",0.553,0.312,4.1639290101097,0.685,0.37,0,0
"114","CLDND1",56650,"ENSG00000080822","Non-neuronal",0.509,0.57,2.46209554301482,0.561,0.122,0,0
"115","CLEC2L",154790,"ENSG00000236279","Neuronal",0.59,0.07,2.45030592447192,0.773,0.546,0,0
"116","CLIC4",25932,"ENSG00000169504","Non-neuronal",0.625,0.466,3.43521413637375,0.674,0.348,0,0
"117","CLMN",79789,"ENSG00000165959","Non-neuronal",0.544,0.288,3.32177435959569,0.681,0.362,0,0
"118","CLSTN2",64084,"ENSG00000158258","Neuronal",0.864,0.398,2.43678120042229,0.839,0.678,0,0
"119","CLSTN3",9746,"ENSG00000288427, ENSG00000139182","Neuronal",0.873,0.087,2.19611622661446,0.91,0.82,0,0
"120","CLVS2",134829,"ENSG00000146352","Neuronal",0.848,0.105,2.25706585375157,0.892,0.784,0,0
"121","CNDP1",84735,"ENSG00000150656","Non-neuronal",0.533,0.236,5.36725461026125,0.7,0.4,0,0
"122","CNKSR2",22866,"ENSG00000149970","Neuronal",0.951,0.357,2.23192151290116,0.912,0.824,0,0
"123","CNKSR3",154043,"ENSG00000153721","Non-neuronal",0.494,0.401,2.54580553357491,0.595,0.19,0,0
"124","CNNM1",26507,"ENSG00000119946","Neuronal",0.846,0.169,2.36520085639389,0.887,0.774,0,0
"125","CNR1",1268,"ENSG00000118432","Neuronal",0.677,0.047,3.83307877207721,0.825,0.65,0,0
"126","CNTN2",6900,"ENSG00000184144","Non-neuronal",0.457,0.412,2.69758473673653,0.588,0.176,0,0
"127","CNTN4",152330,"ENSG00000144619","Neuronal",0.984,0.661,2.48614018128936,0.925,0.85,0,0
"128","CNTN5",53942,"ENSG00000149972","Neuronal",0.992,0.875,3.06506033214137,0.883,0.766,0,0
"129","CNTNAP2",26047,"ENSG00000278728, ENSG00000174469","Neuronal",1,0.954,2.06217672342543,0.941,0.882,0,0
"130","COL12A1",1303,"ENSG00000111799","Neuronal",0.484,0.113,2.11926925633322,0.7,0.4,0,0
"131","COL19A1",1310,"ENSG00000082293","Neuronal",0.717,0.299,2.08491984338887,0.764,0.528,0,0
"132","COL24A1",255631,"ENSG00000171502","Neuronal",0.863,0.541,3.04738185185826,0.768,0.536,0,0
"133","COL4A5",1287,"ENSG00000188153","Non-neuronal",0.635,0.393,5.22186672237834,0.725,0.45,0,0
"134","COL5A2",1290,"ENSG00000204262","Neuronal",0.457,0.181,2.27231986530273,0.653,0.306,0,0
"135","COL5A3",50509,"ENSG00000080573","Non-neuronal",0.47,0.495,2.96636227463126,0.544,0.0880000000000001,0,0
"136","COL9A2",1298,"ENSG00000049089","Non-neuronal",0.493,0.048,4.84601351048781,0.733,0.466,0,0
"137","COLEC12",81035,"ENSG00000158270","Non-neuronal",0.372,0.31,3.15065536214717,0.565,0.13,0,0
"138","CORO6",84940,"ENSG00000167549","Neuronal",0.941,0.031,2.92404297350095,0.959,0.918,0,0
"139","CPM",1368,"ENSG00000135678","Non-neuronal",0.532,0.337,3.92626377124462,0.663,0.326,0,0
"140","CPNE2",221184,"ENSG00000140848","Non-neuronal",0.374,0.246,2.04116612946883,0.587,0.174,4.63178323401803e-291,2.32890692789661e-286
"141","CPNE4",131034,"ENSG00000196353","Neuronal",0.849,0.473,2.6779049635581,0.808,0.616,0,0
"142","CPNE7",27132,"ENSG00000178773","Neuronal",0.45,0.057,2.11920709631026,0.703,0.406,0,0
"143","CPNE9",151835,"ENSG00000144550","Neuronal",0.648,0.159,2.37073503686721,0.777,0.554,0,0
"144","CPQ",10404,"ENSG00000104324","Non-neuronal",0.596,0.497,2.09123227722545,0.622,0.244,0,0
"145","CREB3L2",64764,"ENSG00000182158","Non-neuronal",0.434,0.354,2.17498137468322,0.574,0.148,1.94998156517452e-253,9.80470230785403e-249
"146","CREB5",9586,"ENSG00000146592","Non-neuronal",0.801,0.722,2.51096042514401,0.687,0.374,0,0
"147","CRYAB",1410,"ENSG00000109846","Non-neuronal",0.491,0.246,3.32642768454253,0.664,0.328,0,0
"148","CSF1R",1436,"ENSG00000182578","Non-neuronal",0.38,0.238,4.0305044806115,0.594,0.188,0,0
"149","CSRP1",1465,"ENSG00000159176","Non-neuronal",0.43,0.117,3.60558790867683,0.674,0.348,0,0
"150","CST3",1471,"ENSG00000101439","Non-neuronal",0.499,0.256,3.2386802299113,0.669,0.338,0,0
"151","CTNNA3",29119,"ENSG00000183230","Non-neuronal",0.952,0.98,2.75090645424325,0.589,0.178,0,0
"152","CTNNAL1",8727,"ENSG00000119326","Neuronal",0.791,0.118,2.28648053542077,0.859,0.718,0,0
"153","CUEDC1",404093,"ENSG00000180891","Non-neuronal",0.616,0.452,2.68586584799117,0.662,0.324,0,0
"154","CUX2",23316,"ENSG00000111249","Neuronal",0.679,0.483,2.27541650267042,0.644,0.288,0,0
"155","CYP27A1",1593,"ENSG00000135929","Non-neuronal",0.413,0.202,3.00260907866861,0.632,0.264,0,0
"156","CYP4X1",260293,"ENSG00000186377","Neuronal",0.819,0.162,2.74558791256272,0.876,0.752,0,0
"157","DAAM2",23500,"ENSG00000146122","Non-neuronal",0.597,0.164,4.26790931385889,0.756,0.512,0,0
"158","DCLK1",9201,"ENSG00000133083","Neuronal",0.996,0.414,2.67436061924781,0.97,0.94,0,0
"159","DDR1",780,"ENSG00000229767, ENSG00000223680, ENSG00000234078, ENSG00000137332, ENSG00000215522, ENSG00000230456, ENSG00000204580","Non-neuronal",0.395,0.15,2.32695482564027,0.639,0.278,0,0
"160","DFNB31",25861,"ENSG00000095397","Non-neuronal",0.44,0.261,2.18088952096573,0.614,0.228,0,0
"161","DGCR5",26220,"ENSG00000273032","Neuronal",0.905,0.236,2.67740610270879,0.916,0.832,0,0
"162","DGKB",1607,"ENSG00000136267","Neuronal",0.977,0.645,2.25430888297567,0.901,0.802,0,0
"163","DLGAP1",9229,"ENSG00000170579","Neuronal",1,0.892,2.07512688876778,0.955,0.91,0,0
"164","DLGAP1.AS4",NA,"NA","Neuronal",0.658,0.015,2.63323515349679,0.823,0.646,0,0
"165","DLGAP2",9228,"ENSG00000282152, ENSG00000282103, ENSG00000274161, ENSG00000282318, ENSG00000198010","Neuronal",0.983,0.486,4.0318646357616,0.971,0.942,0,0
"166","DLGAP3",58512,"ENSG00000116544","Neuronal",0.748,0.1,2.80028762566998,0.851,0.702,0,0
"167","DNAH11",8701,"ENSG00000105877","Non-neuronal",0.561,0.422,2.16436334622256,0.631,0.262,3.62329287202956e-311,1.82182788898518e-306
"168","DNAH14",127602,"ENSG00000185842","Neuronal",0.897,0.579,2.13421866821093,0.792,0.584,0,0
"169","DNAH6",1768,"ENSG00000115423","Neuronal",0.861,0.402,2.16242592050304,0.837,0.674,0,0
"170","DOCK1",1793,"ENSG00000150760","Non-neuronal",0.843,0.514,4.36859775430045,0.849,0.698,0,0
"171","DOCK10",55619,"ENSG00000135905","Non-neuronal",0.824,0.594,2.03960525686872,0.772,0.544,0,0
"172","DOCK2",1794,"ENSG00000134516","Non-neuronal",0.486,0.443,3.3162155854811,0.57,0.14,0,0
"173","DOCK5",80005,"ENSG00000147459","Non-neuronal",0.783,0.491,4.97296169357094,0.805,0.61,0,0
"174","DOCK8",81704,"ENSG00000107099","Non-neuronal",0.441,0.378,4.91586960219429,0.581,0.162,0,0
"175","DPY19L2P1",554236,"NA","Neuronal",0.968,0.361,3.28310723380224,0.953,0.906,0,0
"176","DRP2",1821,"ENSG00000102385","Neuronal",0.687,0.082,2.16329304949105,0.816,0.632,0,0
"177","EBF1",1879,"ENSG00000164330","Non-neuronal",0.446,0.349,3.07668818167068,0.585,0.17,5.70369903581996e-180,2.86787691220064e-175
"178","EFHD1",80303,"ENSG00000115468","Non-neuronal",0.536,0.362,3.30221673085856,0.649,0.298,0,0
"179","EFNB3",1949,"ENSG00000108947","Neuronal",0.468,0.012,2.35708129486417,0.728,0.456,0,0
"180","EIF4E1B",253314,"ENSG00000175766","Neuronal",0.382,0.056,2.76079652573092,0.671,0.342,0,0
"181","ELAVL2",1993,"ENSG00000107105","Neuronal",0.817,0.124,3.26159592684501,0.884,0.768,0,0
"182","ELF1",1997,"ENSG00000120690","Non-neuronal",0.537,0.437,2.63565778034759,0.615,0.23,0,0
"183","ELN",2006,"ENSG00000049540","Non-neuronal",0.454,0.371,2.18259276698169,0.585,0.17,0,0
"184","EMC10",284361,"ENSG00000161671","Non-neuronal",0.478,0.466,2.22592571533804,0.551,0.102,0,0
"185","EMID1",129080,"ENSG00000186998","Non-neuronal",0.412,0.322,2.10796488365814,0.581,0.162,0,0
"186","ENOSF1",55556,"ENSG00000132199","Non-neuronal",0.494,0.254,2.65809718533153,0.657,0.314,0,0
"187","ENPP2",5168,"ENSG00000136960","Non-neuronal",0.584,0.327,4.24481134011255,0.697,0.394,0,0
"188","ENTPD3",956,"ENSG00000168032","Neuronal",0.436,0.052,2.36436245861913,0.697,0.394,0,0
"189","EPB41L4B",54566,"ENSG00000095203","Neuronal",0.872,0.292,2.45827898873597,0.885,0.77,0,0
"190","EPHA10",284656,"ENSG00000183317","Neuronal",0.641,0.154,2.29356442948623,0.774,0.548,0,0
"191","EPHA5",2044,"ENSG00000145242","Neuronal",0.987,0.899,2.5751889801064,0.88,0.76,0,0
"192","EPHA7",2045,"ENSG00000135333","Neuronal",0.791,0.126,3.27461786138433,0.87,0.74,0,0
"193","EPHB6",2051,"ENSG00000275482, ENSG00000106123","Neuronal",0.802,0.045,2.71453384516417,0.885,0.77,0,0
"194","EPHX4",253152,"ENSG00000172031","Neuronal",0.613,0.106,2.25008136597076,0.774,0.548,0,0
"195","EPN2",22905,"ENSG00000072134","Non-neuronal",0.761,0.796,2.03321833084591,0.649,0.298,0,0
"196","ERBB3",2065,"ENSG00000065361","Non-neuronal",0.441,0.176,4.03778572316737,0.663,0.326,0,0
"197","ERC2",26059,"ENSG00000187672","Neuronal",0.997,0.696,2.27761991962989,0.947,0.894,0,0
"198","ERICH1.AS1",NA,"NA","Neuronal",0.911,0.255,4.1116318243908,0.93,0.86,0,0
"199","ERICH3",127254,"ENSG00000178965","Neuronal",0.68,0.045,2.57504294132614,0.824,0.648,0,0
"200","EYA2",2139,"ENSG00000064655","Non-neuronal",0.615,0.564,3.5108583027187,0.63,0.26,0,0
"201","FA2H",79152,"ENSG00000103089","Non-neuronal",0.552,0.205,4.96495582495458,0.722,0.444,0,0
"202","FAM107B",83641,"ENSG00000065809","Non-neuronal",0.698,0.536,3.74823643292885,0.705,0.41,0,0
"203","FAM124A",220108,"ENSG00000150510","Non-neuronal",0.383,0.325,2.15611779464159,0.563,0.126,4.94065645841247e-324,2.48421147385437e-319
"204","FAM153A",285596,"ENSG00000170074","Neuronal",0.865,0.105,2.12578762603183,0.906,0.812,0,0
"205","FAM153B",202134,"ENSG00000182230","Neuronal",0.87,0.066,3.10620275757772,0.921,0.842,0,0
"206","FAM153C",653316,"ENSG00000204677","Neuronal",0.904,0.103,3.12116527783606,0.937,0.874,0,0
"207","FAM81A",145773,"ENSG00000157470","Neuronal",0.883,0.374,2.26173036291967,0.873,0.746,0,0
"208","FAXDC2",10826,"ENSG00000170271","Non-neuronal",0.538,0.364,2.80405357534774,0.647,0.294,0,0
"209","FBLN1",2192,"ENSG00000077942","Non-neuronal",0.353,0.308,2.63198268138449,0.554,0.108,0,0
"210","FBXL7",23194,"ENSG00000183580","Non-neuronal",0.845,0.588,2.13816691245781,0.81,0.62,0,0
"211","FCGR2A",2212,"ENSG00000143226","Non-neuronal",0.748,0.77,2.01805947040405,0.594,0.188,0,0
"212","FGD4",121512,"ENSG00000139132","Non-neuronal",0.802,0.84,2.04504734862512,0.598,0.196,0,0
"213","FGF13",2258,"ENSG00000129682","Neuronal",0.873,0.492,2.50337191294634,0.797,0.594,0,0
"214","FGFR2",2263,"ENSG00000066468","Non-neuronal",0.689,0.402,3.06314127989147,0.741,0.482,0,0
"215","FIRRE",286467,"ENSG00000213468","Non-neuronal",0.365,0.309,3.1143776973714,0.564,0.128,0,0
"216","FKBP5",2289,"ENSG00000096060","Non-neuronal",0.486,0.487,2.2024280707836,0.547,0.0940000000000001,4.92266234815623e-231,2.47516385527644e-226
"217","FLJ41278",400046,"NA","Neuronal",0.773,0.237,2.27415968351367,0.828,0.656,0,0
"218","FLT1",2321,"ENSG00000102755","Non-neuronal",0.529,0.526,2.41957987919068,0.546,0.0920000000000001,1.23628452030525e-40,6.21616219654684e-36
"219","FOLH1",2346,"ENSG00000086205","Non-neuronal",0.391,0.119,4.68588815361948,0.655,0.31,0,0
"220","FOXO1",2308,"ENSG00000150907","Non-neuronal",0.571,0.341,2.81564800711098,0.68,0.36,0,0
"221","FRAS1",80144,"ENSG00000138759","Neuronal",0.915,0.537,2.9746434377507,0.854,0.708,0,0
"222","FRMD4B",23150,"ENSG00000114541","Non-neuronal",0.831,0.695,3.2520921991688,0.76,0.52,0,0
"223","FRMPD4",9758,"ENSG00000169933","Neuronal",0.998,0.562,3.77064034988618,0.989,0.978,0,0
"224","FRRS1L",23732,"ENSG00000260230","Neuronal",0.919,0.168,2.17064841111495,0.92,0.84,0,0
"225","FSTL4",23105,"ENSG00000053108","Neuronal",0.866,0.375,3.09976166005265,0.861,0.722,0,0
"226","FSTL5",56884,"ENSG00000168843","Neuronal",0.882,0.589,2.1712626575945,0.767,0.534,0,0
"227","GABBR2",9568,"ENSG00000136928","Neuronal",0.998,0.539,3.16146616805643,0.981,0.962,0,0
"228","GABRA1",2554,"ENSG00000022355","Neuronal",0.956,0.102,2.72537385955886,0.954,0.908,0,0
"229","GABRA4",2557,"ENSG00000109158","Neuronal",0.91,0.064,3.31296646909973,0.941,0.882,0,0
"230","GABRA5",2558,"ENSG00000186297","Neuronal",0.669,0.067,2.66796546956731,0.815,0.63,0,0
"231","GABRB2",2561,"ENSG00000145864","Neuronal",0.992,0.243,3.46951838085617,0.98,0.96,0,0
"232","GABRB3",2562,"ENSG00000166206","Neuronal",0.992,0.384,2.52112895790715,0.958,0.916,0,0
"233","GABRG2",2566,"ENSG00000113327","Neuronal",0.966,0.105,2.82023842479035,0.965,0.93,0,0
