"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"656","LOC105374235",105374235,"Pyramidal","Pyramidal",0.356,0.072,3.83198339022276,0,0,0.652,0.304
"657","LOC105374438",105374438,"Endo_CLDN5","Endothelial",0.357,0.056,4.55062220845282,1.00592589193255e-47,5.05789597722608e-43,0.659,0.318
"658","LOC105374466",105374466,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.037,2.90646433752937,4.52239579780134e-05,1,0.668,0.336
"659","LOC105374524",105374524,"Pyramidal","Pyramidal",0.407,0.237,2.81895051378216,9.55120094321161e-253,4.80243934625623e-248,0.606,0.212
"660","LOC105374763",105374763,"VLMC_CYP1B1",NA,0.455,0.302,3.1552774725284,NA,NA,0.596,0.192
"661","LOC105374875",105374875,"OPC_MYT1","OPC",0.464,0.092,3.07820426550442,3.23976564330427e-206,1.62898656310982e-201,0.698,0.396
"662","LOC105374971",105374971,"Pyramidal","Pyramidal",0.475,0.266,3.80562285725505,3.11948914286864e-286,1.56851033592578e-281,0.628,0.256
"663","LOC105375147",105375147,"Inh_PVALB","PVALB",0.517,0.26,2.97976148300569,3.36630383065668e-186,1.69261122909248e-181,0.665,0.33
"664","LOC105375159",105375159,"Pyramidal","Pyramidal",0.667,0.179,2.80207039724646,0,0,0.79,0.58
"665","LOC105375415",105375415,"Inh_VIP","VIP",0.927,0.114,2.80073179639655,0,0,0.933,0.866
"666","LOC105375483",105375483,"Oligo","Oligo",0.636,0.313,4.61388925975692,0,0,0.735,0.47
"667","LOC105375629",105375629,"Pyramidal","Pyramidal",0.812,0.136,3.09105479241767,0,0,0.876,0.752
"668","LOC105375920",105375920,"VLMC_CYP1B1","VLMC_CYP1B1",0.727,0.296,3.11272958070329,1.36563090843965e-13,6.8665287707254e-09,0.764,0.528
"669","LOC105375931",105375931,"Pyramidal","Pyramidal",0.55,0.225,3.18107562381551,0,0,0.698,0.396
"670","LOC105376219",105376219,"Micro_C1QC","Microglia",0.425,0.288,3.93531509285923,3.56872411943186e-245,1.79439017449154e-240,0.606,0.212
"671","LOC105376244",105376244,"Astro_FGFR3","Astrocyte",0.646,0.072,2.70513633030924,0,0,0.798,0.596
"672","LOC105376287",105376287,"Micro_C1QC","Microglia",0.36,0.203,2.50648273714754,5.6493171113149e-133,2.84053313674025e-128,0.6,0.2
"673","LOC105376388",105376388,"Micro_C1QC","Microglia",0.444,0.028,5.9430090735252,0,0,0.714,0.428
"674","LOC105376405",105376405,"Pyramidal","Pyramidal",0.779,0.022,3.47636619758441,0,0,0.884,0.768
"675","LOC105376407",105376407,"Pyramidal","Pyramidal",0.952,0.118,3.87320205981085,0,0,0.966,0.932
"676","LOC105376481",105376481,"VLMC_CYP1B1","VLMC_CYP1B1",0.636,0.209,4.11221472954288,2.78913578699437e-12,1.40240536505864e-07,0.765,0.53
"677","LOC105376603",105376603,"Micro_C1QC","Microglia",0.625,0.137,5.86063117819827,0,0,0.783,0.566
"678","LOC105376640",105376640,"VLMC_CYP1B1",NA,0.364,0.188,2.63061128085678,NA,NA,0.6,0.2
"679","LOC105376908",105376908,"Micro_C1QC","Microglia",0.485,0.317,2.8023197349504,1.66846164818316e-173,8.38919201322975e-169,0.624,0.248
"680","LOC105376917",105376917,"Astro_FGFR3","Astrocyte",0.774,0.204,4.66000259683977,0,0,0.854,0.708
