"","subclass","estimate","std.error","statistic","p.value","dataset","term","mapping","filtering","class"
"44","L3/5 IT",0.0486005796646636,0.454846125492768,0.106850596148337,0.915972060640771,"Mathys","(Intercept)","All_Hodge","Unfiltered","Glutamatergic"
"45","L3/5 IT",-0.248401879668714,0.313897964437201,-0.791345939799523,0.445470574801232,"Zhou","scale(pmi)","All_Hodge","Unfiltered","Glutamatergic"
"46","L3/5 IT",-0.126812542621124,0.469610538719008,-0.27003768477394,0.78989802414731,"Mathys","LOADAD","All_Hodge","Unfiltered","Glutamatergic"
"47","L3/5 IT",0.208010451894106,0.451718121586828,0.460487286105308,0.654136249443815,"Zhou","(Intercept)","All_Hodge","Unfiltered","Glutamatergic"
"48","L3/5 IT",-0.0508581107593914,0.61856612536878,-0.0822193596991277,0.935949303319424,"Zhou","factor(msex)1","All_Hodge","Unfiltered","Glutamatergic"
"49","L3/5 IT",-0.377877320718669,0.589717323367162,-0.640777039685843,0.534788857908524,"Zhou","LOADAD","All_Hodge","Unfiltered","Glutamatergic"
"50","L3/5 IT",0.406075521163613,0.744859861824686,0.545170362877183,0.609063677238977,"Cain","(Intercept)","All_Hodge","Unfiltered","Glutamatergic"
"51","L3/5 IT",-0.0134550114121363,0.299331940988475,-0.0449501358515375,0.964952689843577,"Zhou","scale(age_death)","All_Hodge","Unfiltered","Glutamatergic"
"52","L3/5 IT",0.453859172384504,1.10778576137747,0.409699409586339,0.698988392221584,"Cain","LOADAD","All_Hodge","Unfiltered","Glutamatergic"
"53","L3/5 IT",-0.268183488983262,0.532563941304093,-0.503570497706921,0.635959599253924,"Cain","scale(age_death)","All_Hodge","Unfiltered","Glutamatergic"
"54","L3/5 IT",-0.0660307995338297,0.417367172125034,-0.158207937623921,0.880484109028816,"Cain","scale(pmi)","All_Hodge","Unfiltered","Glutamatergic"
"55","L3/5 IT",-1.26601021471173,0.685849982709231,-1.84589960870271,0.124201780608728,"Cain","factor(msex)1","All_Hodge","Unfiltered","Glutamatergic"
