"","subclass","term","estimate","std.error","statistic","p.value","dataset","class","class_color","mapping","filtering"
"45","L2/3 IT","scale(pmi)",0.86608535081938,0.341877777128381,2.53331865584861,0.0523179105214002,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"46","L6 CT","scale(pmi)",-0.115869079516102,0.218253706936572,-0.530891690878704,0.601340211454915,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"47","L6 CT","scale(age_death)",-0.137851711130108,0.209051465255809,-0.659415187362709,0.517150878863531,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"48","L6 CT","factor(msex)1",-0.100759765246121,0.426885857364811,-0.236034442246731,0.815806298548919,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"49","L6 CT","(Intercept)",-0.0738826994452648,0.421749608543013,-0.175181429807373,0.864120033604684,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"50","L6 CT","LOADAD",0.621921850197487,0.4584515122647,1.35657061556033,0.190034345104511,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"51","L6 CT","factor(msex)1",-0.28472284683403,0.577528349572987,-0.493002373034239,0.631704613687574,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"52","L6 CT","scale(pmi)",-0.240917763788915,0.293072908296841,-0.822040376195059,0.42851271734752,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"53","L6 CT","LOADAD",0.361307534016053,0.55059347499152,0.656214703637049,0.52517500914222,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"54","L6 CT","scale(age_death)",-0.309988798099901,0.279473244271966,-1.10918953586211,0.291009329272527,"Zhou","Glutamatergic","#3DCC3D","M1","Filtered"
"55","L6 CT","(Intercept)",-0.349665296808254,0.444037935453298,-0.787467170910289,0.440241576823289,"Mathys","Glutamatergic","#3DCC3D","M1","Filtered"
"56","L6 CT","(Intercept)",-0.245472795619349,0.675194153187785,-0.363558828909287,0.731053433782112,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"57","L6 CT","scale(age_death)",-0.831315504137199,0.482753975340129,-1.72202725736539,0.145680864809156,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"58","L6 CT","factor(msex)1",-1.06260194896771,0.621703386130651,-1.70917831987553,0.148113874167841,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"59","L6 CT","scale(pmi)",-0.205882683555607,0.378331400031419,-0.544186085369889,0.609692287685499,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"60","L6 CT","LOADAD",1.55354754020641,1.00417609727881,1.54708675541703,0.182514850467356,"Cain","Glutamatergic","#3DCC3D","M1","Filtered"
"61","LAMP5","(Intercept)",0.723373694379393,0.39132299828488,1.84853355808335,0.0793657387374744,"Mathys","GABAergic","#FF7373","M1","Filtered"
"62","LAMP5","scale(age_death)",0.256898820331475,0.184233462161826,1.3944199784175,0.178488725328503,"Mathys","GABAergic","#FF7373","M1","Filtered"
"63","LAMP5","factor(msex)1",-0.0189768734671966,0.376207166756767,-0.0504426155163224,0.960270061567536,"Mathys","GABAergic","#FF7373","M1","Filtered"
"64","LAMP5","scale(pmi)",-0.337886304477841,0.192343239543306,-1.75668406791997,0.0942726424580746,"Mathys","GABAergic","#FF7373","M1","Filtered"
"65","LAMP5","LOADAD",-1.1160387423674,0.404025435719846,-2.76229822109831,0.0120165494969958,"Mathys","GABAergic","#FF7373","M1","Filtered"
"66","LAMP5","LOADAD",-1.50391842750371,1.28346849923967,-1.17176107430345,0.29408419381329,"Cain","GABAergic","#FF7373","M1","Filtered"
"67","LAMP5","scale(pmi)",-0.419372470325301,0.29271806355454,-1.43268394588557,0.179749559819811,"Zhou","GABAergic","#FF7373","M1","Filtered"
