"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"61","Endo","factor(msex)1",0.162165418628661,0.581931165048973,0.278667698807665,0.791657521763613,"Cain","M1","Unfiltered","Non-Neuronal"
"62","Endo","(Intercept)",-0.600964828060544,0.631999968094514,-0.950893763289987,0.385325200743417,"Cain","M1","Unfiltered","Non-Neuronal"
"63","Endo","scale(age_death)",-0.797058496714392,0.451870762760599,-1.76390809585676,0.138026599872574,"Cain","M1","Unfiltered","Non-Neuronal"
"64","Endo","scale(pmi)",-0.231306135852443,0.224577902360136,-1.02995946360527,0.315324609830467,"Mathys","M1","Filtered","Non-Neuronal"
"65","Endo","(Intercept)",-0.336058919722623,0.456904533316392,-0.735512334017297,0.470565835462338,"Mathys","M1","Filtered","Non-Neuronal"
"66","Endo","factor(msex)1",-1.36703364720368,0.389321218703986,-3.51132581921532,0.00487222048801345,"Zhou","M1","Filtered","Non-Neuronal"
"67","Endo","LOADAD",0.649760239321451,0.322803265970427,2.01286761262502,0.0692589770694004,"Zhou","M1","Unfiltered","Non-Neuronal"
"68","Endo","scale(age_death)",-0.0219201032009766,0.21510901331956,-0.101902299967378,0.919848969184953,"Mathys","M1","Filtered","Non-Neuronal"
"69","Endo","scale(pmi)",-0.126204943656845,0.171823489130758,-0.734503438937866,0.478007835891772,"Zhou","M1","Unfiltered","Non-Neuronal"
"70","Endo","scale(pmi)",-0.710310360801295,0.357151452106998,-1.98882114747358,0.10340564607315,"Cain","M1","Filtered","Non-Neuronal"
"71","Endo","scale(pmi)",-0.128004615532015,0.197565196429943,-0.647910754753843,0.530333750060318,"Zhou","M1","Filtered","Non-Neuronal"
"72","Endo","(Intercept)",-0.341142588692841,0.457644079518965,-0.745432103156278,0.464681699154081,"Mathys","M1","Unfiltered","Non-Neuronal"
"73","Endo","LOADAD",0.543728912688581,0.371163983296496,1.46492908029343,0.170929164366285,"Zhou","M1","Filtered","Non-Neuronal"
"74","Endo","LOADAD",0.339086837227645,0.471735762949308,0.718806721601226,0.480574592228716,"Mathys","M1","Filtered","Non-Neuronal"
"75","Endo","scale(pmi)",-0.760041020883417,0.354128411243084,-2.14623000231886,0.0846476019781948,"Cain","M1","Unfiltered","Non-Neuronal"
"76","Endo","scale(age_death)",0.00131390214331353,0.163850245416968,0.00801892081375829,0.993745479164478,"Zhou","M1","Unfiltered","Non-Neuronal"
"77","Endo","factor(msex)1",-1.44058231546561,0.33859470898296,-4.25459192730063,0.00135525111733682,"Zhou","M1","Unfiltered","Non-Neuronal"
"78","Endo","scale(age_death)",0.00575642818009576,0.188397442542114,0.0305547044716861,0.976172001068993,"Zhou","M1","Filtered","Non-Neuronal"
"79","Endo","factor(msex)1",-0.0862366340581606,0.586898859354418,-0.146936107786987,0.888923360865949,"Cain","M1","Filtered","Non-Neuronal"
"80","Endo","scale(age_death)",0.0159900134079089,0.215457189015662,0.0742143415170358,0.941577105321993,"Mathys","M1","Unfiltered","Non-Neuronal"
"81","Endo","(Intercept)",0.24077316135709,0.284308245140344,0.846873650246185,0.415110512109878,"Zhou","M1","Filtered","Non-Neuronal"
"82","Endo","LOADAD",1.10661082913994,0.947959781515576,1.16736052596105,0.295701520784636,"Cain","M1","Filtered","Non-Neuronal"
"83","Endo","factor(msex)1",0.248006966451938,0.439255450639647,0.564607601546637,0.578618848742104,"Mathys","M1","Filtered","Non-Neuronal"
"84","Endo","LOADAD",0.258444461704349,0.472499314997205,0.546973198693162,0.590448656474624,"Mathys","M1","Unfiltered","Non-Neuronal"
"85","Endo","(Intercept)",0.215338248638877,0.247264374249132,0.870882630353827,0.402424649690884,"Zhou","M1","Unfiltered","Non-Neuronal"
"86","Endo","scale(pmi)",-0.236007240076043,0.224941404410918,-1.04919430326357,0.306602506741346,"Mathys","M1","Unfiltered","Non-Neuronal"
"87","Endo","scale(age_death)",-0.886866654900765,0.455728187744486,-1.94604301149352,0.109222186647483,"Cain","M1","Filtered","Non-Neuronal"
"88","Endo","factor(msex)1",0.36612111083762,0.439966430016722,0.832156923480967,0.415146623048717,"Mathys","M1","Unfiltered","Non-Neuronal"
"89","Endo","LOADAD",1.03976423749243,0.939935955376938,1.10620753631609,0.318999021898304,"Cain","M1","Unfiltered","Non-Neuronal"
"90","Endo","(Intercept)",-0.510187097540889,0.637395078085366,-0.800425223039705,0.45978917451904,"Cain","M1","Filtered","Non-Neuronal"
"91","Endothelial","scale(pmi)",-0.080839138682673,0.203823721465899,-0.396613005106954,0.695852971347284,"Mathys","CgG","Filtered","Non-Neuronal"
"92","Endothelial","LOADAD",1.06389231098334,0.483764659919205,2.19919394517372,0.0501566719556577,"Zhou","CgG","Filtered","Non-Neuronal"
"93","Endothelial","factor(msex)1",-0.096300497170959,0.501758004732053,-0.19192618007636,0.8512970950864,"Zhou","CgG","Unfiltered","Non-Neuronal"
"94","Endothelial","scale(pmi)",-0.0693607186772,0.257500900852371,-0.269361071932581,0.79263753310491,"Zhou","CgG","Filtered","Non-Neuronal"
"95","Endothelial","scale(pmi)",-0.322760123107335,0.356119733409671,-0.906324735271102,0.406319725345768,"Cain","CgG","Unfiltered","Non-Neuronal"
"96","Endothelial","scale(age_death)",-0.351667874120722,0.195229891965689,-1.80130138156572,0.0867529659713726,"Mathys","CgG","Filtered","Non-Neuronal"
"97","Endothelial","factor(msex)1",-0.789069249803023,0.398662021875959,-1.97929375386687,0.0617150831104148,"Mathys","CgG","Filtered","Non-Neuronal"
"98","Endothelial","factor(msex)1",0.675682943187126,0.585203459481161,1.15461201098535,0.300431371252805,"Cain","CgG","Unfiltered","Non-Neuronal"
"99","Endothelial","LOADAD",1.09560752064427,0.478356921585749,2.29035573899994,0.0427509335761552,"Zhou","CgG","Unfiltered","Non-Neuronal"
"100","Endothelial","scale(pmi)",-0.0654419308735206,0.202465532801983,-0.323225044617963,0.749879986573982,"Mathys","CgG","Unfiltered","Non-Neuronal"
"101","Endothelial","LOADAD",-0.100588298357926,0.425287757983063,-0.23651820789521,0.815436097461071,"Mathys","CgG","Unfiltered","Non-Neuronal"
"102","Endothelial","scale(pmi)",-0.348307406107293,0.345676177116814,-1.00761183201118,0.359885853592433,"Cain","CgG","Filtered","Non-Neuronal"
"103","Endothelial","LOADAD",0.518817018809876,0.917501836830342,0.565467008330156,0.596186878944488,"Cain","CgG","Filtered","Non-Neuronal"
"104","Endothelial","(Intercept)",-0.471854652672727,0.370559342264292,-1.27335786432876,0.229141795466567,"Zhou","CgG","Filtered","Non-Neuronal"
"105","Endothelial","LOADAD",0.505866220013086,0.945221369491395,0.535182800919199,0.615459909460405,"Cain","CgG","Unfiltered","Non-Neuronal"
"106","Endothelial","(Intercept)",-0.511691073883022,0.366417063743332,-1.39647173812149,0.190111783033754,"Zhou","CgG","Unfiltered","Non-Neuronal"
"107","Endothelial","scale(pmi)",-0.0490520240003904,0.25462244029539,-0.192646115336435,0.850746753116704,"Zhou","CgG","Unfiltered","Non-Neuronal"
"108","Endothelial","(Intercept)",0.350007005852278,0.41468007919072,0.844041041313929,0.408629206403843,"Mathys","CgG","Filtered","Non-Neuronal"
"109","Endothelial","factor(msex)1",-0.825297939452967,0.396005519311136,-2.08405665882789,0.0501905039557101,"Mathys","CgG","Unfiltered","Non-Neuronal"
