"","subclass","term","estimate","std.error","statistic","p.value","dataset","class"
"282","Mic0","scale(age_death)",-0.251551345687277,0.215074988398892,-1.16959832270563,0.255913046598537,"Mathys","Mic"
"283","Mic0","factor(msex)1",-0.40490175823948,0.439185971301565,-0.921936912145713,0.367549992617219,"Mathys","Mic"
"284","Mic0","scale(pmi)",0.12147532360682,0.224542379695634,0.540990630683968,0.594489060733773,"Mathys","Mic"
"285","Mic0","LOADAD",-0.128566657512073,0.471661146029901,-0.272582676343501,0.787968512336579,"Mathys","Mic"
"286","Mic1","(Intercept)",-0.245440694932233,0.470334914791277,-0.521842387655088,0.607511698400915,"Mathys","Mic"
"287","Mic1","scale(age_death)",-0.00523731864966915,0.221431988682921,-0.0236520417886356,0.981364555394641,"Mathys","Mic"
"288","Mic1","factor(msex)1",0.194392293945675,0.452167049971335,0.429912559878032,0.671855773209753,"Mathys","Mic"
"289","Mic1","scale(pmi)",-0.154615984467898,0.231179208934255,-0.668814402388015,0.511260596887094,"Mathys","Mic"
"290","Mic1","LOADAD",0.237706865372357,0.485602097795603,0.489509552062132,0.629806850174796,"Mathys","Mic"
"291","Mic2","(Intercept)",0.414901547001617,0.431423468990715,0.961703701405606,0.347682448682507,"Mathys","Mic"
"292","Mic2","scale(age_death)",0.121343098877947,0.203112619749892,0.597417821833847,0.55693262825104,"Mathys","Mic"
"293","Mic2","factor(msex)1",0.20099660864171,0.414758656283258,0.484611003524034,0.633217286791132,"Mathys","Mic"
"294","Mic2","scale(pmi)",-0.30927931878954,0.212053439241707,-1.45849706515258,0.160230080189228,"Mathys","Mic"
"295","Mic2","LOADAD",-0.799031123671308,0.445427577225727,-1.79385194030406,0.0879710744346561,"Mathys","Mic"
"296","Mic3","(Intercept)",0.0621407791919783,0.447734960310554,0.138789204999486,0.891004707199073,"Mathys","Mic"
"297","Mic3","scale(age_death)",0.0140054507128827,0.210792011280795,0.0664420374746842,0.947685606926358,"Mathys","Mic"
