"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"54","Endothelial","scale(pmi)",-0.0787586897352251,0.247772391741241,-0.317867092381609,0.756538508943948,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"55","Endothelial","scale(pmi)",-0.0526638083278468,0.457196315976944,-0.115188610422886,0.912778600948552,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"56","Endothelial","LOADAD",1.12776018615894,0.465487796086542,2.42274920124709,0.0338416780463195,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"57","Endothelial","scale(age_death)",-0.777200270130623,0.583386256151094,-1.33222245456762,0.240277833475057,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"58","Endothelial","factor(msex)1",0.120678829218852,0.751300309056346,0.160626619960303,0.878675531727474,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Non-neuronal"
"59","Endothelial","scale(pmi)",0.00290170230774373,0.463935117188045,0.00625454336229433,0.995251504147297,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"60","Endothelial","factor(msex)1",0.248050384188198,0.762374027841134,0.325365732737012,0.758078461057912,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Non-neuronal"
"61","IT","scale(age_death)",0.26553824233144,0.215743765567069,1.23080378074188,0.232675402620695,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"62","IT","factor(msex)1",0.145765118470167,0.440551623125503,0.330869552666798,0.744184381986375,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"63","IT","LOADAD",0.10852697613647,0.473127779634903,0.229381957280582,0.820901557718767,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"64","IT","LOADAD",-1.16568082610219,1.076060648902,-1.08328543311349,0.328133418814409,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"65","IT","scale(age_death)",-0.141917412118213,0.289260623059308,-0.490621262642841,0.633334605238774,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"66","IT","scale(pmi)",-0.351430515254324,0.303336558304846,-1.15854982076095,0.271173702066843,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"67","IT","LOADAD",-0.192207282908627,0.569875703283603,-0.337279308103742,0.742254304819495,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"68","IT","scale(pmi)",0.627647556988977,0.405414481504808,1.54816264742022,0.182262384419499,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"69","IT","scale(pmi)",-0.140763854560975,0.225240595782714,-0.624948864443457,0.539070067242493,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
