"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"750","LPAR6",10161,"ENSG00000139679","Microglia",0.971,0.082,5.64341837491349,0.982,0.964,0,0
"751","LPCAT2",54947,"ENSG00000087253","Microglia",0.773,0.203,3.6136064371089,0.847,0.694,0,0
"752","LPL",4023,"ENSG00000175445","Pericyte",0.469,0.069,3.93860976221727,0.714,0.428,8.47684065505188e-22,4.26224024976664e-17
"753","LRAT",9227,"ENSG00000121207","L6b",0.585,0.108,2.77492889663496,0.763,0.526,1.96365104441435e-198,9.87343381641977e-194
"754","LRIG1",26018,"ENSG00000144749","Astrocyte",0.877,0.248,2.59337848727937,0.883,0.766,0,0
"755","LRMP",4033,"ENSG00000118308","Microglia",0.537,0.256,2.6864684743741,0.678,0.356,1.52193814560542e-122,7.65245718991862e-118
"756","LRP2",4036,"ENSG00000081479","Oligodendrocyte",0.65,0.355,3.80229712448518,0.736,0.472,0,0
"757","LRP5",4041,"ENSG00000162337","Pericyte",0.469,0.402,2.72314695458384,0.568,0.136,4.77839538872147e-10,2.40262498540304e-05
"758","LRRC63",220416,"ENSG00000173988","Oligodendrocyte",0.537,0.171,3.28452886998895,0.713,0.426,0,0
"759","LRRK1",79705,"ENSG00000154237","Microglia",0.74,0.371,3.15487270237709,0.784,0.568,6.78033815236183e-285,3.40922182638905e-280
"760","LSP1",4046,"ENSG00000130592, ENSG00000288199","VLMC",0.364,0.162,2.56515942783749,0.618,0.236,3.03787041737579e-10,1.52747162456072e-05
"761","LSR",51599,"ENSG00000105699","Endothelial",0.614,0.334,3.21315610644475,0.72,0.44,3.55915317723572e-55,1.78957780904589e-50
"762","LST1",7940,"ENSG00000226182, ENSG00000235915, ENSG00000230791, ENSG00000234514, ENSG00000206433, ENSG00000204482, ENSG00000223465, ENSG00000231048","Microglia",0.432,0.008,4.88694691667883,0.713,0.426,0,0
"763","LTBP2",4053,"ENSG00000119681","VLMC",0.455,0.157,4.44479206741739,0.672,0.344,2.2254204333619e-09,0.00011189636480987
"764","LTC4S",4056,"ENSG00000213316, ENSG00000283887","Microglia",0.477,0.034,4.23432199728993,0.729,0.458,0,0
"765","LURAP1L.AS1",NA,NA,"Oligodendrocyte",0.495,0.152,3.57697985067814,0.699,0.398,0,0
"766","LUZP2",338645,"ENSG00000187398","OPC",1,0.697,2.76053817367191,0.98,0.96,0,0
"767","LY86",9450,"ENSG00000112799","Microglia",0.605,0.041,5.4764918076257,0.793,0.586,0,0
"768","LY86.AS1",NA,NA,"IT",0.952,0.254,2.87559878601597,0.943,0.886,0,0
"769","LYN",4067,"ENSG00000254087","Microglia",0.819,0.395,3.49199008230019,0.84,0.68,0,0
"770","LYPD8",646627,"ENSG00000259823","IT",0.658,0.072,2.77606937061475,0.807,0.614,0,0
"771","MAG",4099,"ENSG00000105695","Oligodendrocyte",0.848,0.107,5.25079992789127,0.913,0.826,0,0
"772","MAL",4118,"ENSG00000172005","Oligodendrocyte",0.783,0.099,3.87875991909508,0.871,0.742,0,0
"773","MAML3",55534,"ENSG00000196782","Microglia",0.932,0.618,2.98230000804007,0.881,0.762,0,0
"774","MAP6D1",79929,"ENSG00000180834","Oligodendrocyte",0.423,0.126,2.88683758262851,0.665,0.33,8.30442577879428e-289,4.17554832583555e-284
"775","MB21D1",115004,"ENSG00000164430","Microglia",0.352,0.274,2.56685946907055,0.561,0.122,6.30879305068659e-84,3.17212423381573e-79
"776","MBP",4155,"ENSG00000197971","Oligodendrocyte",1,0.542,4.05821076039986,0.997,0.994,0,0
"777","MCHR2",84539,"ENSG00000152034","IT",0.816,0.242,2.59352453427101,0.854,0.708,0,0
"778","MCL1",4170,"ENSG00000143384","Endothelial",0.357,0.129,2.65004846229178,0.628,0.256,2.54330804757408e-13,1.27880071940073e-08
"779","MCOLN3",55283,"ENSG00000055732","VLMC",0.364,0.082,3.84393697286409,0.646,0.292,0.00110378120931184,1
"780","MDFIC",29969,"ENSG00000135272","L6b",0.752,0.242,2.65199991454877,0.821,0.642,4.65454210282262e-168,2.34035031472024e-163
"781","MECOM",2122,"ENSG00000085276","Endothelial",0.971,0.376,6.71073863739859,0.978,0.956,0,0
"782","MEGF11",84465,"ENSG00000157890, ENSG00000277848","OPC",0.964,0.437,3.49430435247746,0.948,0.896,0,0
"783","MEI1",150365,"ENSG00000167077","Pericyte",0.438,0.471,2.62050673468283,0.502,0.004,2.93713324653249e-05,1
"784","MEIKIN",728637,"ENSG00000239642","Astrocyte",0.826,0.459,2.88689052104928,0.823,0.646,0,0
"785","MFGE8",4240,"ENSG00000140545","Astrocyte",0.67,0.074,2.70249417685075,0.808,0.616,0,0
"786","MFSD2A",84879,"ENSG00000168389","Endothelial",0.671,0.086,5.11677014962749,0.818,0.636,9.10236125213841e-86,4.57675826118771e-81
"787","MGC27382",149047,NA,"VLMC",0.364,0.215,3.64736525080038,0.574,0.148,0.000496485207187342,1
"788","MGLL",11343,"ENSG00000074416","Pericyte",0.844,0.563,2.63378446623697,0.821,0.642,1.34146179288702e-16,6.74500404081525e-12
"789","MGST1",4257,"ENSG00000008394","Astrocyte",0.702,0.152,3.29813182664539,0.811,0.622,0,0
"790","MICALL2",79778,"ENSG00000164877","Astrocyte",0.801,0.337,2.68756331543137,0.83,0.66,0,0
"791","MILR1",284021,"ENSG00000271605","Microglia",0.624,0.2,5.40705226938643,0.767,0.534,0,0
"792","MINOS1.NBL1",NA,NA,"VLMC",0.455,0.085,2.91121021434274,0.69,0.38,1.77980170081178e-06,0.0894902093185173
"793","MIR143HG",728264,NA,"Pericyte",0.906,0.063,6.47292515239601,0.95,0.9,6.67562518932153e-171,3.35657110144276e-166
"794","MIR31HG",554202,NA,"Microglia",0.507,0.256,3.03864679020464,0.665,0.33,6.88871858750667e-157,3.46371659298423e-152
"795","MIR4435.1HG",NA,NA,"VLMC",0.455,0.291,2.73294601748894,0.624,0.248,0.000529462487871745,1
"796","MIR646HG",284757,NA,"Microglia",0.4,0.227,2.8425335718208,0.611,0.222,8.30177671695009e-90,4.17421635104967e-85
"797","MIS18BP1",55320,"ENSG00000129534","Microglia",0.613,0.304,2.88719487427022,0.715,0.43,1.62203103835001e-177,8.15573426392768e-173
"798","MKNK1",8569,"ENSG00000079277","Microglia",0.813,0.51,2.88327214967902,0.807,0.614,2.62171680072315e-315,1.31822542457161e-310
"799","MLC1",23209,"ENSG00000100427","Astrocyte",0.635,0.068,3.86424569447571,0.802,0.604,0,0
"800","MMD2",221938,"ENSG00000136297","Astrocyte",0.988,0.554,2.86360279488721,0.95,0.9,0,0
"801","MMP2",4313,"ENSG00000087245","VLMC",0.364,0.051,2.83839332495912,0.66,0.32,0.00155781444150344,1
"802","MMP28",79148,"ENSG00000278843, ENSG00000271447","Astrocyte",0.562,0.239,2.5351950249987,0.7,0.4,9.98260383826546e-259,5.01935303591825e-254
"803","MMRN2",79812,"ENSG00000173269","Endothelial",0.4,0.103,3.71324533148096,0.663,0.326,1.86588760821357e-28,9.38186948285864e-24
"804","MOBP",4336,"ENSG00000168314","Oligodendrocyte",0.989,0.236,5.10929043247296,0.988,0.976,0,0
"805","MOG",4340,"ENSG00000204655, ENSG00000236561, ENSG00000137345, ENSG00000237834, ENSG00000234096, ENSG00000230885, ENSG00000234623, ENSG00000232641","Oligodendrocyte",0.959,0.094,5.53482384082084,0.975,0.95,0,0
"806","MRC1",4360,"ENSG00000260314","Microglia",0.599,0.219,4.33009190942724,0.74,0.48,0,0
"807","MROH7.TTC4",NA,NA,"Astrocyte",0.63,0.125,3.28259288769945,0.777,0.554,0,0
"808","MROH9",80133,"ENSG00000117501","OPC",0.634,0.166,4.49281289209466,0.776,0.552,0,0
"809","MRVI1",10335,"ENSG00000072952","Astrocyte",0.872,0.177,3.7172392512594,0.91,0.82,0,0
"810","MS4A7",58475,"ENSG00000166927","Microglia",0.609,0.025,6.04024470391737,0.799,0.598,0,0
"811","MSI2",124540,"ENSG00000153944","Astrocyte",0.998,0.806,2.83048918508402,0.983,0.966,0,0
"812","MSR1",4481,"ENSG00000038945","Microglia",0.395,0.125,4.5862865160466,0.655,0.31,1.25991988529867e-282,6.33500317527026e-278
"813","MT1E",4493,"ENSG00000169715","Astrocyte",0.497,0.05,2.90866615959839,0.729,0.458,0,0
"814","MT1F",4494,"ENSG00000198417","Astrocyte",0.479,0.036,3.57445897983489,0.727,0.454,0,0
"815","MT1G",4495,"ENSG00000125144","Astrocyte",0.426,0.058,3.51196856808608,0.693,0.386,2.01237878207598e-319,1.01184417541562e-314
"816","MT1X",4501,"ENSG00000187193","Astrocyte",0.402,0.046,2.89902575437277,0.683,0.366,4.43258543743577e-267,2.22874828379708e-262
"817","MT2A",4502,"ENSG00000125148","Astrocyte",0.786,0.144,3.22919569768632,0.863,0.726,0,0
"818","MT3",4504,"ENSG00000087250","Astrocyte",0.902,0.524,2.55618272856293,0.89,0.78,0,0
"819","MUSK",4593,"ENSG00000030304","Oligodendrocyte",0.442,0.156,2.67128859272355,0.666,0.332,0,0
"820","MUSTN1",389125,"ENSG00000272573","Pericyte",0.625,0.009,5.02148428290691,0.811,0.622,2.25149416671728e-44,1.13207378196711e-39
"821","MX1",4599,"ENSG00000157601","Endothelial",0.371,0.184,2.53637811552351,0.616,0.232,3.54527887122902e-14,1.78260166924267e-09
"822","MXRA5",25878,"ENSG00000101825","VLMC",0.364,0.281,3.27445131430233,0.572,0.144,2.86872543630484e-08,0.00144242383662844
"823","MYBPC1",4604,"ENSG00000196091","Astrocyte",0.568,0.265,2.58105767137998,0.692,0.384,1.90873251133613e-232,9.59729794024921e-228
"824","MYCT1",80177,"ENSG00000120279","Endothelial",0.486,0.061,5.42519397606482,0.726,0.452,8.08218166696808e-110,4.06380176396822e-105
"825","MYH11",4629,"ENSG00000276480, ENSG00000133392","Pericyte",0.281,0.537,2.85363473626825,0.383,0.234,1.56382619956217e-06,0.0786307451401852
"826","MYHAS",100128560,NA,"L5/6 NP",0.743,0.233,3.24483036495708,0.818,0.636,1.35882531613333e-175,6.83230957204999e-171
"827","MYL12A",10627,"ENSG00000101608","Pericyte",0.5,0.083,3.69698832910018,0.725,0.45,1.31983807214358e-15,6.63627781054512e-11
"828","MYL9",10398,"ENSG00000101335","Pericyte",0.375,0.01,4.19990925123594,0.684,0.368,3.03716188378854e-33,1.52711536678771e-28
"829","MYO1E",4643,"ENSG00000157483","Oligodendrocyte",0.862,0.525,2.58622399338297,0.833,0.666,0,0
"830","MYO1F",4542,"ENSG00000142347","Microglia",0.783,0.481,3.60729716532241,0.784,0.568,0,0
"831","MYO3B",140469,"ENSG00000071909","VLMC",0.818,0.633,2.97316481903877,0.705,0.41,0.000687626870162494,1
"832","MYO5B",4645,"ENSG00000167306","PVALB",0.889,0.328,3.05652757087417,0.906,0.812,0,0
"833","MYO5C",55930,"ENSG00000128833","Endothelial",0.471,0.296,2.53125028773965,0.622,0.244,9.22680199650108e-11,4.63932831186071e-06
"834","MYOF",26509,"ENSG00000138119","Microglia",0.68,0.439,3.54702145279078,0.72,0.44,0,0
"835","MYRF",745,"ENSG00000124920","Oligodendrocyte",0.892,0.073,5.12736127820621,0.939,0.878,0,0
"836","MYT1",4661,"ENSG00000276876, ENSG00000196132","OPC",0.752,0.128,3.75553598280112,0.846,0.692,0,0
"837","NAIP",4671,"ENSG00000249437, ENSG00000276068, ENSG00000278613","Microglia",0.456,0.359,2.66439100897905,0.593,0.186,2.12071469982373e-142,1.06631655821837e-137
"838","NCAN",1463,"ENSG00000130287","Astrocyte",0.952,0.46,3.12562098233808,0.925,0.85,0,0
"839","NCKAP1L",3071,"ENSG00000123338","Microglia",0.457,0.077,4.8599204331825,0.706,0.412,0,0
"840","NCMAP",400746,"ENSG00000184454","Microglia",0.356,0.275,3.1566406446622,0.561,0.122,3.36740389172933e-92,1.69316435080042e-87
"841","NDE1",54820,"ENSG00000275911, ENSG00000072864","Oligodendrocyte",0.587,0.354,2.50838433993426,0.677,0.354,0,0
"842","NDRG1",10397,"ENSG00000104419","Oligodendrocyte",0.858,0.325,2.61720308132107,0.861,0.722,0,0
"843","NDRG2",57447,"ENSG00000165795","Astrocyte",0.957,0.269,2.64498574096876,0.934,0.868,0,0
"844","NDUFA4L2",56901,"ENSG00000185633","Pericyte",0.719,0.041,5.74719917893672,0.852,0.704,4.09459504333037e-61,2.05880333373694e-56
"845","NEDD9",4739,"ENSG00000111859","Endothelial",0.657,0.375,2.63592419284341,0.712,0.424,2.38928576413503e-20,1.20135677506474e-15
"846","NET1",10276,"ENSG00000173848","Endothelial",0.457,0.084,3.81395019396656,0.701,0.402,6.13336932138871e-32,3.08391942848746e-27
"847","NEURL1B",54492,"ENSG00000214357","Pericyte",0.375,0.158,2.9354691612816,0.618,0.236,0.000105055377365795,1
