"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","group_2"
"LRFN53",1.06224788960815e-94,5.41889697505258,0.975,0.257,5.34108861373876e-90,"Endo_CLDN5"
"CACNA1B4",4.77353222077558e-94,4.17449118212695,0.984,0.4,2.40017973592817e-89,"Endo_CLDN5"
"TSPAN7",1.74564902054424e-93,3.81629366673098,0.998,0.229,8.77729784019847e-89,"Endo_CLDN5"
"ENOX11",1.77174499190691e-93,5.22662431234845,0.979,0.343,8.90851099380715e-89,"Endo_CLDN5"
"AGBL43",1.09549885539383e-92,4.5683562477504,0.993,0.6,5.5082777948057e-88,"Endo_CLDN5"
"GAD14",1.60864319450623e-90,4.06379578317876,0.989,0.129,8.08841884629677e-86,"Endo_CLDN5"
"GRID21",3.34722794646125e-90,5.52683991850812,0.993,0.643,1.68301968376018e-85,"Endo_CLDN5"
"UNC792",5.27900532664932e-90,3.79530699875567,0.975,0.371,2.65433666829255e-85,"Endo_CLDN5"
"NAV3",5.66796183072069e-90,4.21435636334758,0.982,0.4,2.84990788810467e-85,"Endo_CLDN5"
"FRMD51",1.1482429216843e-89,4.47314535307846,0.979,0.571,5.77348023452085e-85,"Endo_CLDN5"
"KCNQ3",1.15608172408008e-88,3.87629882515805,0.979,0.243,5.81289451684703e-84,"Endo_CLDN5"
"GABBR24",3.91651991470383e-87,3.83574956716149,0.989,0.4,1.96926537831223e-82,"Endo_CLDN5"
"LOC6427761",1.20493616829576e-84,3.25981860428871,0.982,0.329,6.05853954780792e-80,"Endo_CLDN5"
"NCAM12",4.55432087925617e-84,3.59196745380757,0.979,0.3,2.2899580812988e-79,"Endo_CLDN5"
"SLC35F12",4.53716979011044e-83,4.47958210420001,0.972,0.4,2.28133434216543e-78,"Endo_CLDN5"
"NTM1",5.61652105976551e-83,5.08376789701046,0.986,0.643,2.8240429540607e-78,"Endo_CLDN5"
"MGAT4C4",6.11477356713884e-83,3.91406336451804,0.982,0.614,3.07456929729308e-78,"Endo_CLDN5"
"B3GALT12",1.24264843232139e-82,4.04153957091244,0.977,0.514,6.24816058255516e-78,"Endo_CLDN5"
"KCNMA11",1.89228834326372e-82,4.08470623062389,0.982,0.414,9.5146150187643e-78,"Endo_CLDN5"
"SNRPN5",5.59618764913252e-82,4.91051317473653,0.986,0.5,2.81381911186032e-77,"Endo_CLDN5"
"ATRNL13",6.40952252767675e-82,4.97417360193637,0.989,0.6,3.22277202214115e-77,"Endo_CLDN5"
"MIAT2",8.74318027558428e-82,4.50872371121985,0.972,0.157,4.39615847436653e-77,"Endo_CLDN5"
"TENM13",1.38135835953608e-81,5.61179071173858,0.949,0.486,6.94560796758337e-77,"Endo_CLDN5"
"CELF45",1.24655710682419e-79,4.0670758863076,0.982,0.171,6.26781378882269e-75,"Endo_CLDN5"
"TENM35",1.77744477395553e-79,5.9720736697687,0.956,0.5,8.9371700679258e-75,"Endo_CLDN5"
"ELAVL25",5.75439748984678e-79,6.29890928968769,0.961,0.071,2.89336860186986e-74,"Endo_CLDN5"
"SLC8A12",1.27231071894466e-78,6.24553158847415,0.956,0.386,6.39730552592565e-74,"Endo_CLDN5"
"SYT164",1.69607286761757e-78,4.94818721483888,0.954,0.257,8.52802398566793e-74,"Endo_CLDN5"
"DSCAML11",3.7455465457815e-78,5.21132436646143,0.97,0.271,1.8832982586844e-73,"Endo_CLDN5"
"DTNA",1.73366813908722e-77,5.27479497889202,0.968,0.343,8.71705677014443e-73,"Endo_CLDN5"
"LRP1B2",9.44559685361945e-77,5.03565811223955,0.995,0.814,4.7493405539684e-72,"Endo_CLDN5"
"CACNA1D",1.6372392186837e-76,4.90288564066601,0.966,0.271,8.23220251546351e-72,"Endo_CLDN5"
"SRGAP3",2.95064269735164e-76,3.72315397527438,0.956,0.371,1.48361265465538e-71,"Endo_CLDN5"
"FMN23",1.95454442125885e-75,3.43018423758329,0.982,0.571,9.82764480453162e-71,"Endo_CLDN5"
"CSRNP31",6.72883607600097e-75,3.12137545025042,0.977,0.186,3.38332606737405e-70,"Endo_CLDN5"
"CACNA1A1",1.43357847260746e-74,4.3153444851375,0.986,0.814,7.20817591811755e-70,"Endo_CLDN5"
"CACNB21",1.98809757888113e-74,3.22357955235295,0.979,0.743,9.9963534363722e-70,"Endo_CLDN5"
"HCN15",3.42343701360235e-74,5.72091825155722,0.975,0.371,1.7213383648094e-69,"Endo_CLDN5"
"ERC21",3.97433204881237e-74,4.72930683950086,0.979,0.571,1.99833389746335e-69,"Endo_CLDN5"
"SGIP11",7.39676077815494e-74,3.37307363132208,0.97,0.257,3.71916528686409e-69,"Endo_CLDN5"
"DNM11",1.0424518562258e-73,3.89837761675464,0.968,0.257,5.24155217828896e-69,"Endo_CLDN5"
"ST6GALNAC54",1.09777184845849e-73,6.6468383710855,0.945,0.2,5.51970663123412e-69,"Endo_CLDN5"
"PDE8B1",4.02927833046307e-72,3.22309760021228,0.938,0.271,2.02596143734014e-67,"Endo_CLDN5"
"SLC44A54",4.89018445872524e-72,4.87782329759662,0.963,0.457,2.45883364769164e-67,"Endo_CLDN5"
"SNAP912",1.06973168715893e-71,5.79643772796353,0.947,0.129,5.37871789620381e-67,"Endo_CLDN5"
"TTLL71",1.70168490592805e-71,3.11442784111382,0.963,0.286,8.55624187549681e-67,"Endo_CLDN5"
"GRIN3A4",1.84597398887463e-71,5.44579509720955,0.949,0.186,9.2817418134605e-67,"Endo_CLDN5"
"KCNB25",1.40617576385922e-70,5.92640179949967,0.929,0.243,7.07039235826052e-66,"Endo_CLDN5"
"FXYD63",1.0028001348829e-69,4.36338073764888,0.972,0.086,5.0421793582047e-65,"Endo_CLDN5"
"CHD55",1.29175182117107e-69,4.52323828695062,0.954,0.114,6.49505733203027e-65,"Endo_CLDN5"
"TNIK",2.61512997994682e-69,3.10093786797747,0.945,0.314,1.31491350521706e-64,"Endo_CLDN5"
"DAB13",4.96641219924244e-68,3.27187324759139,0.982,0.529,2.49716171790109e-63,"Endo_CLDN5"
"UCHL11",1.9487552860474e-67,3.27383033041891,0.975,0.1,9.79853645377495e-63,"Endo_CLDN5"
"ATP1B12",4.42899882700806e-67,6.04754871429285,0.952,0.071,2.22694490020792e-62,"Endo_CLDN5"
"SPTBN42",4.51658460896199e-67,3.22043948980096,0.97,0.386,2.27098390723218e-62,"Endo_CLDN5"
"MAPT1",6.93240268330097e-67,2.90379137828494,0.97,0.271,3.48568139319056e-62,"Endo_CLDN5"
"NETO13",1.21833858551305e-66,6.31794990040973,0.938,0.086,6.12592824181818e-62,"Endo_CLDN5"
"NEGR12",3.04576079698764e-66,6.01864821449308,0.972,0.5,1.53143898633335e-61,"Endo_CLDN5"
"PCNXL21",3.11099668212784e-66,4.59052186541616,0.947,0.3,1.5642402417407e-61,"Endo_CLDN5"
"KIF21A2",3.61738631428886e-66,3.73718316214942,0.968,0.186,1.81885801268758e-61,"Endo_CLDN5"
"ASTN11",5.08594056499732e-66,3.85292976813764,0.947,0.129,2.5572617754863e-61,"Endo_CLDN5"
"MTUS25",5.66718188564072e-66,3.18627138404811,0.975,0.629,2.84951572391901e-61,"Endo_CLDN5"
"TMEFF23",7.99808478378534e-66,5.85679356814548,0.906,0.143,4.02151701013511e-61,"Endo_CLDN5"
"LINC013224",8.39510668502823e-66,4.93656662055479,0.938,0.257,4.22114359229905e-61,"Endo_CLDN5"
"SYT19",1.32315247365937e-65,3.33111340131234,0.975,0.414,6.65294295280667e-61,"Endo_CLDN5"
"CDK14",3.58111916227428e-64,2.94306344142202,0.968,0.5,1.80062252598313e-59,"Endo_CLDN5"
"SST5",3.13049678078904e-63,7.57645213406245,0.926,0.029,1.57404508634854e-58,"Endo_CLDN5"
"SLC22A17",1.88493684986479e-62,3.13051957645381,0.954,0.043,9.47765097480514e-58,"Endo_CLDN5"
"SH3GL33",1.88597563655398e-62,5.25181657910866,0.929,0.243,9.48287409815705e-58,"Endo_CLDN5"
"PEG33",3.71185824145569e-62,5.20077463623384,0.947,0.043,1.86635944238633e-57,"Endo_CLDN5"
"ATP1A32",9.11939008811643e-62,2.96986336635462,0.961,0.186,4.58532053020582e-57,"Endo_CLDN5"
"KSR24",6.91694774767044e-61,3.16483393848057,0.989,0.843,3.47791049700617e-56,"Endo_CLDN5"
"TRIM2",2.30305697109086e-60,5.33611536195796,0.92,0.271,1.1580000756342e-55,"Endo_CLDN5"
"GAD25",4.36220475136286e-60,4.70828357936594,0.931,0.2,2.19336017103276e-55,"Endo_CLDN5"
"NETO24",9.04950301576987e-60,5.93363763509603,0.929,0.114,4.55018061135925e-55,"Endo_CLDN5"
"SLC6A11",1.03943621070976e-59,5.26456770065666,0.94,0.071,5.22638921106973e-55,"Endo_CLDN5"
"KCND24",2.47347671758629e-59,4.36908475290371,0.954,0.343,1.24368882836956e-54,"Endo_CLDN5"
"TMEM59L",3.85403932740392e-59,5.03127775395275,0.915,0.029,1.93784951421196e-54,"Endo_CLDN5"
"CSMD33",1.27924244644277e-58,4.99481106831263,0.972,0.5,6.43215894495887e-54,"Endo_CLDN5"
"NLGN12",2.10452537578055e-58,4.17979530736694,0.966,0.586,1.05817640419622e-53,"Endo_CLDN5"
"KIF1A2",2.85750402229013e-58,2.81588887813767,0.92,0.171,1.4367815974477e-53,"Endo_CLDN5"
"DAPK14",3.26598076508544e-58,5.03252911151134,0.94,0.386,1.64216778849261e-53,"Endo_CLDN5"
"ANO42",4.26479982820532e-58,5.60227985315894,0.924,0.386,2.14438400161992e-53,"Endo_CLDN5"
"LOC1053775744",4.32059354789153e-58,5.25822472454099,0.908,0.357,2.17243764181534e-53,"Endo_CLDN5"
"RBFOX35",9.23926271138684e-58,4.54374845933059,0.936,0.429,4.64559368391242e-53,"Endo_CLDN5"
"OSBPL62",1.11858397420544e-57,4.49764571702788,0.943,0.214,5.62435208070239e-53,"Endo_CLDN5"
"CDH103",1.13208662932502e-57,5.91215635329245,0.903,0.157,5.69224478090912e-53,"Endo_CLDN5"
"GRID11",1.86670897189665e-57,3.99926056430225,0.961,0.529,9.38599938159353e-53,"Endo_CLDN5"
"SCN1A3",2.81193292402299e-57,3.79653269491955,0.933,0.043,1.413867993528e-52,"Endo_CLDN5"
"DLGAP24",3.37242754300628e-57,5.08085164112989,0.933,0.514,1.69569029289899e-52,"Endo_CLDN5"
