"","gene","entrez_id","cluster","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"973","PRR16",51334,"Neuron",0.835,0.26,4.24284354679189,0,0,0.878,0.756
"974","PRR5L",79899,"Oligo",0.732,0.203,3.44284734128492,0,0,0.821,0.642
"975","PRTG",283659,"Endo_CLDN5",0.743,0.46,2.53118897380369,1.55628282394072e-22,7.82514566705633e-18,0.721,0.442
"976","PSD2",84249,"Astro_FGFR3",0.934,0.464,2.73877973766235,0,0,0.906,0.812
"977","PTAFR",5724,"Micro_C1QC",0.573,0.344,2.86368088697722,1.09002743328913e-203,5.48076693732106e-199,0.677,0.354
"978","PTGFR",5737,"VLMC_CYP1B1",0.545,0.097,4.10905728539733,1.43731691840021e-05,0.722697319740809,0.739,0.478
"979","PTGIS",5740,"VLMC_CYP1B1",0.455,0.24,2.50641759850675,1.70674488520649e-05,0.858168395730673,0.643,0.286
"980","PTH1R",5745,"Peri_MUSTN1",0.656,0.056,3.67852805765376,4.22242186853966e-22,2.12307593972043e-17,0.809,0.618
"981","PTPRB",5787,"Endo_CLDN5",0.971,0.436,3.49850239003199,2.72419345890147e-70,1.36975171307025e-65,0.957,0.914
"982","PTPRC",5788,"Micro_C1QC",0.789,0.121,5.10775803215456,0,0,0.876,0.752
"983","PTPRR",5801,"Neuron",0.925,0.277,4.03612469950552,0,0,0.94,0.88
"984","PTPRU",10076,"VLMC_CYP1B1",0.545,0.258,2.85806380280278,0.000856533145081626,1,0.677,0.354
"985","PTPRZ1",5803,"OPC_MYT1",1,0.537,3.13559953455578,0,0,0.995,0.99
"986","PWAR1",145624,"Neuron",0.508,0.015,2.77364592664624,0,0,0.747,0.494
"987","PXK",54899,"Oligo",0.989,0.746,2.81765188906868,0,0,0.956,0.912
"988","PXN",5829,"Endo_CLDN5",0.614,0.402,2.52970425999526,5.81062217271143e-24,2.92163893466103e-19,0.682,0.364
"989","PYGM",5837,"Astro_FGFR3",0.507,0.035,4.09026948388385,0,0,0.743,0.486
"990","QDPR",5860,"Oligo",0.907,0.449,3.23257859812175,0,0,0.893,0.786
"991","R3HDML",140902,"VLMC_CYP1B1",0.364,0.058,3.13224378009134,3.39494756760075e-11,1.70701358646533e-06,0.663,0.326
"992","RAB34",83871,"Astro_FGFR3",0.412,0.019,3.27575765469828,0,0,0.698,0.396
"993","RAB39A",54734,"Micro_C1QC",0.511,0.392,2.59886879609343,4.57427376866495e-69,2.29999059362242e-64,0.594,0.188
"994","RADIL",55698,"VLMC_CYP1B1",0.727,0.361,2.90918654250215,0.000427323109601945,1,0.736,0.472
"995","RALYL",138046,"Neuron",0.962,0.613,3.43243462573328,0,0,0.913,0.826
"996","RAMP2",10266,"Endo_CLDN5",0.486,0.027,4.80907295030778,4.80444785602529e-46,2.41572442648808e-41,0.734,0.468
"997","RANBP3L",202151,"Astro_FGFR3",0.957,0.169,4.3781331753826,0,0,0.967,0.934
"998","RASGEF1C",255426,"Micro_C1QC",0.949,0.521,3.82809783644674,0,0,0.926,0.852
"999","RASGRP3",25780,"Oligo",0.686,0.413,2.681752779655,0,0,0.724,0.448
"1000","RASIP1",54922,"Endo_CLDN5",0.486,0.199,3.36168213316904,7.77488217281538e-40,3.9092885053133e-35,0.679,0.358
"1001","RBFOX1",54715,"Neuron",1,0.988,2.61379422231047,0,0,0.973,0.946
"1002","RBFOX3",146713,"Neuron",0.965,0.442,3.25798316305691,0,0,0.954,0.908
"1003","RBM47",54502,"Micro_C1QC",0.919,0.769,3.93178225020062,0,0,0.81,0.62
"1004","RBP4",5950,"Neuron",0.376,0.023,2.68654917748548,0,0,0.679,0.358
"1005","RCSD1",92241,"Micro_C1QC",0.824,0.232,4.21700254298048,0,0,0.88,0.76
"1006","RELN",5649,"Neuron",0.669,0.636,3.0628733618559,2.50860381113268e-64,1.26135108227562e-59,0.514,0.028
"1007","RERGL",79785,"Peri_MUSTN1",0.656,0.021,6.62675833922434,1.49777542273082e-71,7.53096460303285e-67,0.824,0.648
"1008","RFTN1",23180,"Peri_MUSTN1",0.625,0.322,2.78523861572764,1.97457700143092e-07,0.00992837062089479,0.698,0.396
"1009","RFX2",5990,"Astro_FGFR3",0.791,0.29,3.30945077606275,0,0,0.835,0.67
"1010","RFX4",5992,"Astro_FGFR3",0.458,0.05,3.46678179220932,0,0,0.712,0.424
"1011","RGMA",56963,"Astro_FGFR3",0.73,0.172,3.47817557043191,0,0,0.821,0.642
"1012","RGPD3",653489,"Endo_CLDN5",0.471,0.469,2.81252769141986,8.32133379719298e-28,4.1840498465666e-23,0.54,0.0800000000000001
"1013","RGS10",6001,"Micro_C1QC",0.617,0.141,5.04489664592476,0,0,0.778,0.556
"1014","RGS20",8601,"Astro_FGFR3",0.92,0.329,3.98187171519146,0,0,0.925,0.85
"1015","RGS5",8490,"Peri_MUSTN1",0.938,0.372,3.84064507395924,7.85279885496235e-34,3.94846579226362e-29,0.941,0.882
"1016","RGS9",8787,"Astro_FGFR3",0.555,0.328,2.51516831031715,7.09417244716359e-174,3.56702084815833e-169,0.656,0.312
"1017","RHBDF2",79651,"Micro_C1QC",0.673,0.127,5.17711436685823,0,0,0.812,0.624
"1018","RHOC",389,"Endo_CLDN5",0.386,0.065,3.05108291360918,3.56238256704006e-19,1.79120157853341e-14,0.668,0.336
"1019","RHOU",58480,"Oligo",0.819,0.487,2.64537097151845,0,0,0.78,0.56
"1020","RIMBP2",23504,"Neuron",0.909,0.284,2.84357020598084,0,0,0.919,0.838
"1021","RIN3",79890,"Micro_C1QC",0.755,0.367,3.53465186694579,0,0,0.788,0.576
"1022","RLBP1",6017,"Astro_FGFR3",0.406,0.035,3.54287155210045,0,0,0.691,0.382
