"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"607","LOC101927199",101927199,"Oligo","Oligo",0.53,0.088,3.35684039880698,0,0,0.737,0.474
"608","LOC101927263",101927263,"VLMC_CYP1B1","VLMC_CYP1B1",0.545,0.073,5.02489371785812,4.00514137331541e-09,0.000201382513391672,0.75,0.5
"609","LOC101927284",101927284,"Astro_FGFR3","Astrocyte",0.467,0.331,3.21038249634537,0,0,0.622,0.244
"610","LOC101927293",101927293,"VLMC_CYP1B1","VLMC_CYP1B1",0.818,0.347,3.06360101106001,9.33207416902641e-08,0.00469226021292817,0.849,0.698
"611","LOC101927406",101927406,"Pyramidal","Pyramidal",0.482,0.129,3.14444360354317,0,0,0.696,0.392
"612","LOC101927437",101927437,"Astro_FGFR3","Astrocyte",0.91,0.213,4.78471830952905,0,0,0.941,0.882
"613","LOC101927459",101927459,"Oligo","Oligo",0.86,0.218,5.82002167729709,0,0,0.912,0.824
"614","LOC101927525",101927525,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.117,4.24310657059765,2.88047801535362e-20,1.44833315089995e-15,0.634,0.268
"615","LOC101927641",101927641,"Oligo","Oligo",0.353,0.178,2.81279060352546,1.65592862210141e-253,8.32617470478812e-249,0.608,0.216
"616","LOC101927745",101927745,"Pyramidal","Pyramidal",0.467,0.118,3.53356101722834,0,0,0.694,0.388
"617","LOC101927768",101927768,"Oligo","Oligo",0.556,0.385,2.57263313045301,0,0,0.648,0.296
"618","LOC101927871",101927871,"Pyramidal","Pyramidal",0.372,0.019,3.71068586279166,0,0,0.68,0.36
"619","LOC101927880",101927880,"Pyramidal","Pyramidal",0.738,0.111,3.48708585807486,0,0,0.847,0.694
"620","LOC101927967",101927967,"Oligo","Oligo",0.911,0.599,5.10845591224119,0,0,0.906,0.812
"621","LOC101927998",101927998,"Peri_MUSTN1","Peri_MUSTN1",0.531,0.436,3.17330191064482,2.94475030350131e-16,1.48064990010349e-11,0.613,0.226
"622","LOC101928322",101928322,"Pyramidal","Pyramidal",0.508,0.08,2.87558159464098,0,0,0.729,0.458
"623","LOC101928570",101928570,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.278,3.73582546150896,2.2421938129483e-16,1.12739747108853e-11,0.639,0.278
"624","LOC101928584",101928584,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.008,4.9725724248423,1.02276156124842e-09,5.14254740611319e-05,0.725,0.45
"625","LOC101928622",101928622,"Pyramidal","Pyramidal",0.375,0.163,4.1263021190404,0,0,0.619,0.238
"626","LOC101928842",101928842,"Inh_VIP","VIP",0.629,0.313,2.80158108925517,0,0,0.72,0.44
