"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"838","FRMPD1",22844,"ENSG00000070601","LAMP5",0.183,0.028,1.90922485642613,0.583,0.166,5.3837988753054e-91,9.65099786387246e-87
"839","FRYL",285527,"ENSG00000075539","Oligodendrocyte",0.655,0.354,2.17862307240842,0.621,0.242,0,0
"840","FRZB",2487,"ENSG00000162998","Pericyte",0.16,0.014,3.59717159870153,0.588,0.176,5.701994104896e-61,1.02213946324366e-56
"841","FSHR",2492,"ENSG00000170820","L5.6.NP",0.252,0.022,2.48030593202316,0.64,0.28,3.14873558561326e-77,5.64442341077033e-73
"842","FSTL4",23105,"ENSG00000053108","IT",0.578,0.065,2.36301969704047,0.814,0.628,0,0
"843","FSTL5",56884,"ENSG00000168843","LAMP5",0.871,0.221,2.1662102369001,0.82,0.64,0,0
"844","FSTL5",56884,"ENSG00000168843","VIP",0.52,0.216,1.71450110115307,0.628,0.256,0,0
"845","FUT8",2530,"ENSG00000033170","Oligodendrocyte",0.504,0.377,1.64932027645393,0.573,0.146,0,0
"846","FXYD7",53822,"ENSG00000221946","IT",0.266,0.033,1.64020215265192,0.707,0.414,0,0
"847","FYB",2533,"ENSG00000082074","Microglia",0.512,0.017,5.46776353981762,0.738,0.476,0,0
"848","FYN",2534,"ENSG00000010810","Astrocyte",0.691,0.36,1.50852900742823,0.586,0.172,0,0
"849","GAB1",2549,"ENSG00000109458","Oligodendrocyte",0.548,0.345,1.81615726974661,0.597,0.194,0,0
"850","GAB2",9846,"ENSG00000033327","Oligodendrocyte",0.385,0.275,1.5054778973037,0.563,0.126,0,0
