"gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","2ByFC_reference_group","2ByFC_avg_logFC","2ByFC_pct.2","2ByFC_p_val","2ByPct_reference_group","2ByPct_avg_logFC","2ByPct_pct.2","2ByPct_p_val"
"ADAMTS9.AS2",NA,NA,"Pericyte",0.844,0.414,2.53490847760922,0.822,0.644,1.08143495108535e-13,5.43756307755223e-09,"VLMC",0.499610048804697,1,0.127735877215143,"VLMC",0.499610048804697,1,0.127735877215143
"ADIRF",10974,"ENSG00000148671","Pericyte",0.562,0.052,4.34042790226846,0.769,0.538,2.68330765307227e-26,1.34919392104127e-21,"Endothelial",1.94602964832992,0.214,4.07533537103832e-05,"Endothelial",1.94602964832992,0.214,4.07533537103832e-05
"ADORA2A.AS1",NA,NA,"Pericyte",0.5,0.498,2.93240233229997,0.55,0.1,1.03355141191256e-13,5.19679985423755e-09,"SST",2.22767568471455,0.496,0.0125211554047004,"L6 CT",3.20643292489408,0.626,1.34944172559682e-10
"ARHGAP10",79658,"ENSG00000071205","Pericyte",0.875,0.641,3.1475840126353,0.866,0.732,4.86734971840111e-37,2.44735211190926e-32,"VLMC",0.693660972938449,0.727,0.180658572388037,"OPC",1.442208795447,0.812,9.70718606383967e-08
"ARHGAP42",143872,"ENSG00000165895","Pericyte",0.906,0.528,2.52431227538017,0.841,0.682,6.08983947054298e-16,3.06203218418371e-11,"VLMC",0.396547207470188,0.818,0.624891515997202,"VLMC",0.396547207470188,0.818,0.624891515997202
"C1QTNF1",114897,"ENSG00000173918","Pericyte",0.625,0.116,4.09699232199755,0.786,0.572,5.07855263004717e-70,2.55354704791402e-65,"Astrocyte",3.54576731735363,0.163,6.90448567322733e-30,"VLMC",4.3788188862046,0.182,0.0014489955737147
"CA4",762,"ENSG00000167434","Pericyte",0.531,0.136,3.7179311814945,0.719,0.438,1.57399443095851e-14,7.91420139830248e-10,"Endothelial",0.779878462756718,0.229,0.00801186672886634,"PAX6",2.57106277114642,0.394,0.00532915795692876
"CALD1",800,"ENSG00000122786","Pericyte",0.906,0.509,3.08923084269864,0.9,0.8,6.10473829259842e-32,3.06952346090141e-27,"VLMC",1.57893107756988,0.455,0.00023436550770339,"L5 ET",2.9171254404667,0.985,1.83698376126275e-22
"CASC15",401237,NA,"Pericyte",0.969,0.939,2.86872776532036,0.823,0.646,1.10354031631976e-25,5.54871106448737e-21,"L5/6 NP",1.87530182062508,0.976,0.000138919980728805,"VLMC",2.70338299996222,1,0.0002011766773636
"CCDC141",285025,"ENSG00000163492","Pericyte",0.406,0.296,2.74868000550139,0.584,0.168,5.28271111577768e-07,0.0265619997612417,"Endothelial",0.684325507744001,0.257,0.32076030569156,"PAX6",1.85871070613741,0.47,0.183598878089323
"CDH6",1004,"ENSG00000113361","Pericyte",0.875,0.31,3.36645476374438,0.884,0.768,1.56079872685514e-23,7.84785207850031e-19,"L5/6 NP",0.990744045038111,0.994,8.53657506262389e-05,"L5/6 NP",0.990744045038111,0.994,8.53657506262389e-05
"COL14A1",7373,"ENSG00000187955","Pericyte",0.5,0.322,3.14748175857982,0.627,0.254,3.35605573396266e-09,0.000168745838359377,"LAMP5",1.7158354087227,0.408,0.209923654924241,"L6 CT",4.54886040735625,0.454,1.43697256422824e-13
"COL4A3",1285,"ENSG00000169031","Pericyte",0.594,0.166,3.51816958979015,0.751,0.502,1.54525874832111e-19,7.76971551243337e-15,"Endothelial",1.57569036028276,0.214,5.90669759075764e-05,"LAMP5",1.90208344466082,0.371,0.0015968639973675
"COL4A4",1286,"ENSG00000081052","Pericyte",0.719,0.305,3.43480419871112,0.777,0.554,9.31295936630664e-23,4.68264909897264e-18,"Endothelial",1.75032622679715,0.4,0.000107209289093631,"LAMP5",2.46628118960356,0.464,3.12018367197609e-06
"COX7A1",1346,"ENSG00000161281","Pericyte",0.406,0.147,2.73887139729005,0.657,0.314,1.8215990328079e-12,9.15918209686143e-08,"Endothelial",1.24096187036345,0.143,0.00301592252086232,"L6 CT",2.1747258998937,0.505,5.0645249024607e-17
"CRIP1",1396,"ENSG00000213145","Pericyte",0.469,0.009,4.55041540809417,0.732,0.464,6.78933617501578e-35,3.41374612215968e-30,"Endothelial",1.87679657459195,0.086,1.16585340700241e-05,"VLMC",2.02264404410558,0.091,0.0565769030761183
"CXorf58",254158,"ENSG00000165182","Pericyte",0.375,0.215,3.51603270649238,0.581,0.162,0.0129727754967878,1,"Oligodendrocyte",3.11946473598195,0.196,0.0302301766030463,"Astrocyte",3.34848734361225,0.314,0.246041741292912
"DLC1",10395,"ENSG00000164741, ENSG00000285265","Pericyte",1,0.83,2.83556072722578,0.979,0.958,3.68290758468502e-22,1.85180276265548e-17,"VLMC",1.23007853640588,1,0.000291447535495272,"VLMC",1.23007853640588,1,0.000291447535495272
