"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"97","FBLN1",2192,"ENSG00000077942","Non-neuronal",0.353,0.336,2.63562791739711,0.543,0.0860000000000001,0,0
"98","FBN2",2201,"ENSG00000138829","GABAergic",0.43,0.312,2.71553016353696,0.577,0.154,5.44028086017218e-301,2.73542761930318e-296
"99","FGF13",2258,"ENSG00000129682","GABAergic",0.909,0.762,2.76097583968672,0.743,0.486,0,0
"100","FGFR2",2263,"ENSG00000066468","Non-neuronal",0.689,0.436,3.02280913775822,0.733,0.466,0,0
"101","FIRRE",286467,NA,"Non-neuronal",0.365,0.341,3.06490885712333,0.553,0.106,0,0
"102","FLT3",2322,"ENSG00000122025","GABAergic",0.59,0.444,2.53187406214214,0.619,0.238,0,0
"103","FOLH1",2346,"ENSG00000086205","Non-neuronal",0.391,0.138,4.63323675651892,0.648,0.296,0,0
"104","FOXO1",2308,"ENSG00000150907","Non-neuronal",0.571,0.364,2.78729468576436,0.675,0.35,0,0
"105","FRMD4B",23150,"ENSG00000114541","Non-neuronal",0.831,0.732,3.22530785799778,0.754,0.508,0,0
"106","FSTL4",23105,"ENSG00000053108","Glutamatergic",0.979,0.521,3.03409694741098,0.949,0.898,0,0
"107","GAD1",2571,"ENSG00000128683","GABAergic",0.988,0.23,3.62073866488151,0.979,0.958,0,0
"108","GAD2",2572,"ENSG00000136750","GABAergic",0.91,0.216,5.01497138727423,0.94,0.88,0,0
"109","GATM",2628,"ENSG00000171766","Non-neuronal",0.53,0.331,2.68010501281024,0.649,0.298,0,0
"110","GLDN",342035,"ENSG00000186417","Non-neuronal",0.467,0.367,2.69948502920959,0.604,0.208,0,0
"111","GLI3",2737,"ENSG00000106571","Non-neuronal",0.528,0.397,3.62546888112597,0.632,0.264,0,0
"112","GLUL",2752,"ENSG00000135821","Non-neuronal",0.623,0.179,3.76569475303486,0.763,0.526,0,0
"113","GPR149",344758,"ENSG00000174948","GABAergic",0.371,0.103,3.91745325937559,0.648,0.296,0,0
"114","GPRC5B",51704,"ENSG00000167191","Non-neuronal",0.653,0.207,3.66991003708346,0.774,0.548,0,0
"115","GRAMD3",65983,"ENSG00000155324","Non-neuronal",0.498,0.222,3.28310302487596,0.678,0.356,0,0
"116","GRIK1",2897,"ENSG00000171189","GABAergic",0.951,0.603,3.14077407311809,0.9,0.8,0,0
"117","GRIN3A",116443,"ENSG00000198785","GABAergic",0.801,0.366,2.72945889330046,0.818,0.636,0,0
"118","GRIP2",80852,"ENSG00000144596","GABAergic",0.895,0.163,4.09031423261914,0.931,0.862,0,0
"119","GSN",2934,"ENSG00000148180","Non-neuronal",0.755,0.437,3.25850184229761,0.772,0.544,0,0
